"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Red Spruce","Picea rubens","Massachusetts","Franklin","Shelburne Falls Area","","","","","235560","1","","","","Public-Private","109.0'","Clinometer/laser rangefinder/sine","5.4'","65''","","","John Eichholz","2004-11-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fshelburne04.htm","N"
"Red Spruce","Picea rubens","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235324","1","","","","Public - federal","69.0'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Red Spruce","Picea rubens","New Brunswick","Carleton","Ayers Lake","","","","","240299","1","","","","Public - state","100.0'","Clinometer/laser rangefinder/sine","7.2'","87''","","","Owen Richards","2015-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D100%26t%3D7326%26sid%3D559efe2c1931bbd06cbb8d41f0c94720","N"
"Red Spruce","Picea rubens","New Brunswick","Carleton","Ayers Lake","","","","","240298","1","","","","Public - state","107.0'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Owen Richards","2015-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D100%26t%3D7326%26sid%3D559efe2c1931bbd06cbb8d41f0c94720","N"
"Red Spruce","Picea rubens","New Brunswick","Carleton","Ayers Lake","","","","","240021","1","","","","Public - state","109.0'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Owen Richards","2013-12-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D100%26t%3D7326%26sid%3D559efe2c1931bbd06cbb8d41f0c94720","N"
"Red Spruce","Picea rubens","North Carolina","Haywood","Horse Creek","35 35.607","-083 10.614","","","323603","1","35 35.607","-083 10.614","4760.0 ft","Public","160.3'","Clinometer/laser rangefinder/sine","9.5'","114''","","Heights:  B. Beduhn 160.3, J. Riddle 157.0, E. Whitcomb 160.0; J. Scheff tape wrap: 9.50' CBH","Brian Beduhn, Jess Riddle, Jim Scheff","2026-05-24","","N"
"Red Spruce","Picea rubens","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227265","1","","","","Public - national","113.6'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Red Spruce","Picea rubens","North Carolina","Haywood","Pretty Hollow Creek","","","Trees were also measured on two tributaries -Onion Bed Branch and Cooks Creek","","230143","1","","","","Public - federal","134.1'","Clinometer/laser rangefinder/sine","","","","On Onion Bed Branch","Jess Riddle","2003-10-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fpretty_hollow_creek.htm","N"
"Red Spruce","Picea rubens","North Carolina","Haywood","Pretty Hollow Creek","","","Trees were also measured on two tributaries -Onion Bed Branch and Cooks Creek","","230144","1","","","","Public - federal","142.1'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Jess Riddle","2003-10-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fpretty_hollow_creek.htm","N"
"Red Spruce","Picea rubens","North Carolina","Haywood","Shining Rock Wilderness","","","18,483 Acres.","","227061","1","","","","Public - national","","Clinometer/laser rangefinder/sine","9.8'","117''","","","Jess Riddle","2004-04-20","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fshining_rock_wilderness.htm","N"
"Red Spruce","Picea rubens","North Carolina","Jackson","Chestnut Creek/Bear Pen Gap","","","","","227754","1","","","","Public - national","123.0'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Jess Riddle, Michael Davie","2006-01-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fchestnut_creek.htm","N"
"Red Spruce","Picea rubens","North Carolina","Jackson","Chestnut Creek/Bear Pen Gap","","","","","227755","1","","","","Public - national","124.8'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Jess Riddle, Michael Davie","2006-01-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fchestnut_creek.htm","N"
"Red Spruce","Picea rubens","North Carolina","Jackson","Chestnut Creek/Bear Pen Gap","","","","","227756","1","","","","Public - national","127.5'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Jess Riddle, Michael Davie","2006-01-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fchestnut_creek.htm","N"
"Red Spruce","Picea rubens","North Carolina","Swain","Deep Creek","","","","","229783","1","","","","Public - national","107.3'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Jess Riddle","2002-09-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbeetree%2Fbeetree_creek.htm","N"
"Red Spruce","Picea rubens","North Carolina","Swain","Sammons Branch And Hideaway Brook","","","Trees were measured on two small tributaries of Enloe Creek of Raven Fork. These two are named Simmons Branch and Hideaway Brook.","","229199","1","","","","Public - national","130.0'","Clinometer/laser rangefinder/sine","10.0'","120''","","On Hideaway Brook.","Jess Riddle, Josh Kelley","2007-10-21","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fhideaway%2Fsimmons_branch_and_hideaway.htm","N"
"Red Spruce","Picea rubens","North Carolina","Swain","Sammons Branch And Hideaway Brook","","","Trees were measured on two small tributaries of Enloe Creek of Raven Fork. These two are named Simmons Branch and Hideaway Brook.","","229196","1","","","","Public - national","139.0'","Clinometer/laser rangefinder/sine","11.5'","138''","","on Enloe Creek","Jess Riddle, Josh Kelley","2007-10-21","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fhideaway%2Fsimmons_branch_and_hideaway.htm","N"
"Red Spruce","Picea rubens","North Carolina","Swain","Sammons Branch And Hideaway Brook","","","Trees were measured on two small tributaries of Enloe Creek of Raven Fork. These two are named Simmons Branch and Hideaway Brook.","","229195","1","","","","Public - national","146.7'","Clinometer/laser rangefinder/sine","12.7'","152''","","","Jess Riddle, Josh Kelley","2007-10-21","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fhideaway%2Fsimmons_branch_and_hideaway.htm","N"
"Red Spruce","Picea rubens","North Carolina","Swain","Sammons Branch And Hideaway Brook","","","Trees were measured on two small tributaries of Enloe Creek of Raven Fork. These two are named Simmons Branch and Hideaway Brook.","","229197","1","","","","Public - national","155.3'","Clinometer/laser rangefinder/sine","10.6'","127''","","on Simmons Branch.","Jess Riddle, Josh Kelley","2007-10-21","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fhideaway%2Fsimmons_branch_and_hideaway.htm","N"
"Red Spruce","Picea rubens","New Hampshire","Merrimack","New Hampshire Single Tree Sites","44 16.882","-071 14.682","","","256183","1","44 16.882","-071 14.682","2200.0 ft","Public-Private","67.3'","Clinometer/laser rangefinder/sine","4.3'","51''","","Measured by T, Sharp 10/9/2021 along Mount Washington Auto Road near Graham, Coos County","Various Various","2009-01-01","","N"
"Red Spruce","Picea rubens","New Hampshire","Merrimack","New Hampshire Single Tree Sites","44 16.867","-071 14.666","","","256182","1","44 16.867","-071 14.666","2200.0 ft","Public-Private","68.6'","Clinometer/laser rangefinder/sine","4.0'","48''","","Measured by T, Sharp 10/9/2021 along Mount Washington Auto Road near Graham, Coos County","Various Various","2009-01-01","","N"
"Red Spruce","Picea rubens","New Jersey","Sussex","Dryden Kuser Natural Area","","","The highest elevation and farthest inland of an Atlantic Cedar Swamp.
850 acres in the Natural Area","","169986","1","","","","Public - state","60.0'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Dale Luthringer","2008-04-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_jersey%2Fhighpoint%2Fhigh_point_state_park_nj1.htm","N"
"Red Spruce","Picea rubens","New York","Essex","Cerry Patch Pond","","","","","258872","1","","","","Public - state","96.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","Height is Not Less Then (NLT)","Tom Howard, Elijah Whitcomb, Bob Leverett","2016-12-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7855%26sid%3D12e512ea2822ac9b1a69b4bf305d1de3","N"
"Red Spruce","Picea rubens","New York","Essex","Cerry Patch Pond","","","","","258873","1","","","","Public - state","101.4'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Tom Howard, Elijah Whitcomb, Bob Leverett","2016-12-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7855%26sid%3D12e512ea2822ac9b1a69b4bf305d1de3","N"
"Red Spruce","Picea rubens","New York","Essex","Cherry Patch Pond","","","","","228317","1","","","","Public","82.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Red Spruce","Picea rubens","New York","Essex","Cherry Patch Pond","","","","","228328","1","","","","Public","82.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Red Spruce","Picea rubens","New York","Essex","Cherry Patch Pond","","","","","228329","1","","","","Public","87.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Red Spruce","Picea rubens","New York","Essex","Cherry Patch Pond","","","","","228335","1","","","","Public","101.3'","Clinometer/laser rangefinder/sine","7.4'","89''","26.0'","Tree dead as of 6/7/20.  ~175 growth rings at 10’.","Elijah Whitcomb","2014-10-21","","N"
"Red Spruce","Picea rubens","New York","Essex","Hoffman Notch Wilderness","","","","","221353","1","","","","Public","101.0'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2017-09-16","","N"
