"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sitka Spruce","Picea sitchensis","Alaska","Haines","Portage Cove State Recreational Site","","","","","75029","1","","","80.0 ft","Public - state park","103.1'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Sitka Spruce","Picea sitchensis","Alaska","Haines","Portage Cove State Recreational Site","59 13.580","-135 25.605","","","75028","1","59 13.580","-135 25.605","80.0 ft","Public - state park","106.5'","Clinometer/laser rangefinder/sine","9.8'","117''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Sitka Spruce","Picea sitchensis","Alaska","Juneau","Tongass National Forest-Douglas Island-Rain Forest Trail","","","","","75023","1","","","160.0 ft","Public - National Forest","133.5'","Clinometer/laser rangefinder/sine","16.2'","194''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Sitka Spruce","Picea sitchensis","Alaska","Juneau","Tongass National Forest-Douglas Island-Rain Forest Trail","58 18.331","-134 40.262","","","75021","1","58 18.331","-134 40.262","160.0 ft","Public - National Forest","137.7'","Clinometer/laser rangefinder/sine","13.3'","160''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Sitka Spruce","Picea sitchensis","Alaska","Juneau","Tongass National Forest-Douglas Island-Rain Forest Trail","","","","","75022","1","","","","Public - National Forest","138.8'","Clinometer/laser rangefinder/sine","12.3'","147''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Sitka Spruce","Picea sitchensis","Oregon","Tillamook","Munson Creek Falls State Natural Area","","","","","239642","1","","","","Public - state","207.0'","","","","","","Steven Radivot","2015-05-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D7058%26sid%3D967f4331f04d56be208333b567c46b08%23p33338","N"
"Sitka Spruce","Picea sitchensis","Oregon","Tillamook","Munson Creek Falls State Natural Area","","","","","239641","1","","","","Public - state","277.0'","","","","","","Steven Radivot","2015-05-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D7058%26sid%3D967f4331f04d56be208333b567c46b08%23p33338","N"
"Sitka Spruce","Picea sitchensis","Oregon","Tillamook","Oswald West State Park","","","2474 acres","","269585","1","","","","Public - state","200.0'","Clinometer/laser rangefinder/sine","","","","","Mario Vaden","2011-05-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D2518","N"
"Sitka Spruce","Picea sitchensis","Oregon","Tillamook","Oswald West State Park","","","2474 acres","","269584","1","","","","Public - state","224.0'","Clinometer/laser rangefinder/sine","42.0'","504''","88.0'","Tree known as ""Falcons Tower""
Crown spread is average of two prong method","Mario Vaden","2011-05-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D2518","N"
"Sitka Spruce","Picea sitchensis","Pennsylvania","Delaware","Haverford College Arboretum","","","","","225113","1","","","","Private","38.0'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Scott Wade","2007-03-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fhaverford_college_arboretum.htm","N"
"Sitka Spruce","Picea sitchensis","Washington","Clallam","Bogachiel Rainforest River Trail","47 52.917","-124 15.432","","","296875","1","47 52.917","-124 15.432","295.0 ft","Public","251.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-16","","N"
"Sitka Spruce","Picea sitchensis","Washington","Clallam","Bogachiel Rainforest River Trail","47 52.923","-124 15.199","","","296876","1","47 52.923","-124 15.199","305.0 ft","Public","258.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-16","","N"
"Sitka Spruce","Picea sitchensis","Washington","Clallam","Bogachiel Rainforest River Trail","47 52.915","-124 15.433","","","296874","1","47 52.915","-124 15.433","295.0 ft","Public","267.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-16","","N"
"Sitka Spruce","Picea sitchensis","Washington","Grays Harbor","Quinault Rainforest Loop","47 27.907","-123 50.494","","","216275","1","47 27.907","-123 50.494","399.0 ft","Public","264.5'","Clinometer/laser rangefinder/sine","26.1'","313''","","","Elijah Whitcomb","2020-09-17","","N"
"Sitka Spruce","Picea sitchensis","Washington","Grays Harbor","Quinault Rainforest Loop","","","","","216277","1","","","","Public","270.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","","N"
"Sitka Spruce","Picea sitchensis","Washington","Grays Harbor","Quinault Rainforest Loop","47 27.915","-123 50.065","","","216276","1","47 27.915","-123 50.065","442.0 ft","Public","270.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","","N"
"Sitka Spruce","Picea sitchensis","Washington","Jefferson","Hoh Rainforest Visitor Center","","","","","216290","1","","","","Public","248.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Sitka Spruce","Picea sitchensis","Washington","Jefferson","Hoh Rainforest Visitor Center","","","","","216289","1","","","","Public","250.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Sitka Spruce","Picea sitchensis","Washington","Jefferson","Hoh Rainforest Visitor Center","","","","","216288","1","","","","Public","256.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Sitka Spruce","Picea sitchensis","Washington","Jefferson","Hoh Rainforest Visitor Center","","","","","216287","1","","","","Public","259.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Sitka Spruce","Picea sitchensis","Washington","King","Middle Fork Of Snoqualamie River","","","","","239715","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","31.4'","377''","","Near Bessemer Mountain","Thursday Hiker","2016-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8219%26sid%3Deebc4dfdc18838251a47f9136d7f3764%23p41463","N"
"Sitka Spruce","Picea sitchensis","Washington","Snohomish","Old Sauk River Trail","48 12.469","-121 32.463","","","274402","1","48 12.469","-121 32.463","625.0 ft","Public","170.2'","Clinometer/laser rangefinder/sine","14.2'","170''","","","Elijah Whitcomb","2022-07-05","","N"
