"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Highway 89, Black Hills National Forest","","","","","233583","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","7.7'","92''","31.0'","Located west of highway 89. 
Picea x albertiana was previously know as P. glauca var. densata, Black Hills Spruce","Mark Rouw","1998-06-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Highway 89, Black Hills National Forest","","","","","233584","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","9.2'","110''","30.0'","Located west of highway 89. 
Picea x albertiana was previously know as P. glauca var. densata, Black Hills Spruce","Mark Rouw","1998-06-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Highway 89, Black Hills National Forest","","","","","233585","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.3'","100''","31.0'","Located west of highway 89. 
Picea x albertiana was previously know as P. glauca var. densata, Black Hills Spruce","Mark Rouw","1998-06-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Highway 89, Black Hills National Forest","","","","","233586","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.3'","99''","29.0'","","Mark Rouw","1998-06-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243382","1","","","","Public - federal and state","101.5'","Clinometer/laser rangefinder/sine","8.5'","102''","","Hybrid of P. glauca x P. englemannii
Previously identified as P. glauca var. densata or Black Hills Spruce","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243381","1","","","","Public - federal and state","105.5'","Clinometer/laser rangefinder/sine","9.8'","117''","","Measured near Sylvan Lake
Hybrid of P. glauca x P. englemannii
Previously identified as P. glauca var. densata or Black Hills Spruce","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243380","1","","","","Public - federal and state","107.2'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243379","1","","","","Public - federal and state","109.1'","Clinometer/laser rangefinder/sine","8.2'","98''","","Measured near Sylvan Lake
Hybrid of P. glauca x P. englemannii
Previously identified as P. glauca var. densata or Black Hills Spruce.","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243378","1","","","","Public - federal and state","110.2'","Clinometer/laser rangefinder/sine","6.9'","83''","","Measured near Sylvan Lake
Hybrid of P. glauca x P. englemannii
Previously identified as P. glauca var. densata or Black Hills Spruce","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243377","1","","","","Public - federal and state","113.1'","Clinometer/laser rangefinder/sine","5.7'","68''","","Hybrid of P. glauca x P. englemannii
Previously identified as P. glauca var. densata or Black Hills Spruce","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243376","1","","","","Public - federal and state","114.1'","Clinometer/laser rangefinder/sine","5.9'","71''","","Hybrid of P. glauca x P. englemannii
Previously identified as P. glauca var. densata or Black Hills Spruce","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Western White Spruce","Picea x albertiana","South Dakota","Lawrence","Spearfish,SD","","","","","233572","1","","","","Public - city, private","","Clinometer/laser rangefinder/sine","8.8'","105''","27.0'","Formerly known as P. glauca var. densata, Black Hills Spruce.
Found on private land east of Spearfish Creek","Mark Rouw","1997-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Western White Spruce","Picea x albertiana","South Dakota","Lawrence","Spearfish,SD","","","","","233573","1","","","","Public - city, private","","Clinometer/laser rangefinder/sine","9.5'","114''","28.5'","Formerly known as P. glauca var. densata, Black Hills Spruce.
Found on private land east of Spearfish Creek","Mark Rouw","1997-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Western White Spruce","Picea x albertiana","South Dakota","Lawrence","Spearfish,SD","","","","","233574","1","","","","Public - city, private","","Clinometer/laser rangefinder/sine","8.3'","99''","30.0'","Formerly known as P. glauca var. densata, Black Hills Spruce.
Found near Cheyenne Crossing close to the south entrance of Spearfish Canyon Scenic Byway","Mark Rouw","1997-06-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
