"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Jack Pine","Pinus banksiana","New York","Albany","New York Single Tree Sites","44 08.864","-074 57.047","","","263300","1","44 08.864","-074 57.047","","Public-Private","92.8'","Clinometer/laser rangefinder/sine","5.2'","62''","24.0'","Measured by E. Whitcomb 7/4/2016 near Cranberry Lake, St, Lawrence County. Previously measured by E. Whitcomb 6/16/2015 at 87.1'","Various Various","2000-02-01","","N"
"Jack Pine","Pinus banksiana","New York","Essex","Cherry Patch Pond","","","","","228330","1","","","","Public","76.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Jack Pine","Pinus banksiana","New York","Essex","Cherry Patch Pond","","","","","228327","1","","","","Public","79.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Jack Pine","Pinus banksiana","New York","Essex","Cherry Patch Pond","","","","","228331","1","","","","Public","80.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Jack Pine","Pinus banksiana","New York","Onondaga","Long Branch Park","","","","","230429","1","","","","Public","49.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"Jack Pine","Pinus banksiana","New York","St. Lawrence","Rt. 3, Wanakena, NY","","","","","210544","1","","","","Public","92.2'","Clinometer/laser rangefinder/sine","5.3'","63''","24.0'","","Elijah Whitcomb","2016-07-04","","N"
"Jack Pine","Pinus banksiana","New York","St. Lawrence","Rt. 3, Wanakena, NY","","","","","210547","1","","","","Public","92.8'","Clinometer/laser rangefinder/sine","5.2'","63''","","","Elijah Whitcomb","2016-07-04","","N"
"Jack Pine","Pinus banksiana","New York","Warren","Pack Demonstration Forest","","","","","258240","1","","","","Private","69.0'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb","2015-08-17","","N"
"Jack Pine","Pinus banksiana","Ontario","Algoma District","Wawa Area-Voyager And Nokomis Trails","","","Also see:
http://www.ents-bbs.org/viewtopic.php?f=113&t=6037&sid=1d493e39fcc69fb73dc249f02e7e5c6d","","233051","1","","","","Public - state","","Clinometer/laser rangefinder/sine","4.5'","54''","","","Doug Bidlack, Kouta Rasanen","2013-08-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6029%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d%23p27172","N"
"Jack Pine","Pinus banksiana","Ontario","Toronto Division","Ontario Single Tree Sites","48 33.789","-091 33.869","","","240286","1","48 33.789","-091 33.869","1310.0 ft","Public/Private","86.6'","Clinometer/laser rangefinder/sine","4.1'","49''","","Quetico Provincial Park, Rainy River District of Ontario.
Measured by Kouta Rasanen, 8/2013.
Tree located near portage between Walter and Elizabeth Lakes","Various Various","2000-01-01","","N"
"Jack Pine","Pinus banksiana","West Virginia","Monongalia","Guthrie Loop Trail","39 38.764","-079 58.675","This section of the arboretum features mostly planted specimens of native and exoctic species.","","222949","1","39 38.764","-079 58.675","1000.0 ft","Public - state","31.0'","Clinometer/laser rangefinder/sine","1.9'","22''","","","Turner Sharp","2016-02-29","","N"
