"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Lodgepole Pine","Pinus contorta var. latifolia","Alberta","Division No. 15","Banff National Park - Two Jack","","","","","74976","1","","","","Public","60.5'","Clinometer/laser rangefinder/sine","3.1'","38''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Alberta","Division No. 15","Banff National Park - Two Jack","","","","","74978","1","","","","Public","69.0'","Clinometer/laser rangefinder/sine","3.1'","38''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Alberta","Division No. 15","Banff National Park - Two Jack","","","","","74979","1","","","","Public","70.6'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Alberta","Division No. 15","Banff National Park - Two Jack","","","","","74977","1","","","","Public","72.6'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Alberta","Division No. 15","Banff National Park - Two Jack","51 13.810","-115 30.362","","","74975","1","51 13.810","-115 30.362","4822.8 ft","Public","74.6'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Colorado","Chaffee","Monarch Pass","38 30.030","-106 19.876","","","296853","1","38 30.030","-106 19.876","11050.0 ft","Public","54.1'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Elijah Whitcomb","2023-06-20","","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Colorado","Clear Creek","Mizpah Campground","39 46.536","-105 47.630","","","56032","1","39 46.536","-105 47.630","9600.0 ft","Public - Federal","","","6.2'","74''","","","Turner Sharp","2006-08-15","","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Colorado","Clear Creek","Mizpah Campground","","","","","56033","1","","","9680.0 ft","Public - Federal","","","4.4'","53''","","","Turner Sharp","2006-08-15","","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Colorado","Larimer","Storm Pass Trail","","","Portions of the park are also in Grand and Boulder counties.","","126178","1","","","8000.0 ft","Public - National Park","58.4'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Turner Sharp","2016-06-16","","N"
"Lodgepole Pine","Pinus contorta var. latifolia","Colorado","Larimer","Storm Pass Trail","","","Portions of the park are also in Grand and Boulder counties.","","126180","1","","","8000.0 ft","Public - National Park","59.9'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2016-06-16","","N"
