"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Mariposa","Tioga Pass Rd.","37 52.501","-119 25.148","","","318113","1","37 52.501","-119 25.148","8425.0 ft","Public","92.3'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2024-07-15","","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Mariposa","Tioga Pass Rd.","37 48.760","-119 34.413","","","318114","1","37 48.760","-119 34.413","8285.0 ft","Public","124.2'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Elijah Whitcomb","2024-07-15","","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241867","1","","","","Public - federal","147.7'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241868","1","","","","Public - federal","147.8'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241869","1","","","","Public - federal","150.5'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Plumas","Plumas National Forest","39 40.910","-120 27.690","","","269108","1","39 40.910","-120 27.690","5400.0 ft","Public - federal","","Clinometer/laser rangefinder/sine","10.9'","131''","","Tree located north of Calpine in a 50 acre stand along highway 89. Sierra County","Duncan Kennedy, Michael Taylor","2016-01-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8419%23p42855","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Plumas","Plumas National Forest","39 40.907","-120 27.694","","","269107","1","39 40.907","-120 27.694","5400.0 ft","Public - federal","131.1'","Clinometer/laser rangefinder/sine","8.3'","100''","","Tree located north of Calpine in a 50 acre stand along highway 89. Sierra County","Duncan Kennedy, Michael Taylor","2016-01-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8419%23p42855","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.977","-116 42.408","","","320696","1","33 47.977","-116 42.408","8630.0 ft","Public","89.2'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2025-01-17","","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 48.030","-116 42.023","","","320698","1","33 48.030","-116 42.023","8825.0 ft","Public","109.2'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Elijah Whitcomb","2025-01-17","","N"
"Sierra Lodgepole Pine","Pinus contorta var. murrayana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 48.027","-116 42.036","","","320697","1","33 48.027","-116 42.036","8820.0 ft","Public","124.8'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb","2025-01-17","","N"
