"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Shortleaf Pine","Pinus echinata","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233879","1","","","","Public - federal","118.1'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234015","1","","","","Private","112.7'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234014","1","","","","Private","121.1'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234013","1","","","","Private","124.2'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234012","1","","","","Private","129.6'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234011","1","","","","Private","136.1'","Clinometer/laser rangefinder/sine","9.4'","113''","","""Walsh Pine""
This was also measured 4/26/2005 at 134.8' Height x 112"" CBH","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Columbia","Logoly State Park","","","368 Acres","","234001","1","","","","Public - state","99.5'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Don Bragg","2008-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Flogoly_state_park_ar.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Columbia","Logoly State Park","","","368 Acres","","234000","1","","","","Public - state","116.0'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Don Bragg","2008-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Flogoly_state_park_ar.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Columbia","Logoly State Park","","","368 Acres","","234002","1","","","","Public - state","122.0'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Don Bragg","2008-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Flogoly_state_park_ar.htm","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241651","1","","","","Private","116.4'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Shortleaf Pine","Pinus echinata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241650","1","","","","Private","118.7'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
