"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Anita Road","","","Trees were measure on either side of Anita Road near the intersection of 
AZ 180/64","","75123","1","","","6400.0 ft","Public - Kaibab National Forest","32.5'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Turner Sharp","2012-02-15","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Anita Road","35 51.676","-112 08.122","Trees were measure on either side of Anita Road near the intersection of 
AZ 180/64","","75121","1","35 51.676","-112 08.122","6400.0 ft","Public - Kaibab National Forest","33.3'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Turner Sharp","2012-02-15","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Anita Road","","","Trees were measure on either side of Anita Road near the intersection of 
AZ 180/64","","75126","1","","","6400.0 ft","Public - Kaibab National Forest","33.7'","Clinometer/laser rangefinder/sine","2.9'","35''","","","Turner Sharp","2012-02-15","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Anita Road","","","Trees were measure on either side of Anita Road near the intersection of 
AZ 180/64","","75124","1","","","6400.0 ft","Public - Kaibab National Forest","36.8'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Turner Sharp","2012-02-15","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220325","1","","","6700.0 ft","Public -  National Forest","25.3'","Clinometer/laser rangefinder/sine","2.0'","25''","","","Turner Sharp","2012-02-14","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220324","1","","","6700.0 ft","Public -  National Forest","25.5'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Turner Sharp","2012-02-14","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220327","1","","","6700.0 ft","Public -  National Forest","27.2'","Clinometer/laser rangefinder/sine","3.4'","40''","","","Turner Sharp","2012-02-14","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Forest Service Road (FS 220)","36 44.554","-112 06.734","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220321","1","36 44.554","-112 06.734","6700.0 ft","Public -  National Forest","29.0'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Turner Sharp","2012-02-14","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Forest Service Road (FS 220)","","","Trees were measured on both sides of FS 220 near the intersection of US 89A","","220328","1","","","6700.0 ft","Public -  National Forest","30.8'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Turner Sharp","2012-02-14","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Walnut Canyon National Monument","","","","","46450","1","","","6800.0 ft","Public - National Monument","31.9'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Turner Sharp","2012-02-16","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Coconino","Walnut Canyon National Monument","","","","","46451","1","","","6800.0 ft","Public - National Monument","47.1'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Turner Sharp","2012-02-16","","N"
"Twoneedle Pinyon","Pinus edulis","Arizona","Various","Arizona Single Tree Sites","35 40.425","-112 08.210","","","130980","1","35 40.425","-112 08.210","","Various","44.8'","Clinometer/laser rangefinder/sine","8.5'","102''","62.0'","Measured by T. Sharp 6/4/2015. Tree is dead. Tree was alive 6/14. Tree located on left side of AZ 64 heading North near mile marker 226. crown spread an average of two measurements. Located in Coconino County. Elevation 6,000'","Various Varioua","2000-01-01","","N"
"Twoneedle Pinyon","Pinus edulis","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126245","1","","","5200.0 ft","Public-National Monument","18.8'","Clinometer/laser rangefinder/sine","1.9'","23''","","Tree is at Wild Mountain Camp.","Turner Sharp","2015-07-24","","N"
"Twoneedle Pinyon","Pinus edulis","New Mexico","Cibola","El Morror National Monument","","","","","55078","1","","","","Public - federal","","","2.8'","34''","","","Turner Sharp","2006-04-02","","N"
"Twoneedle Pinyon","Pinus edulis","New Mexico","Mckinley","Red Rock Park","","","formerly a state Park, now managed by the city of Gallup","","33198","1","","","6600.0 ft","Public - City Park","30.1'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Turner Sharp","2012-02-10","","N"
"Twoneedle Pinyon","Pinus edulis","New Mexico","Sandoval","Valles Caldera National Preserve","35 49.886","-106 38.544","","","320668","1","35 49.886","-106 38.544","6835.0 ft","Public","50.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-01-22","","N"
"Twoneedle Pinyon","Pinus edulis","New York","Ontario","Glenwood Cemetery","42 50.720","-076 58.930","","","229184","1","42 50.720","-076 58.930","525.0 ft","Public","30.0'","Clinometer/laser rangefinder/sine","3.1'","37''","","CBH is larger of two stems","Elijah Whitcomb","2020-12-27","","N"
