"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Spruce Pine","Pinus glabra","North Carolina","Orange","Coker Arboretum","","","","","280385","1","","","","Public - state","97.3'","Clinometer/laser rangefinder/sine","12.3'","148''","","Also know as Walter Pine","John Eichholz","2008-04-02","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fnorth_carolina_trip_april_2008.htm","N"
"Spruce Pine","Pinus glabra","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39742","1","","","","Private","68.5'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
"Spruce Pine","Pinus glabra","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39743","1","","","","Private","73.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
"Spruce Pine","Pinus glabra","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39744","1","","","","Private","73.3'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
"Spruce Pine","Pinus glabra","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39745","1","","","","Private","85.5'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
"Spruce Pine","Pinus glabra","South Carolina","Hampton","Webb Wildlife Management Area","","","5866 acres","","252668","1","","","","Public - state","113.8'","Clinometer/laser rangefinder/sine","6.1'","74''","","","Jess Riddle","2014-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6427","N"
"Spruce Pine","Pinus glabra","South Carolina","Hampton","Webb Wildlife Management Area","","","5866 acres","","252667","1","","","","Public - state","114.4'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Jess Riddle","2014-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6427","N"
"Spruce Pine","Pinus glabra","South Carolina","Hampton","Webb Wildlife Management Area","","","5866 acres","","252666","1","","","","Public - state","118.1'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Jess Riddle","2014-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D6427","N"
"Spruce Pine","Pinus glabra","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236767","1","","","","Public - state","104.8'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
"Spruce Pine","Pinus glabra","South Carolina","Hampton","William Webb Wildlife Center","","","5,866 Acres","","236768","1","","","","Public - state","112.2'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Jess Riddle","2006-01-23","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwebb%2Fwebb_wildlife_center.htm","N"
