"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Jeffrey Pine","Pinus jeffreyi","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268758","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","22.0'","264''","","","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Jeffrey Pine","Pinus jeffreyi","California","Mariposa","Glacier Point Rd.","37 42.782","-119 35.109","","","318126","1","37 42.782","-119 35.109","7770.0 ft","Public","151.4'","Clinometer/laser rangefinder/sine","17.9'","214''","","","Elijah Whitcomb","2024-07-15","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 46.830","-116 42.348","","","320691","1","33 46.830","-116 42.348","7890.0 ft","Public","117.3'","Clinometer/laser rangefinder/sine","15.1'","181''","","","Elijah Whitcomb","2025-01-17","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.300","-116 42.347","","","320693","1","33 47.300","-116 42.347","8275.0 ft","Public","128.0'","Clinometer/laser rangefinder/sine","16.3'","195''","","","Elijah Whitcomb","2025-01-17","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.255","-116 42.322","","","320692","1","33 47.255","-116 42.322","8205.0 ft","Public","131.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-01-17","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.448","-116 42.301","","","320694","1","33 47.448","-116 42.301","8485.0 ft","Public","138.1'","Clinometer/laser rangefinder/sine","12.0'","144''","","","Elijah Whitcomb","2025-01-17","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Riverside","Mt. San Jacinto Long Valley","33 48.610","-116 38.417","","","320704","1","33 48.610","-116 38.417","8360.0 ft","Public","144.0'","Clinometer/laser rangefinder/sine","13.9'","166''","","","Elijah Whitcomb","2025-01-18","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Riverside","Mt. San Jacinto Long Valley","33 48.603","-116 38.412","","","320703","1","33 48.603","-116 38.412","8370.0 ft","Public","148.0'","Clinometer/laser rangefinder/sine","14.7'","177''","","","Elijah Whitcomb","2025-01-18","","N"
"Jeffrey Pine","Pinus jeffreyi","California","San Bernardino","Big Bear Highway (CA-18)","34 13.209","-117 03.426","","","320676","1","34 13.209","-117 03.426","6645.0 ft","Public","152.4'","Clinometer/laser rangefinder/sine","12.3'","147''","","","Elijah Whitcomb","2025-01-16","","N"
"Jeffrey Pine","Pinus jeffreyi","California","Sierra","Babbitt Peak Research Natural Area","","","1747 acres and adjacent to Tahoe and Yoiyabe National Forests.","","280381","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","21.0'","252''","","Snag","Duncan Kennedy","2016-07-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7775%23p38287","N"
"Jeffrey Pine","Pinus jeffreyi","California","Tuolumne","Stanislaus National Forest","38 26.940","-120 03.413","","","268992","1","38 26.940","-120 03.413","","Public - federal","","Clinometer/laser rangefinder/sine","22.3'","267''","","Along Route 4 near Bear Valley.","Michael Taylor","2012-09-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D6412%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Jeffrey Pine","Pinus jeffreyi","New York","Monroe","Highland Park","43 07.932","-077 36.348","","","226002","1","43 07.932","-077 36.348","615.0 ft","Public","110.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
