"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sugar Pine","Pinus lambertiana","California","Calaveras","Calaveras Big Tree State Park","","","6,498 acres in Calaveras and Toulemne counties.","","268753","1","","","","Public - state","","Clinometer/laser rangefinder/sine","28.6'","343''","","Tree is on north rim.","Michael Taylor, Mike Hanuschik","2011-10-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Sugar Pine","Pinus lambertiana","California","Calaveras","Calaveras Big Tree State Park","","","6,498 acres in Calaveras and Toulemne counties.","","268754","1","","","","Public - state","253.2'","Clinometer/laser rangefinder/sine","22.0'","264''","","","Michael Taylor, Mike Hanuschik","2011-10-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Sugar Pine","Pinus lambertiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268756","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","25.1'","302''","","","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Sugar Pine","Pinus lambertiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268755","1","","","","Public - federal","215.0'","Clinometer/laser rangefinder/sine","26.7'","320''","","5250 cubic feet","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Sugar Pine","Pinus lambertiana","California","El Dorado","Lake Tahoe","","","Trees along Highway 89 on west side of Lake Tahoe.","","268387","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","20.4'","245''","","Tree along Highway 89 on west side of Lake Tahoe.","Mark Collins","2012-10-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4647%23p19803","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Tuolumne Grove Trail","37 45.608","-119 48.388","","","318130","1","37 45.608","-119 48.388","6180.0 ft","Public","206.7'","Clinometer/laser rangefinder/sine","","","","Debris around base","Elijah Whitcomb","2024-07-15","","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Tuolumne Grove Trail","37 45.738","-119 48.344","","","318131","1","37 45.738","-119 48.344","5990.0 ft","Public","212.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-15","","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Tuolumne Grove Trail","37 45.990","-119 48.389","","","318132","1","37 45.990","-119 48.389","5900.0 ft","Public","221.6'","Clinometer/laser rangefinder/sine","14.5'","173''","","","Elijah Whitcomb","2024-07-15","","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268983","1","","","","Public - federal","251.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268984","1","","","","Public - federal","255.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268985","1","","","","Public - federal","256.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268986","1","","","","Public - federal","258.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268987","1","","","","Public - federal","261.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268988","1","","","","Public - federal","264.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Mariposa","Yosemite National Park","","","","","268995","1","","","","Public - federal","266.0'","Clinometer/laser rangefinder/sine","","","","Known as the ""Creek Tapper""","Michael Taylor, Maria Michera, Brian Fetzer","2016-10-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Nevada","Tahoe National Forest","","","","","269313","1","","","","Public - federal","147.3'","Clinometer/laser rangefinder/sine","22.3'","268''","","","Michael Taylor, Zane Moore","2019-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Sugar Pine","Pinus lambertiana","California","Nevada","Tahoe National Forest","","","","","269074","1","","","","Public - federal","221.0'","Clinometer/laser rangefinder/sine","29.8'","358''","","Tree located near Highway 4. 
5232 cubic feet","Michael Taylor, Duncan Kennedy","2018-09-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Sugar Pine","Pinus lambertiana","California","Nevada","Tahoe National Forest","","","","","280378","1","","","","Public - federal","242.7'","Clinometer/laser rangefinder/sine","22.6'","271''","","Tree located Cherokee Creek Basin, Yuba County.","Michael Taylor, Zane Moore, Duncan Kennedy","2019-01-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Sugar Pine","Pinus lambertiana","California","Nevada","Tahoe National Forest","","","","","280377","1","","","3250.0 ft","Public - federal","246.9'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor, Zane Moore, Duncan Kennedy","2019-01-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Sugar Pine","Pinus lambertiana","California","Nevada","Tahoe National Forest","","","","","269312","1","","","","Public - federal","255.6'","Clinometer/laser rangefinder/sine","21.7'","260''","","","Michael Taylor, Zane Moore","2019-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Sugar Pine","Pinus lambertiana","California","Nevada","Tahoe National Forest","39 04.232","-120 41.825","","","269073","1","39 04.232","-120 41.825","","Public - federal","258.0'","Clinometer/laser rangefinder/sine","","","","Tree located near the abandoned mining town of Deadwood, Placer County.
Tree was dead at date of measurement.","Michael Taylor, Duncan Kennedy","2018-09-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Sugar Pine","Pinus lambertiana","California","Riverside","Fuller Mill Creek Picnic Area","33 47.894","-116 44.939","","","318011","1","33 47.894","-116 44.939","5185.0 ft","Public","109.5'","Clinometer/laser rangefinder/sine","","","","No access; across stream","Elijah Whitcomb","2024-07-17","","N"
"Sugar Pine","Pinus lambertiana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.583","-116 42.519","","","320695","1","33 47.583","-116 42.519","8365.0 ft","Public","125.3'","Clinometer/laser rangefinder/sine","14.7'","176''","","","Elijah Whitcomb","2025-01-17","","N"
"Sugar Pine","Pinus lambertiana","California","Sacramento","California Single Tree Sites","38 18.002","-120 16.917","","","268816","1","38 18.002","-120 16.917","4800.0 ft","Public-Private","216.8'","Clinometer/laser rangefinder/sine","36.3'","435''","","Measured by R. Van Pelt in 2001..Located in Sugar Pine Girl Scout Camp near Dorrington, Calaveras County.
Known as the Whelan Sugar Pine. Tree died ca. 2013 and removed ca. 2014","Various Various","2001-01-02","","N"
"Sugar Pine","Pinus lambertiana","California","Sierra","Calpine Area","","","","","280610","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","22.2'","267''","","Located behind Calpine.","Duncan Kennedy","2015-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7269%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Sierra","Calpine Area","","","","","280617","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","","","25.9'","Located at the McMahon Mine.","Duncan Kennedy","2015-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7269%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Sierra","Calpine Area","","","","","280616","1","","","","Public-Private","148.0'","Clinometer/laser rangefinder/sine","25.0'","300''","","","Duncan Kennedy","2015-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7269%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","California","Tulare","Sequoia National Park","","","","","274332","1","","","","Public","234.0'","Clinometer/laser rangefinder/sine","","","","CA-198","Elijah Whitcomb","2022-07-11","","N"
"Sugar Pine","Pinus lambertiana","California","Tuolumne","Stanislaus National Forest","","","","","268994","1","","","","Public - federal","233.0'","Clinometer/laser rangefinder/sine","29.8'","358''","","Known as the ""Roadside Warrior""","Michael Taylor, Maria Michera, Brian Fetzer","2016-10-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D6412%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Sugar Pine","Pinus lambertiana","Oregon","Curry","Rogue River-Siskiyou National Forest","","","Measured in Rouge River National Forest","","269595","1","","","","Public - federal","259.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor, John Montague","2019-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D8641","N"
"Sugar Pine","Pinus lambertiana","Oregon","Douglas","Umpqua National Forest","","","983,129 acres","","269593","1","","","","Public - federal","246.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor, Steve Colburn","2011-06-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D3739%23p15460","N"
"Sugar Pine","Pinus lambertiana","Oregon","Douglas","Umpqua National Forest","","","983,129 acres","","269592","1","","","","Public - federal","255.0'","Clinometer/laser rangefinder/sine","24.2'","290''","","Tree located on Black Canyon Creek, Jackson, County","Michael Taylor, Steve Colburn","2011-06-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D114%26t%3D3739%23p15460","N"
"Sugar Pine","Pinus lambertiana","Oregon","Josephine","Oregon Caves National Monument & Preserve","42 07.181","-123 25.907","","","297892","1","42 07.181","-123 25.907","2915.0 ft","Public","220.4'","Clinometer/laser rangefinder/sine","18.7'","224''","","OR-46","Elijah Whitcomb","2023-06-18","","N"
"Sugar Pine","Pinus lambertiana","Pennsylvania","Delaware","Bryn Mawr Estate","","","","","134986","1","","","400.0 ft","Private","95.2'","Clinometer/laser rangefinder/sine","11.3'","136''","77.0'","","Scott Wade, R. Wood, G Nichols","2009-07-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fbryn_mawr_estate_visit_pa.htm","N"
