"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Western White Pine","Pinus monticola","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268757","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","25.9'","311''","","","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Western White Pine","Pinus monticola","California","Mariposa","Glacier Point Rd.","37 42.724","-119 35.041","","","318125","1","37 42.724","-119 35.041","7780.0 ft","Public","139.6'","Clinometer/laser rangefinder/sine","14.1'","169''","","","Elijah Whitcomb","2024-07-15","","N"
"Western White Pine","Pinus monticola","California","Mariposa","Glacier Point Rd.","37 42.691","-119 35.083","","","318124","1","37 42.691","-119 35.083","7795.0 ft","Public","140.0'","Clinometer/laser rangefinder/sine","13.1'","157''","","","Elijah Whitcomb","2024-07-15","","N"
"Western White Pine","Pinus monticola","California","Mariposa","Tioga Pass Rd.","37 52.549","-119 25.130","","","318111","1","37 52.549","-119 25.130","8420.0 ft","Public","97.6'","Clinometer/laser rangefinder/sine","13.5'","162''","","","Elijah Whitcomb","2024-07-15","","N"
"Western White Pine","Pinus monticola","California","Mariposa","Tioga Pass Rd.","37 52.489","-119 25.136","","","318112","1","37 52.489","-119 25.136","8430.0 ft","Public","135.1'","Clinometer/laser rangefinder/sine","14.9'","179''","","","Elijah Whitcomb","2024-07-15","","N"
"Western White Pine","Pinus monticola","Idaho","Benewah","White Pine Scenic Byway","47 02.295","-116 40.430","","","296908","1","47 02.295","-116 40.430","3002.0 ft","Public (Forest Service)","189.0'","Clinometer/laser rangefinder/sine","12.4'","149''","","","Elijah Whitcomb","2020-09-20","","N"
"Western White Pine","Pinus monticola","Idaho","Benewah","White Pine Scenic Byway","47 02.368","-116 40.444","","","296907","1","47 02.368","-116 40.444","3009.0 ft","Public (Forest Service)","214.3'","Clinometer/laser rangefinder/sine","13.9'","167''","","","Elijah Whitcomb","2020-09-20","","N"
"Western White Pine","Pinus monticola","Idaho","Clearwater","Floodwood State Forest","46 57.081","-115 55.360","","","318048","1","46 57.081","-115 55.360","2620.0 ft","Public","203.3'","Clinometer/laser rangefinder/sine","","","","St. Joe NF Inholding","Elijah Whitcomb","2024-07-09","","N"
"Western White Pine","Pinus monticola","Idaho","Clearwater","Floodwood State Forest","46 55.752","-115 56.768","","","318047","1","46 55.752","-115 56.768","2295.0 ft","Public","225.3'","Clinometer/laser rangefinder/sine","","","","along Floodwood Creek; tree recently died, apparently from fire; top intact","Elijah Whitcomb","2024-07-09","","N"
"Western White Pine","Pinus monticola","Idaho","Idaho","Powell Campground","46 30.753","-114 43.408","","","164334","2","46 30.753","-114 43.408","3400.0 ft","Public","173.3'","Clinometer/laser rangefinder/sine","10.9'","131''","","","Turner Sharp, Turner Sharp","2018-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Western White Pine","Pinus monticola","Idaho","Shoshone","St. Joe River Road","47 13.894","-115 37.784","","","318063","1","47 13.894","-115 37.784","2730.0 ft","Public","198.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-08","","N"
"Western White Pine","Pinus monticola","Montana","Mineral","Little Joe Road","47 13.578","-115 15.031","","","318054","1","47 13.578","-115 15.031","4440.0 ft","Public","178.8'","Clinometer/laser rangefinder/sine","13.7'","164''","","Dead top","Elijah Whitcomb","2024-07-08","","N"
"Western White Pine","Pinus monticola","Montana","Sanders","Noxon Rapids Reservoir","47 58.424","-115 43.527","","","296955","1","47 58.424","-115 43.527","2425.0 ft","Public","147.3'","Clinometer/laser rangefinder/sine","6.9'","82''","","","Elijah Whitcomb","2023-06-13","","N"
"Western White Pine","Pinus monticola","New York","Monroe","Highland Park","43 07.975","-077 36.107","","","226038","1","43 07.975","-077 36.107","595.0 ft","Public","107.3'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Western White Pine","Pinus monticola","Oregon","Hood River","Lost Lake Resort","45 29.653","-121 49.534","Mt. Hood National Forest","","318022","1","45 29.653","-121 49.534","3245.0 ft","Public","135.8'","Clinometer/laser rangefinder/sine","7.0'","84''","","dead top","Elijah Whitcomb","2024-07-12","","N"
"Western White Pine","Pinus monticola","Oregon","Klamath","Odell Lake","43 34.849","-121 59.329","Deschutes National Forest (OR-58)","","318014","1","43 34.849","-121 59.329","4880.0 ft","Public","188.4'","Clinometer/laser rangefinder/sine","12.7'","152''","","dead top","Elijah Whitcomb","2024-07-14","","N"
"Western White Pine","Pinus monticola","Oregon","Klamath","Odell Lake","43 34.858","-121 59.268","Deschutes National Forest (OR-58)","","318013","1","43 34.858","-121 59.268","4875.0 ft","Public","192.5'","Clinometer/laser rangefinder/sine","12.6'","152''","","healthy; live top","Elijah Whitcomb","2024-07-14","","N"
"Western White Pine","Pinus monticola","Oregon","Klamath","Odell Lake","43 34.842","-121 59.393","Deschutes National Forest (OR-58)","","318015","1","43 34.842","-121 59.393","4885.0 ft","Public","202.1'","Clinometer/laser rangefinder/sine","12.4'","148''","","healthy; live top","Elijah Whitcomb","2024-07-14","","N"
