"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Austrian Pine","Pinus nigra","Vienna","Wien","University Of Vienna Botanical Garden","","","Established in 1754 but heavily damaged during WW 11 and repaired after the war.","","286416","1","","","","Public-Private","61.3'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Turner Sharp","2016-03-15","","N"
"Austrian Pine","Pinus nigra","California","Butte","Bidwell Park","","","3,670 acres in Upper and Lower Bidwell Park","","274982","1","","","","Public - city","123.4'","Clinometer/laser rangefinder/sine","9.2'","110''","","","John Eichholz","2005-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fus_west%2Fcalifornia%2Fchico.htm","N"
"Austrian Pine","Pinus nigra","Delaware","New Castle","Bellevue State Park","","","","","75582","1","","","","Public - State","66.2'","Clinometer/laser rangefinder/sine","","","","Girth taken at 8"" because it is the smallest girth below a fused triple stem. Girth is 160"" at 4 1/2'","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Austrian Pine","Pinus nigra","Maryland","Baltimore City","Cylburn Arboretum","","","","","102902","1","","","400.0 ft","Public","40.5'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Turner Sharp","2015-08-16","","N"
"Austrian Pine","Pinus nigra","New York","Dutchess","Staatsburgh State Historical Site","","","192 acres. It is part of the Mills-Norrie State Park complex with an additional 988 acres.","","261815","1","","","","Public - state","100.7'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2018-08-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8249%26sid%3D7ec1593281317737acda18ab545581a7","N"
"Austrian Pine","Pinus nigra","New York","Monroe","Highland Park","","","","","226115","1","","","","Public","50.9'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Austrian Pine","Pinus nigra","New York","Monroe","Highland Park","","","","","226015","1","","","","Public","72.0'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Austrian Pine","Pinus nigra","New York","Ontario","Glenwood Cemetery","42 50.913","-076 58.906","","","229182","1","42 50.913","-076 58.906","495.0 ft","Public","90.5'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Elijah Whitcomb","2020-12-27","","N"
"Austrian Pine","Pinus nigra","Ohio","Lorain","Avon Center Cemetery","","","Also known as Mound Cemetery.","","161089","1","","","700.0 ft","Private","35.0'","Clinometer/laser rangefinder/sine","","","","Height was stated as mid 30's.","Steve Galehouse","2010-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D1132%23p3931","N"
"Austrian Pine","Pinus nigra","West Virginia","Wood","Wood County Historical Trees","39 17.005","-081 31.245","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315277","1","39 17.005","-081 31.245","","Public and Private","36.0'","Clinometer/laser rangefinder/sine","3.3'","39''","20.0'","Last measured by T. Sharp 2012.
Tree died 2011 but measurements were made on standing tree with intact bark.
Tree was removed 2013
Tree was located along 3414 Roseland Avenue","Turner Sharp","2000-01-01","","N"
"Austrian Pine","Pinus nigra","West Virginia","Wood","Wood County Single Tree Sites","39 16.632","-081 32.022","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","315042","1","39 16.632","-081 32.022","","Public and private","54.4'","Clinometer/laser rangefinder/sine","6.1'","73''","42.5'","Measured by T. Sharp 2020 in backyard of 2231 Liberty Street, Parkersburg. Crown spread ar an average of the two spoke method.","Turner Sharp","2000-01-01","","N"
