"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Longleaf Pine","Pinus palustris","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233701","1","","","","Public - federal","70.5'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Longleaf Pine","Pinus palustris","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233702","1","","","","Public - federal","74.8'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Then(NLT)","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Longleaf Pine","Pinus palustris","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233703","1","","","","Public - federal","81.4'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Longleaf Pine","Pinus palustris","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233704","1","","","","Public - federal","88.0'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Longleaf Pine","Pinus palustris","Alabama","Montgomery","Alabama Single Tree Sites","30 31.432","-087 54.562","","","253888","1","30 31.432","-087 54.562","","Public-Private","82.5'","Clinometer/laser rangefinder/sine","7.8'","93''","51.0'","Measured by L. Tucei 1/19/2009 in Knoll Park, Fairhope, Baldwin County.","Various Various","2001-01-01","","N"
"Longleaf Pine","Pinus palustris","Florida","Levy","Manatee Springs State Park","29 29.969","-082 57.971","","","159257","1","29 29.969","-082 57.971","","Public - state","84.4'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Turner Sharp","2017-03-08","","N"
"Longleaf Pine","Pinus palustris","Florida","Levy","Manatee Springs State Park","29 29.996","-082 57.962","","","159256","1","29 29.996","-082 57.962","","Public - state","92.0'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2017-03-08","","N"
"Longleaf Pine","Pinus palustris","Florida","Wakulla","Apalachicola National Forest","","","","","242638","1","","","","Public - federal","56.1'","Clinometer/laser rangefinder/sine","5.9'","71''","","","James Parton","2010-07-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D72%26t%3D1068%26sid%3D0440e2c43a69f9c47a60098925d9aab1%23p3729","N"
"Longleaf Pine","Pinus palustris","Florida","Wakulla","Apalachicola National Forest","","","","","242637","1","","","","Public - federal","79.2'","Clinometer/laser rangefinder/sine","5.5'","66''","","","James Parton","2010-07-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D72%26t%3D1068%26sid%3D0440e2c43a69f9c47a60098925d9aab1%23p3729","N"
"Longleaf Pine","Pinus palustris","Mississippi","Hinds","Mississippi Single Tree Sites","30 23.325","-088 37.378","","","253860","1","30 23.325","-088 37.378","","Public-Private","66.0'","Clinometer/laser rangefinder/sine","4.5'","54''","30.0'","Measured by L. Tucei 3/23/2008 near Gautier, Jackson County/","Various Various","2001-01-01","","N"
"Longleaf Pine","Pinus palustris","North Carolina","Guilford","Guilford Courthouse","","","","","40747","1","","","","Public","59.5'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-11-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4752","N"
"Longleaf Pine","Pinus palustris","Pennsylvania","Delaware","Wallinford - East Brookhaven Road","39 53.970","-075 22.318","","","134439","1","39 53.970","-075 22.318","","Private","64.2'","Clinometer/laser rangefinder/sine","5.5'","66''","24.0'","Tree located at 6 East Brookhaven Road, Wallingford.","Scott Wade., Rick Ray","2008-12-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fwallingford_pa_trees.htm","N"
"Longleaf Pine","Pinus palustris","South Carolina","Chesterfield","Cheraw State Park","34 38.213","-079 53.526","","","2428","1","34 38.213","-079 53.526","","Public","100.2'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Tyler Phillips","2011-02-06","","N"
