"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","Alpine","Mokelumne Wilderness","38 34.997","-119 58.776","105,165 acres located in  three national forests - Stanislous, Eldorado, Toiyobe.and three counties - Alpine, Amador, Caleveras.","","268390","1","38 34.997","-119 58.776","5400.0 ft","Public - federal","176.0'","Clinometer/laser rangefinder/sine","27.3'","328''","","","Michael Taylor, John Montague","2014-08-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D6489%26sid%3D6e62643deb8570943e03b41445a50980","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268762","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","26.4'","317''","70.0'","Known as ""Mondo Pondo""
4420 cubic feet","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268759","1","","","","Public - federal","201.0'","Clinometer/laser rangefinder/sine","25.9'","311''","","","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268761","1","","","","Public - federal","208.0'","Clinometer/laser rangefinder/sine","23.5'","282''","","Located above Gerle Creek","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268763","1","","","","Public - federal","224.0'","Clinometer/laser rangefinder/sine","24.2'","290''","","4650 cubic feet
Known as ""Talos- Bronze Giant""","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","El Dorado","El  Dorado National Forest","","","956,724 acres in El Dorado, Amador, Alpine, Placer and Douglas: NV counties.
Some measurements were made 11/8/2011","","268760","1","","","","Public - federal","235.0'","Clinometer/laser rangefinder/sine","27.0'","324''","","5400 cubic feet","Michael Taylor, Mike Hanuschik","2011-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D2861%23p11245","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","El Dorado","Lake Tahoe","","","Trees along Highway 89 on west side of Lake Tahoe.","","268386","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","22.8'","273''","","Tree along Highway 89 on west side of Lake Tahoe.","Mark Collins","2012-10-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4647%23p19803","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","Mariposa","Yosemite National Park","","","","","268981","1","","","","Public - federal","253.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","Nevada","Tahoe National Forest","39 11.054","-120 29.510","","","280379","1","39 11.054","-120 29.510","5000.0 ft","Public - federal","197.0'","Clinometer/laser rangefinder/sine","23.3'","280''","","Known as the Russwll Toole Tree.","Michael Taylor, Duncan Kennedy","2017-11-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
"Ponderosa Pine","Pinus ponderosa var. benthamiana","California","Nevada","Tahoe National Forest","","","","","280375","1","","","3250.0 ft","Public - federal","260.4'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor, Zane Moore, Duncan Kennedy","2019-01-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
