"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Cochise","Cave Creek Canyon","31 51.860","-109 11.435","","","320813","1","31 51.860","-109 11.435","5425.0 ft","Public","126.4'","Clinometer/laser rangefinder/sine","7.8'","94''","","ID uncertain","Elijah Whitcomb","2025-01-15","","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Cochise","Cave Creek Canyon","31 52.773","-109 10.672","","","320812","1","31 52.773","-109 10.672","5210.0 ft","Public","132.3'","Clinometer/laser rangefinder/sine","10.3'","124''","","ID uncertain","Elijah Whitcomb","2025-01-15","","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Barbershop Spring","34 26.220","-111 12.011","","","137141","1","34 26.220","-111 12.011","","Public - Federal","96.2'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Barbershop Spring","","","","","137142","1","","","","Public - Federal","121.2'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Barbershop Spring","","","","","137147","1","","","","Public - Federal","137.4'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Barbershop Spring","34 26.298","-111 11.709","","","137149","1","34 26.298","-111 11.709","","Public - Federal","138.9'","Clinometer/laser rangefinder/sine","10.0'","120''","","Edge of meadow.","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Bonito Park Area","","","","","130884","1","","","6900.0 ft","Public - Federal","72.2'","Clinometer/laser rangefinder/sine","7.6'","92''","","","Turner Sharp","2016-09-10","","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Bonito Park Area","35 22.140","-111 32.376","","","130883","1","35 22.140","-111 32.376","6900.0 ft","Public - Federal","73.4'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Turner Sharp","2016-09-10","","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Bonito Park Area","35 22.088","-111 32.248","","","130878","1","35 22.088","-111 32.248","6900.0 ft","Public - Federal","77.4'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Turner Sharp","2016-09-10","","N"
"Ponderosa Pine","Pinus ponderosa var. brachyptera","Arizona","Coconino","Bonito Park Area","35 22.172","-111 32.395","","","130886","1","35 22.172","-111 32.395","6900.0 ft","Public - Federal","79.1'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Turner Sharp","2016-09-10","","N"
