"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Idaho","Powell Campground","46 30.739","-114 43.286","","","164329","2","46 30.739","-114 43.286","3400.0 ft","Public","131.1'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Turner Sharp, Turner Sharp","2018-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","","","","","78317","1","","","2500.0 ft","Public - National Forest","72.5'","Clinometer/laser rangefinder/sine","9.1'","109''","","Valley County, Lower Yellow Pine Bar Camp, mile 36.9.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 30.531","-115 03.379","","","78315","1","45 30.531","-115 03.379","2700.0 ft","Public - National Forest","92.7'","Clinometer/laser rangefinder/sine","11.6'","139''","","Valley County at Sandy Hole Camp mile 23.2.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 27.161","-115 46.061","","","76372","1","45 27.161","-115 46.061","2000.0 ft","Public - National Forest","102.2'","Clinometer/laser rangefinder/sine","6.1'","73''","","Valley County, T-Bone Camp, mile 71.7","Turner Sharp, John Fichtner","2010-08-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","","","","","78327","1","","","2200.0 ft","Public - National Forest","111.4'","Clinometer/laser rangefinder/sine","8.1'","97''","","Valley County, Swimming Hole Camp at mile 61.6.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 22.193","-114 41.214","","","76273","2","45 22.193","-114 41.214","2900.0 ft","Public - National Forest","112.4'","Clinometer/laser rangefinder/sine","11.9'","143''","","Lemhi County at Corn Creek Ranger Station and Campground. Mile 0.This tree was previously measured during 8/2010 trip.","Turner Sharp, John Fichtner, Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","","","","","78318","1","","","2500.0 ft","Public - National Forest","113.9'","Clinometer/laser rangefinder/sine","6.9'","83''","","Valley County, Lower Yellow Pine Bar Camp, mile 36.9.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 32.425","-115 15.861","","","76370","1","45 32.425","-115 15.861","2500.0 ft","Public - National Forest","114.3'","Clinometer/laser rangefinder/sine","7.5'","90''","","Valley County, Lower Yellow Pine Bar Camp, mile 36.9.","Turner Sharp, John Fichtner","2010-08-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","","","","","78319","1","","","2500.0 ft","Public - National Forest","115.3'","Clinometer/laser rangefinder/sine","5.8'","70''","","Valley County, Lower Yellow Pine Bar Camp, mile 36.9.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 28.328","-115 23.658","","","78320","1","45 28.328","-115 23.658","2400.0 ft","Public - National Forest","121.2'","Clinometer/laser rangefinder/sine","9.8'","118''","","Valley County, Rhett Creek Camp at mile 46.6.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
"Ponderosa Pine","Pinus ponderosa var. ponderosa","Idaho","Lemhi","Salmon River Corridor - Corn Creek To Carey Creek","45 32.400","-115 15.906","","","78316","1","45 32.400","-115 15.906","2500.0 ft","Public - National Forest","127.4'","Clinometer/laser rangefinder/sine","6.5'","78''","","Valley County, Lower Yellow Pine Bar Camp at mile 36.9.","Turner Sharp, Nancy Ward","2013-08-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D5976","N"
