"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Arizona","Coconino","Flagstaff Snow Bowl Road","35 18.747","-111 43.304","","","320686","1","35 18.747","-111 43.304","8735.0 ft","Public","127.0'","Clinometer/laser rangefinder/sine","12.9'","155''","","May be subsp. brachyptera","Elijah Whitcomb","2025-01-21","","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","Archuleta","Piedra River And Tributaries","","","","","242325","1","","","","Public - federal","124.5'","Clinometer/laser rangefinder/sine","","","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","Archuleta","Piedra River And Tributaries","","","","","242324","1","","","","Public - federal","130.0'","Clinometer/laser rangefinder/sine","10.1'","121''","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","Archuleta","Piedra River And Tributaries","","","","","242357","1","","","","Public - federal","137.0'","Clinometer/laser rangefinder/sine","12.3'","148''","35.0'","1st Fork","Matt Markworth","2016-11-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","Archuleta","Piedra River And Tributaries","","","","","242316","1","","","","Public - federal","140.0'","Clinometer/laser rangefinder/sine","","","","Horse Creek","Matt Markworth, Larry Tucei, Chris Smith","2014-08-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","Archuleta","Piedra River And Tributaries","","","","","242359","1","","","","Public - federal","149.6'","Clinometer/laser rangefinder/sine","9.2'","110''","","Coldwater Creek","Matt Markworth","2016-11-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6504%26sid%3D47e5edd069569045115cbc54735ff8a8%23p29672","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","La Plata","Hermosa Creek","","","","","280645","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","12.3'","147''","","Swampy Creek","Matt Markworth, Will Blozan, Larry Tucei","2015-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","La Plata","Hermosa Creek","","","","","280646","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","11.7'","140''","","","Matt Markworth, Will Blozan, Larry Tucei","2015-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","La Plata","Hermosa Creek","","","","","242469","1","","","","Public - federal","144.0'","Clinometer/laser rangefinder/sine","10.3'","123''","","Hermosa Creek","Matt Markworth, Will Blozan, Chris Morris","2014-08-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Ponderosa Pine","Pinus ponderosa var. scopulorum","Colorado","La Plata","Hermosa Creek","","","","","242494","1","","","","Public - federal","147.5'","Clinometer/laser rangefinder/sine","10.5'","126''","","1st Fork","Matt Markworth, Will Blozan, Chris Morris","2014-08-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
