"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Table Mountain Pine","Pinus pungens","North Carolina","Cocke","Kalanu Prong","","","Kalanu Prong into False Gap Prong, into Porters Creek into Little Pigeon River","","229607","1","","","","Public - national","96.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2006-03-12","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fkalanu_prong.htm","N"
"Table Mountain Pine","Pinus pungens","New York","Monroe","Seneca Park","43 12.011","-077 37.195","","","218289","1","43 12.011","-077 37.195","385.0 ft","Public","30.3'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Elijah Whitcomb","2020-11-01","","N"
"Table Mountain Pine","Pinus pungens","Pennsylvania","Westmoreland","Keystone State Park","","","Trees were measured in four different areas of the park from 9/16/2005 to 3/7/2008.","","119196","1","","","","Public - state","73.6'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Dale Luthringer","2008-03-07","","N"
"Table Mountain Pine","Pinus pungens","Pennsylvania","Westmoreland","Keystone State Park","","","Trees were measured in four different areas of the park from 9/16/2005 to 3/7/2008.","","119197","1","","","","Public - state","77.7'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Dale Luthringer","2008-03-07","","N"
"Table Mountain Pine","Pinus pungens","Pennsylvania","Westmoreland","Keystone State Park","","","Trees were measured in four different areas of the park from 9/16/2005 to 3/7/2008.","","119198","1","","","","Public - state","77.9'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Dale Luthringer","2008-03-07","","N"
"Table Mountain Pine","Pinus pungens","Pennsylvania","Westmoreland","Keystone State Park","","","Trees were measured in four different areas of the park from 9/16/2005 to 3/7/2008.","","119199","1","","","","Public - state","79.4'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Dale Luthringer","2008-03-07","","N"
"Table Mountain Pine","Pinus pungens","Pennsylvania","Westmoreland","Keystone State Park","40 22.277","-079 22.807","Trees were measured in four different areas of the park from 9/16/2005 to 3/7/2008.","","119200","1","40 22.277","-079 22.807","","Public - state","81.9'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Dale Luthringer","2008-03-07","","N"
"Table Mountain Pine","Pinus pungens","South Carolina","Greenville","Paris Mountain State Park","","","Trees were measured along the Brissy Mountain and Pepissiwa Trails.","","237791","1","","","","Public - state","","Clinometer/laser rangefinder/sine","5.2'","62''","","","Jess Riddle","2002-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D948","N"
"Table Mountain Pine","Pinus pungens","South Carolina","Greenville","Paris Mountain State Park","","","Trees were measured along the Brissy Mountain and Pepissiwa Trails.","","237792","1","","","","Public - state","93.8'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2002-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D948","N"
"Table Mountain Pine","Pinus pungens","South Carolina","Greenville","Paris Mountain State Park","","","Trees were measured along the Brissy Mountain and Pepissiwa Trails.","","237793","1","","","","Public - state","98.3'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Jess Riddle","2002-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D948","N"
"Table Mountain Pine","Pinus pungens","South Carolina","Oconee","Tamassee Knob","","","","","252899","1","","","","Public - federal","89.5'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Jess Riddle","2005-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D7608","N"
"Table Mountain Pine","Pinus pungens","Tennessee","Blount","Abrams Creek","","","","","230566","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","5.2'","62''","","On Hannah Branch","Michael Davie, Jess Riddle","2004-03-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fwest_end_gsmnp.htm","N"
"Table Mountain Pine","Pinus pungens","Virginia","Fairfax","Turkey Run Park","","","Part of George Washington Memorial Parkway.","","168562","1","","","","Public-federal.","64.3'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Darian Copiz","2017-03-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D128%26t%3D7961","N"
"Table Mountain Pine","Pinus pungens","Virginia","Fairfax","Turkey Run Park","","","Part of George Washington Memorial Parkway.","","168561","1","","","","Public-federal.","68.0'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Darian Copiz","2017-03-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D128%26t%3D7961","N"
"Table Mountain Pine","Pinus pungens","West Virginia","54 Counties","West Virginia Single Tree Sites","37 43.530","-080 19.829","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313123","1","37 43.530","-080 19.829","2800.0 ft","Private & Publc","70.7'","Clinometer/laser rangefinder/sine","6.2'","74''","32.0'","Measured by Allen Waldron 1/10/2012
Crown spread is average","Various Various","1963-01-01","","N"
"Table Mountain Pine","Pinus pungens","West Virginia","54 Counties","West Virginia Single Tree Sites","39 05.977","-078 38.970","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313105","1","39 05.977","-078 38.970","1400.0 ft","Private & Publc","96.4'","Clinometer/laser rangefinder/sine","5.4'","65''","35.3'","Measured J. Bowen 2002.
Tree located near wardensville Hardy County. Inspected by J. Bowen 2/16/2010 a 94.4'' x 63"" x 33' .
Inspected by J. Bowen on 3/30/2018","Various Various","1963-01-01","","N"
"Table Mountain Pine","Pinus pungens","West Virginia","54 Counties","West Virginia Single Tree Sites","39 05.979","-078 30.521","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313263","1","39 05.979","-078 30.521","1600.0 ft","Private & Publc","96.4'","Clinometer/laser rangefinder/sine","6.0'","72''","39.1'","Measured by J. Bowen, I. Bergdoll, D. Moreland J. Kinlein. 6/21/2022.  From intersection of 259/55 north of Wardensville go 4.1 miles on 55 to left turn on FS 502 thengo 1.6 miles and just past Food plot. Park and then walk about 360 yards and tree will be on right about20 feet below road. l","Various Various","1963-01-01","","N"
"Table Mountain Pine","Pinus pungens","West Virginia","Monongalia","Guthrie Loop Trail","39 38.788","-079 58.649","This section of the arboretum features mostly planted specimens of native and exoctic species.","","222944","1","39 38.788","-079 58.649","1040.0 ft","Public - state","61.8'","Clinometer/laser rangefinder/sine","4.7'","56''","42.0'","Crown spread is an average of the two axis method.","Turner Sharp","2016-02-29","","N"
"Table Mountain Pine","Pinus pungens","West Virginia","Monongalia","Guthrie Loop Trail","","","This section of the arboretum features mostly planted specimens of native and exoctic species.","","222945","1","","","","Public - state","62.0'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Turner Sharp","2016-02-29","","N"
