"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Red Pine","Pinus resinosa","Massachusetts","Franklin","Shelburne Falls Area","","","","","235562","1","","","","Public-Private","103.1'","Clinometer/laser rangefinder/sine","5.8'","70''","","","John Eichholz","2004-11-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fshelburne04.htm","N"
"Red Pine","Pinus resinosa","Massachusetts","Worcester","Eastwood Cemetery","","","Natural occurrence ?","","250349","1","","","","Public-Private","100.1'","Clinometer/laser rangefinder/sine","","","","","Jared Lockwood","2016-04-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7678%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Red Pine","Pinus resinosa","Massachusetts","Worcester","Eastwood Cemetery","","","Natural occurrence ?","","250348","1","","","","Public-Private","102.0'","Clinometer/laser rangefinder/sine","","","","","Jared Lockwood","2016-04-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7678%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Red Pine","Pinus resinosa","Massachusetts","Worcester","Eastwood Cemetery","","","Natural occurrence ?","","250347","1","","","","Public-Private","102.5'","Clinometer/laser rangefinder/sine","","","","","Jared Lockwood","2016-04-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7678%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Red Pine","Pinus resinosa","Massachusetts","Worcester","Eastwood Cemetery","","","Natural occurrence ?","","250346","1","","","","Public-Private","103.2'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Jared Lockwood","2016-04-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7678%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Red Pine","Pinus resinosa","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235321","1","","","","Public - federal","95.4'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Red Pine","Pinus resinosa","Michigan","Houghton","Pike Bay Experimental Forest","","","","","233432","1","","","","Public - federal","85.6'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Don Bragg","2007-06-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Michigan","Houghton","Pike Bay Experimental Forest","","","","","233431","1","","","","Public - federal","92.1'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Don Bragg","2007-06-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Michigan","Houghton","Pike Bay Experimental Forest","","","","","233428","1","","","","Public - federal","97.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Don Bragg","2007-06-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","Cass","Pine Point Research Natural Area","","","","","239867","1","","","","Public - federal","","","8.6'","103''","","","Jimmy Mcdonald","2010-09-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D1433%26sid%3D90f19a2bba70c1c49388750490292b53","N"
"Red Pine","Pinus resinosa","Minnesota","Cass","Schoolcraft State Park","","","225 acres","","239731","1","","","","Public - state","","","8.0'","96''","","","Jimmy Mcdonald","2010-09-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D1435%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8","N"
"Red Pine","Pinus resinosa","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233302","1","","","","Public - federal","91.6'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233301","1","","","","Public - federal","96.9'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233305","1","","","","Public - federal","104.0'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233300","1","","","","Public - federal","107.9'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233304","1","","","","Public - federal","108.4'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233303","1","","","","Public - federal","111.9'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Red Pine","Pinus resinosa","Minnesota","St. Louis","Jay Cooke State Forest","","","8125 Acres","","239873","1","","","","Public - state","87.5'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Larry Tucei","2013-12-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D5907%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8","N"
"Red Pine","Pinus resinosa","Minnesota","St. Louis","Jay Cooke State Forest","","","8125 Acres","","239872","1","","","","Public - state","92.5'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Larry Tucei","2013-12-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D5907%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8","N"
"Red Pine","Pinus resinosa","Minnesota","St. Louis","Park Point","","","Also known as Minnesota Point and is on a seven mile long fresh water sandbar.
Park is 584 Acres and includes an 18 acre pine scientific and natural area plus 10 acres in the Southworth Marsh.","","233395","1","","","","Public - city","72.0'","Clinometer/laser rangefinder/sine","6.2'","74''","30.0'","","Larry Tucei","2007-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fdouglas%2Fdouglas_county.htm","N"
"Red Pine","Pinus resinosa","Minnesota","St. Louis","Park Point","","","Also known as Minnesota Point and is on a seven mile long fresh water sandbar.
Park is 584 Acres and includes an 18 acre pine scientific and natural area plus 10 acres in the Southworth Marsh.","","233396","1","","","","Public - city","72.0'","Clinometer/laser rangefinder/sine","4.2'","50''","25.0'","","Larry Tucei","2007-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fdouglas%2Fdouglas_county.htm","N"
"Red Pine","Pinus resinosa","North Carolina","Buncombe","Entrance Along Bent Creek Floodplain","","","","","39492","1","","","","WNC Arboretum","85.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4489%26start%3D20","N"
