"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pitch Pine","Pinus rigida","Connecticut","Hartford","Newgate Wildlife Management Area","","","600 acres including some co-operating entities.","","234253","1","","","","Public - state","65.0'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Sam Goodwin","2010-02-08","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F213ecb981dfb6391%3Fhl%3Den","N"
"Pitch Pine","Pinus rigida","Connecticut","Hartford","Pennwood State Park","","","Some additional trees were listed in a posting on Google groups.","","243311","1","","","","Public - state park","80.0'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Sam Goodwin","2010-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D119%26sid%3De71fd8ecae88fb4909b2191320272727%23p267","N"
"Pitch Pine","Pinus rigida","District of Columbia","District Of Columbia","Trees Near Roadways And Parking Lots (Rock Creek Park)","","","","","126753","1","","","200.0 ft","Public - National Park","106.0'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Will Blozan","2005-01-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Pitch Pine","Pinus rigida","Georgia","Rabun","Cliff Creek","","","","","235212","1","","","","Public - federal","122.2'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Pitch Pine","Pinus rigida","Georgia","Rabun","Cliff Creek","","","","","235213","1","","","","Public - federal","125.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Pitch Pine","Pinus rigida","Georgia","Rabun","Cliff Creek","","","","","235214","1","","","","Public - federal","130.3'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Pitch Pine","Pinus rigida","Georgia","Rabun","Cliff Creek","","","","","249064","1","","","","Public - federal","136.0'","Clinometer/laser rangefinder/sine","4.2'","51''","","","Jess Riddle, Doug Riddle","2011-01-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Pitch Pine","Pinus rigida","Georgia","Rabun","Warwomen Road","34 55.593","-083 13.063","","","249642","2","34 55.593","-083 13.063","","Public - federal","142.3'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Will Blozan, Jess Riddle","2011-01-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1879%26sid%3D52d2015262de871c54c43d91bf6f4b3f%23p6873","N"
"Pitch Pine","Pinus rigida","Georgia","Rabun","West Fork Chattooga River","","","","","249655","1","","","","Public - federal","146.4'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle","2016-02-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D7533%26sid%3D52d2015262de871c54c43d91bf6f4b3f","N"
"Pitch Pine","Pinus rigida","Kentucky","Letcher","Lilly Cornett Woods","","","Must make an appointment to access the property","","76452","1","","","1200.0 ft","Public - State Natural Area","87.1'","Clinometer/laser rangefinder/sine","5.5'","66''","","Height is Not Less Than (NTL)","Dale Luthringer","2004-02-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Flilley_cornett_woods.htm","N"
"Pitch Pine","Pinus rigida","Massachusetts","Hampden","Southwick Tail Trail","","","6.5 mile trail from MA/CT border to Shaker Road in Wesrfield, MA.","","250085","1","","","","Public - state","85.0'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Sam Goodwin","2011-03-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D2253%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032","N"
"Pitch Pine","Pinus rigida","Massachusetts","Hampshire","DAR State Forest","","","1728 Acres","","235849","1","","","","Public - state","51.5'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Jeff Lacoy","2009-02-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fday_hike_report_2609.htm","N"
"Pitch Pine","Pinus rigida","Massachusetts","Hampshire","DAR State Forest","","","1728 Acres","","235848","1","","","","Public - state","77.6'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Jeff Lacoy","2009-02-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fday_hike_report_2609.htm","N"
"Pitch Pine","Pinus rigida","Massachusetts","Middlesex","Mount Misery Conservation Area","42 25.066","-071 21.234","227 Acres","","250541","2","42 25.066","-071 21.234","","Public - city","102.8'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Doug Bidlack, Jared Lockwood","2017-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6738%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Pitch Pine","Pinus rigida","Massachusetts","Worcester","Blomfelt Conservation Area","","","30 acres","","250537","1","","","","Public - city","100.3'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Jared Lockwood","2016-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7869%26sid%3D8def4cf5010eaa8d4aa3ae1748691869%23p39041","N"
"Pitch Pine","Pinus rigida","Massachusetts","Worcester","Blomfelt Conservation Area","","","30 acres","","250538","1","","","","Public - city","101.8'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Jared Lockwood","2016-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7869%26sid%3D8def4cf5010eaa8d4aa3ae1748691869%23p39041","N"
