"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern White Pine","Pinus strobus","Connecticut","Hartford","Belden Forest","","","42 Acres
Part of the Old Growth Forest Network","","242568","1","","","","Public - city","115.0'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Sam Goodwin","2011-04-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D2364%26sid%3D6e036ea14bd1201febeff72eaf63d0a3","N"
"Eastern White Pine","Pinus strobus","Connecticut","Hartford","East Granby Farms Recreational Center","","","","","242632","1","","","","Public - city","85.0'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Sam Goodwin","2014-11-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D6755%26sid%3D24164709fb7900e73daf958a7baa364f%23p31205","N"
"Eastern White Pine","Pinus strobus","Connecticut","Hartford","Spring Park","","","44 Acres","","242576","1","","","","Public - city","","Clinometer/laser rangefinder/sine","9.5'","114''","","","Sam Goodwin","2011-10-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D3168%26sid%3D6e036ea14bd1201febeff72eaf63d0a3","N"
"Eastern White Pine","Pinus strobus","Connecticut","Hartford","Spring Park","","","44 Acres","","242577","1","","","","Public - city","80.0'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Sam Goodwin","2011-10-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D3168%26sid%3D6e036ea14bd1201febeff72eaf63d0a3","N"
"Eastern White Pine","Pinus strobus","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242616","1","","","","Public - Nature Conservancy","144.4'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern White Pine","Pinus strobus","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242617","1","","","","Public - Nature Conservancy","144.7'","Clinometer/laser rangefinder/sine","12.0'","144''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern White Pine","Pinus strobus","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242618","1","","","","Public - Nature Conservancy","145.3'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern White Pine","Pinus strobus","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242619","1","","","","Public - Nature Conservancy","147.7'","Clinometer/laser rangefinder/sine","12.5'","150''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern White Pine","Pinus strobus","Connecticut","Litchfield","Cathedral Pines","","","42 Acres","","242620","1","","","","Public - Nature Conservancy","151.0'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jared Lockwood, Ray Asselin","2020-07-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D8706%26sid%3D24164709fb7900e73daf958a7baa364f%23p44402","N"
"Eastern White Pine","Pinus strobus","Connecticut","Litchfield","Catlin Woods","","","4000 acres and contains Catlin Woods.","","234232","1","","","","Private","","Clinometer/laser rangefinder/sine","10.7'","128''","","","Ernie Ostuno","2004-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fostuno%2Fconn%2Fconnecticut_sites.htm","N"
