"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Scots Pine","Pinus sylvestris","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283482","1","","","","Public - federal","130.0'","Clinometer/laser rangefinder/sine","12.4'","149''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Scots Pine","Pinus sylvestris","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283483","1","","","","Public - federal","130.0'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Scots Pine","Pinus sylvestris","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283481","1","","","","Public - federal","148.6'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Scots Pine","Pinus sylvestris","Andalusia","Málaga","Ronda","","","","","283180","1","","","","Public - city","38.7'","Clinometer/laser rangefinder/sine","5.4'","65''","","Locatedi Plaza Marie Auxiliadora","Turner Sharp","2014-11-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D403%26t%3D6982%26sid%3D665c7b00afe9cb7d13275eb83e9b52fd","N"
"Scots Pine","Pinus sylvestris","Massachusetts","Middlesex","Mount Misery Conservation Area","","","227 Acres","","250675","1","","","","Public - city","98.7'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Jared Lockwood","2017-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6738%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Scots Pine","Pinus sylvestris","New York","Chenango","Mt. Hope Cemetery, Norwich","","","","","124451","1","","","","Private","103.0'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Elijah Whitcomb","2016-05-21","","N"
"Scots Pine","Pinus sylvestris","New York","Chenango","Mt. Hope Cemetery, Norwich","","","","","124450","1","","","","Private","105.7'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Elijah Whitcomb","2016-05-21","","N"
"Scots Pine","Pinus sylvestris","New York","Cortland","Morgan Hill State Forest","","","","","204971","1","","","","Public","77.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-20","","N"
"Scots Pine","Pinus sylvestris","New York","Monroe","Washington Grove City Park","","","","","211679","1","","","","Public","66.0'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb, Tom Howard","2015-12-12","www.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3263%26sid%3D3803bc1bcaa14bd290e6457a0afd92d0%26start%3D40%23p43745","N"
"Scots Pine","Pinus sylvestris","New York","Onondaga","Beaver Lake Nature Center","","","","","213019","1","","","","Public","108.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2015-11-01","","N"
