"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Virginia Pine","Pinus virginiana","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175064","1","","","","Public - federal","60.4'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Virginia Pine","Pinus virginiana","District of Columbia","District Of Columbia","Trees Near Roadways And Parking Lots (Rock Creek Park)","38 57.382","-077 03.025","","","126752","1","38 57.382","-077 03.025","200.0 ft","Public - National Park","98.1'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Will Blozan","2005-01-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Virginia Pine","Pinus virginiana","Georgia","Fulton","Leita Thompson Memorial Park","","","107 Acres","","249286","1","","","","Public - city","99.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5097%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Virginia Pine","Pinus virginiana","Georgia","Rabun","Camp Creek","","","Trees were measured on an alluvial flat.","","249343","1","","","","Public - federal","71.5'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle","2013-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5736%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Virginia Pine","Pinus virginiana","Georgia","Rabun","Cliff Creek","","","","","249065","1","","","","Public - federal","112.0'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Jess Riddle, Doug Riddle","2011-01-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Virginia Pine","Pinus virginiana","Georgia","Rabun","Warwomen Road","34 55.603","-083 13.041","","","249643","2","34 55.603","-083 13.041","","Public - federal","122.3'","Clinometer/laser rangefinder/sine","5.1'","61''","32.0'","","Will Blozan, Jess Riddle","2011-01-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1879%26sid%3D52d2015262de871c54c43d91bf6f4b3f%23p6873","N"
"Virginia Pine","Pinus virginiana","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","234485","1","","","","Public - state","99.2'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle","2005-07-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Virginia Pine","Pinus virginiana","Georgia","White","Horse Creek","","","","","249319","1","","","","Public - federal","102.3'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2013-03-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5208%26sid%3Da73770c2b894b38da07dbd9d5b148ced%23p22715","N"
"Virginia Pine","Pinus virginiana","Georgia","White","Spoilcane Creek","","","","","249304","1","","","","Public - federal","111.2'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2012-01-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3514%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Virginia Pine","Pinus virginiana","Kentucky","Edmonson","Mammoth Cave National Park","","","","","76407","1","","","680.0 ft","Public","68.0'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Turner Sharp","2013-03-19","","N"
"Virginia Pine","Pinus virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 14.128","-086 05.850","","","297475","1","37 14.128","-086 05.850","605.0 ft","Public","111.3'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2023-06-23","","N"
"Virginia Pine","Pinus virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 13.045","-086 13.618","","","297302","1","37 13.045","-086 13.618","640.0 ft","Public","118.0'","Clinometer/laser rangefinder/sine","5.7'","69''","","","Elijah Whitcomb","2023-06-23","","N"
"Virginia Pine","Pinus virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 14.010","-086 04.924","","","297474","1","37 14.010","-086 04.924","","Public","119.4'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2023-06-23","","N"
"Virginia Pine","Pinus virginiana","Kentucky","Letcher","Lilly Cornett Woods","","","Must make an appointment to access the property","","76455","1","","","1200.0 ft","Public - State Natural Area","78.1'","Clinometer/laser rangefinder/sine","4.9'","59''","","Height is Not Less Than (NLT)","Dale Luthringer","2004-02-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Flilley_cornett_woods.htm","N"
"Virginia Pine","Pinus virginiana","Maryland","Anne Arundel","Broadneck Hill","","","School address is 470 Shore Acres Road, Arnold. MD","","45356","1","","","","Public - County school","93.9'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Colby Rucker","2001-09-30","","N"
