"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Sycamore","Platanus occidentalis","Alabama","Jackson","Walls Of Jericho","34 59.171","-086 05.286","","","315711","1","34 59.171","-086 05.286","785.0 ft","Public","136.3'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Elijah Whitcomb","2024-04-20","","N"
"American Sycamore","Platanus occidentalis","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233886","1","","","","Public - federal","120.6'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"American Sycamore","Platanus occidentalis","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233885","1","","","","Public - federal","134.6'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"American Sycamore","Platanus occidentalis","Alabama","Montgomery","Alabama Single Tree Sites","36 20.239","-094 06.127","","","253882","1","36 20.239","-094 06.127","1200.0 ft","Public-Private","121.5'","Clinometer/laser rangefinder/sine","16.1'","193''","88.0'","Measured by R. Leverett 7/1/2014 at Lake Atalanta Park, East Walnut Street, Rogers, Benton County.","Various Various","2001-01-01","","N"
"American Sycamore","Platanus occidentalis","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241727","1","","","","Public - federal","118.0'","Clinometer/laser rangefinder/sine","17.3'","207''","","Located near Jacks Bay Landing","Jess Riddle","2014-03-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"American Sycamore","Platanus occidentalis","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243114","1","","","","Public - federal","126.8'","Clinometer/laser rangefinder/sine","10.8'","129''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"American Sycamore","Platanus occidentalis","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243113","1","","","","Public - federal","130.2'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"American Sycamore","Platanus occidentalis","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241465","1","","","","Public - state","116.4'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"American Sycamore","Platanus occidentalis","Connecticut","Various","Connecticut Single Tree Sites","41 50.907","-072 48.448","","","256796","1","41 50.907","-072 48.448","","public -  private","101.6'","Clinometer/laser rangefinder/sine","20.5'","246''","","""Pinchots"" brother. Tree is close to  Pinchots Sycamore near Simsbury,,Hartford County. Measured by Sam 3/5/2010. Previously measured by D. Luthringer on 4/3/2008 at 94.7' x 241""","Various Various","2000-06-01","","N"
"American Sycamore","Platanus occidentalis","Connecticut","Various","Connecticut Single Tree Sites","41 50.833","-072 48.407","","","256795","1","41 50.833","-072 48.407","300.0 ft","public -  private","104.0'","Clinometer/laser rangefinder/sine","27.8'","334''","143.4'","""Pinchot"" Sycamore.
Measured by S. Goodwin 2/2/2012. Crown spread not measured. 
Previously measured by Sam 3/6/2010 at 95' x 334"" x 143.4'. Tree located near near Simsbury, Hartford County.
Previously measured by D. Luthringer 4/3/2008 at 96.6' x 27' 2""  x 143.4' acs.
Circumference at 1'=30.7', 2'=29',3'=27.7',5'=27.8'
Croe\wm Spread is an average.","Various Various","2000-06-01","","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174784","1","","","","Public - federal","97.0'","Clinometer/laser rangefinder/sine","18.0'","216''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174783","1","","","","Public - federal","131.5'","Clinometer/laser rangefinder/sine","","","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76120","1","","","200.0 ft","Public - National Park","140.1'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76121","1","","","200.0 ft","Public - National Park","145.6'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76057","1","","","200.0 ft","Public - National Park","135.2'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","","","","","76099","1","","","200.0 ft","Public - National Park","134.3'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","","","","","76100","1","","","200.0 ft","Public - National Park","136.7'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175040","1","","","","Public - federal","104.1'","Clinometer/laser rangefinder/sine","11.8'","142''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"American Sycamore","Platanus occidentalis","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128221","1","","","50.0 ft","Public - National Park","111.3'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"American Sycamore","Platanus occidentalis","Delaware","New Castle","Brandywine Creek State Park","","","","","142916","1","","","","State","96.6'","Clinometer/laser rangefinder/sine","18.0'","216''","","","George Fieo","2011-01-09","","N"
"American Sycamore","Platanus occidentalis","Delaware","New Castle","Brandywine Creek State Park","","","","","142917","1","","","","State","125.6'","Clinometer/laser rangefinder/sine","5.2'","62''","","","George Fieo","2011-01-09","","N"
"American Sycamore","Platanus occidentalis","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232130","1","","","","Public - federal","112.4'","Clinometer/laser rangefinder/sine","13.5'","162''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"American Sycamore","Platanus occidentalis","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232131","1","","","","Public - federal","134.5'","Clinometer/laser rangefinder/sine","8.8'","106''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
