"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Arizona Sycamore","Platanus wrightii","Arizona","Cochise","Cave Creek Canyon","31 52.172","-109 11.264","","","320820","1","31 52.172","-109 11.264","5375.0 ft","Public","67.3'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2025-01-15","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","Oak Creek Canyon","35 00.880","-111 44.284","","","96804","1","35 00.880","-111 44.284","5600.0 ft","Public National Forest","83.1'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Turner Sharp","2012-02-18","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","Oak Creek Canyon","","","","","96818","1","","","5400.0 ft","Public National Forest","83.6'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2012-02-18","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","Oak Creek Canyon","","","","","121525","1","","","5400.0 ft","Public National Forest","91.0'","Clinometer/laser rangefinder/sine","7.9'","95''","","Near Cave Springs Campground","Turner Sharp","2015-06-02","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","Oak Creek Canyon","","","","","96825","1","","","5400.0 ft","Public National Forest","91.3'","Clinometer/laser rangefinder/sine","9.3'","112''","","38' to first limb","Turner Sharp","2012-02-18","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","Oak Creek Canyon","","","","","96815","1","","","5400.0 ft","Public National Forest","97.9'","Clinometer/laser rangefinder/sine","11.8'","142''","","","Turner Sharp","2012-02-18","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","Oak Creek Canyon","34 58.089","-111 45.025","","","96827","1","34 58.089","-111 45.025","5200.0 ft","Public National Forest","119.9'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2012-02-18","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Coconino","West Fork Of Oak Creek","","","Trees measured were in first two miles upstream of confluence with Oak Creek","","226337","1","","","5400.0 ft","Public","88.5'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Turner Sharp","2015-06-12","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130899","1","","","4000.0 ft","Public","65.1'","Clinometer/laser rangefinder/sine","9.0'","107''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Lawrence Crossing","","","Crossing of Wet Beaver Creek is on FS 618G and has a poorly maintained campground. Crossing is unused.","","130908","1","","","3600.0 ft","Public - National Forest","66.9'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Turner Sharp","2014-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Montezuma's Well","34 38.783","-111 45.683","A unit of Montezuma Castle National Monument","","23990","1","34 38.783","-111 45.683","3500.0 ft","Public - National Monument","58.6'","Clinometer/laser rangefinder/sine","13.0'","157''","","","Turner Sharp","2012-02-28","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Montezuma's Well","34 38.890","-111 45.735","A unit of Montezuma Castle National Monument","","23989","1","34 38.890","-111 45.735","3500.0 ft","Public - National Monument","63.3'","Clinometer/laser rangefinder/sine","9.7'","117''","","","Turner Sharp","2012-02-28","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Montezuma's Well","34 38.890","-111 45.735","A unit of Montezuma Castle National Monument","","23988","1","34 38.890","-111 45.735","3500.0 ft","Public - National Monument","63.8'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Turner Sharp","2012-02-28","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Montezuma's Well","34 38.899","-111 45.075","A unit of Montezuma Castle National Monument","","23985","1","34 38.899","-111 45.075","","Public - National Monument","81.6'","Clinometer/laser rangefinder/sine","12.2'","146''","","Girth taken at 10' above mid-slope.","Turner Sharp","2012-02-28","","N"
"Arizona Sycamore","Platanus wrightii","Arizona","Yavapai","Page Springs Fish Hatchery","","","","","98287","1","","","3600.0 ft","Public","68.3'","Clinometer/laser rangefinder/sine","9.0'","107''","","","Turner Sharp","2015-06-10","","N"
