"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"London Planetree","Platanus x hispanica","Budapest","Budapest","City Park","47 30.797","019 04.931","","","283206","1","47 30.797","019 04.931","","Public - state","87.9'","Clinometer/laser rangefinder/sine","12.4'","149''","","","Turner Sharp","2016-03-29","","N"
"London Planetree","Platanus x hispanica","Budapest","Budapest","Grounds Of Museum Of Hungarian History And Culture","47 29.523","019 03.800","","","283219","1","47 29.523","019 03.800","","Public - federal","90.0'","Clinometer/laser rangefinder/sine","10.8'","129''","","","Turner Sharp","2016-03-30","","N"
"London Planetree","Platanus x hispanica","Connecticut","Hartford","East Granby Farms Recreational Center","","","","","242625","1","","","","Public - city","90.0'","Clinometer/laser rangefinder/sine","","","","","Sam Goodwin","2011-12-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D6755%26sid%3D24164709fb7900e73daf958a7baa364f%23p31205","N"
"London Planetree","Platanus x hispanica","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280532","1","","","","Public - county","100.4'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"London Planetree","Platanus x hispanica","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280522","1","","","","Public - county","107.7'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"London Planetree","Platanus x hispanica","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280521","1","","","","Public - county","115.3'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"London Planetree","Platanus x hispanica","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280520","1","","","","Public - county","115.7'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Erik Danielson","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"London Planetree","Platanus x hispanica","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280519","1","","","","Public - county","119.5'","Clinometer/laser rangefinder/sine","12.3'","148''","","","Erik Danielson","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"London Planetree","Platanus x hispanica","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280518","1","","","","Public - county","123.5'","Clinometer/laser rangefinder/sine","13.3'","160''","","","Erik Danielson","2017-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"London Planetree","Platanus x hispanica","New York","Monroe","Highland Park","","","","","226114","1","","","","Public","99.3'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
