"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Denver","Colorado Single Tree Sites","39 42.562","-105 41.731","","","242519","1","39 42.562","-105 41.731","7020.0 ft","Public - Private","","Clinometer/laser rangefinder/sine","6.2'","74''","","Tree located Georgetown City Park, Clear Creek County.
Measured by T. Sharp 7/14/2006","Various Various","2000-07-01","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Garfield","Thirteen Mile Creek","39 30.563","-107 19.110","","","98180","1","39 30.563","-107 19.110","6000.0 ft","Private","80.6'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Turner Sharp","2015-08-01","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Garfield","Thirteen Mile Creek","","","","","98181","1","","","6000.0 ft","Private","91.1'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Turner Sharp","2015-08-01","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","La Plata","Hermosa Creek","","","","","93949","1","","","","Public - federal","115.0'","Clinometer/laser rangefinder/sine","","","","Jones Creek","Matt Markworth","2014-08-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","La Plata","Hermosa Creek","","","","","280638","1","","","","Public - federal","117.0'","Clinometer/laser rangefinder/sine","","","","Hermosa Creek","Matt Markworth, Will Blozan, Larry Tucei","2015-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Routt","Yampa River Near Steamboat Springs","","","Trees measured were in flood plain of Yampa River and bounded by a KOA campground and a back channel of the main river.","","126173","1","","","6500.0 ft","Private","60.3'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Turner Sharp","2016-06-18","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Routt","Yampa River Near Steamboat Springs","","","Trees measured were in flood plain of Yampa River and bounded by a KOA campground and a back channel of the main river.","","126176","1","","","6500.0 ft","Private","67.6'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Turner Sharp","2016-06-18","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Routt","Yampa River Near Steamboat Springs","40 30.126","-106 52.625","Trees measured were in flood plain of Yampa River and bounded by a KOA campground and a back channel of the main river.","","126175","1","40 30.126","-106 52.625","6500.0 ft","Private","67.7'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Turner Sharp","2016-06-18","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Routt","Yampa River Near Steamboat Springs","","","Trees measured were in flood plain of Yampa River and bounded by a KOA campground and a back channel of the main river.","","126177","1","","","6500.0 ft","Private","72.1'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Turner Sharp","2016-06-18","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Colorado","Routt","Yampa River Near Steamboat Springs","40 30.144","-106 52.620","Trees measured were in flood plain of Yampa River and bounded by a KOA campground and a back channel of the main river.","","126174","1","40 30.144","-106 52.620","6500.0 ft","Private","81.2'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Turner Sharp","2016-06-18","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Montana","Park","Paradise Valley Campground","45 30.780","-110 34.759","Located on bottom land along the Yellowstone River.","","164205","1","45 30.780","-110 34.759","4800.0 ft","Private","79.8'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Turner Sharp","2018-07-16","","N"
"Narrowleaf Cottonwood","Populus angustifolia","Montana","Park","Paradise Valley Campground","45 30.717","-110 34.783","Located on bottom land along the Yellowstone River.","","164206","1","45 30.717","-110 34.783","4800.0 ft","Private","96.9'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Turner Sharp","2018-07-16","","N"
