"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Alaska","Haines","Portage Cove State Recreational Site","","","","","75030","1","","","80.0 ft","Public - state park","92.8'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","British Columbia","Northern Rockies","Liard River Hot Springs Provincial Park","59 25.207","-126 04.950","","","74993","1","59 25.207","-126 04.950","480.0 ft","Public - Provincial Park","91.4'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","British Columbia","Stikine Regional District","Sediments Creek Confluence","59 54.110","-137 17.996","This camp was mile 34 downstream of the put-in at Dalton Post, Yukon Territory","","75015","1","59 54.110","-137 17.996","1640.4 ft","Public","54.5'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Turner Sharp","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D157%26t%3D5522","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Idaho","Valley, Custer, Lemhi, Idaho","Middle Fork Of Salmon River Corridor-Dagger Falls To Confluence Of Salmon River","44 31.642","-115 16.979","The river Corridor is in the Federal Wild and Scenic system.","","196059","1","44 31.642","-115 16.979","5200.0 ft","Public - National Forest","65.8'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Turner Sharp","2011-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D3521","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Montana","Lewis And Clark","Montana Single Tree Sites","46 45.053","-114 05.364","","","164184","1","46 45.053","-114 05.364","3300.0 ft","Public, Private","88.4'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Various Various","2000-01-01","","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Montana","Lincoln","Ross Creek Scenic Area Giant Cedars","48 12.595","-115 54.190","","","297914","1","48 12.595","-115 54.190","2885.0 ft","Public","151.2'","Clinometer/laser rangefinder/sine","15.0'","180''","","","Elijah Whitcomb","2023-06-12","","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Washington","Chelan","Icicle Creek Trail","47 37.280","-120 57.812","","","296906","1","47 37.280","-120 57.812","2935.0 ft","Public","147.5'","Clinometer/laser rangefinder/sine","15.1'","182''","","","Elijah Whitcomb","2022-07-06","","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Washington","Clallam","Bogachiel Rainforest River Trail","47 52.542","-124 17.549","","","296873","1","47 52.542","-124 17.549","285.0 ft","Public","152.4'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Elijah Whitcomb","2023-06-16","","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Washington","Jefferson","Hoh Rainforest Visitor Center","","","","","216294","1","","","","Public","159.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Washington","Jefferson","Hoh Rainforest Visitor Center","47 51.550","-123 56.130","","","216297","1","47 51.550","-123 56.130","568.0 ft","Public","171.2'","Clinometer/laser rangefinder/sine","15.7'","189''","","","Elijah Whitcomb","2020-09-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D129%26t%3D8293","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Washington","Snohomish","Old Sauk River Trail","48 12.157","-121 32.050","","","274403","1","48 12.157","-121 32.050","610.0 ft","Public","176.5'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Elijah Whitcomb","2022-07-05","","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Washington","Thurston","Washington Single Tree Sites","45 55.818","-122 41.606","","","269597","1","45 55.818","-122 41.606","","Public-Private","180.3'","Clinometer/laser rangefinder/sine","","","","Measured by R. VanPelt 8/29/2006.Tree located on Lewis River","Various Various","2000-01-01","","N"
"Black Cottonwood","Populus balsamifera ssp. trichocarpa","Wyoming","Teton","Pacific Creek","","","Tees were measured along flood plain of Pacific Creek upstream of the US 191 highway bridge on river right descending.","","126225","1","","","6700.0 ft","Public - National Park","68.0'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Turner Sharp","2016-06-21","","N"
