"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Cottonwood","Populus deltoides","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233845","1","","","","Public - federal","124.7'","Clinometer/laser rangefinder/sine","14.2'","170''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Eastern Cottonwood","Populus deltoides","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233846","1","","","","Public - federal","132.5'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Eastern Cottonwood","Populus deltoides","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233847","1","","","","Public - federal","133.8'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Eastern Cottonwood","Populus deltoides","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233848","1","","","","Public - federal","136.7'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Eastern Cottonwood","Populus deltoides","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241832","1","","","","Public - state","142.8'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Cottonwood","Populus deltoides","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241831","1","","","","Public - state","144.0'","Clinometer/laser rangefinder/sine","11.0'","132''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Cottonwood","Populus deltoides","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241830","1","","","","Public - state","145.7'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Eastern Cottonwood","Populus deltoides","Connecticut","Hartford","Riverside Park","","","51 Acres","","242593","1","","","","Public - city","100.0'","Clinometer/laser rangefinder/sine","14.5'","174''","","Height is Not Less Than(NLT)","Sam Goodwin","2010-05-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D652%26sid%3De71fd8ecae88fb4909b2191320272727","N"
"Eastern Cottonwood","Populus deltoides","Connecticut","Hartford","Riverside Park","","","51 Acres","","242594","1","","","","Public - city","103.0'","Clinometer/laser rangefinder/sine","15.4'","185''","","","Sam Goodwin","2010-05-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D652%26sid%3De71fd8ecae88fb4909b2191320272727","N"
"Eastern Cottonwood","Populus deltoides","Connecticut","Hartford","Riverside Park","","","51 Acres","","242592","1","","","","Public - city","108.0'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Sam Goodwin","2010-05-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D652%26sid%3De71fd8ecae88fb4909b2191320272727","N"
"Eastern Cottonwood","Populus deltoides","Connecticut","Hartford","Riverside Park","","","51 Acres","","242595","1","","","","Public - city","124.0'","Clinometer/laser rangefinder/sine","18.5'","222''","","","Sam Goodwin","2010-05-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D652%26sid%3De71fd8ecae88fb4909b2191320272727","N"
"Eastern Cottonwood","Populus deltoides","Connecticut","Hartford","Windsor Locks Canal State Park Trail","","","4.5 miles along former towpath.","","242559","1","","","","Public - state","101.0'","Clinometer/laser rangefinder/sine","14.7'","176''","","","Sam Goodwin","2010-04-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D429%26sid%3De71fd8ecae88fb4909b2191320272727%23p1145","N"
"Eastern Cottonwood","Populus deltoides","Connecticut","Hartford","Windsor Locks Canal State Park Trail","","","4.5 miles along former towpath.","","242560","1","","","","Public - state","105.0'","Clinometer/laser rangefinder/sine","12.2'","146''","","","Sam Goodwin","2010-04-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D429%26sid%3De71fd8ecae88fb4909b2191320272727%23p1145","N"
"Eastern Cottonwood","Populus deltoides","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234707","1","","","","Public - federal","124.3'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Eastern Cottonwood","Populus deltoides","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19241","1","","","","Park","125.3'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Eli ?","2012-01-28","","N"
"Eastern Cottonwood","Populus deltoides","Georgia","Putnam","Rock Creek","","","","","234443","1","","","","Public - federal","121.1'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Eastern Cottonwood","Populus deltoides","Georgia","Putnam","Rock Creek","","","","","234444","1","","","","Public - federal","123.2'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Eastern Cottonwood","Populus deltoides","Georgia","Putnam","Rock Creek","","","","","234445","1","","","","Public - federal","133.4'","Clinometer/laser rangefinder/sine","10.8'","129''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Eastern Cottonwood","Populus deltoides","Georgia","Putnam","Rock Creek","","","","","234446","1","","","","Public - federal","134.9'","Clinometer/laser rangefinder/sine","12.3'","147''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Eastern Cottonwood","Populus deltoides","Iowa","Polk","Iowa Single Tree Sites","41 29.090","-096 00.829","","","233605","1","41 29.090","-096 00.829","1000.0 ft","Public - state","90.4'","Clinometer/laser rangefinder/sine","9.7'","116''","","Measured by T. Sharp","Various Various","2000-01-01","","N"
"Eastern Cottonwood","Populus deltoides","Iowa","Pottawattamie","River Valley OHN Park","","","300 Acres","","233679","1","","","","Public - state","108.8'","Clinometer/laser rangefinder/sine","15.1'","181''","","","Jess Riddle","2013-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D80%26t%3D5821%26sid%3Dcf2621e212ab00aef5417c991313897f","N"
"Eastern Cottonwood","Populus deltoides","Illinois","Alexander","Fort Defiance State Park","","","The Park is at the confluence of the Ohio and Mississippi Rivers near Cairo, Illinois.","","170969","1","","","","Public - state","113.0'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Robert Leverett","2006-03-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fillinois%2Fdefiance_park.htm","N"
"Eastern Cottonwood","Populus deltoides","Illinois","Alexander","Fort Defiance State Park","","","The Park is at the confluence of the Ohio and Mississippi Rivers near Cairo, Illinois.","","170970","1","","","","Public - state","117.2'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Robert Leverett","2006-03-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fillinois%2Fdefiance_park.htm","N"
