"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174792","1","","","","Public - federal","97.8'","Clinometer/laser rangefinder/sine","12.1'","145''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174791","1","","","","Public - federal","105.9'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175045","1","","","","Public - federal","80.3'","Clinometer/laser rangefinder/sine","13.0'","156''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175044","1","","","","Public - federal","94.4'","Clinometer/laser rangefinder/sine","13.0'","156''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","Illinois","Sangamon","Illinois Single Tree Sites","38 34.413","-090 11.306","","","171013","1","38 34.413","-090 11.306","","Public- Private","87.1'","Clinometer/laser rangefinder/sine","14.5'","174''","","Tree located in Cahokia RV Parque, near Chahokia Mounds, Cpllinsville, Madison Cpunty.
Measured by T. Sharp 612/2016","Various Various","2000-01-01","","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","Illinois","Sangamon","Illinois Single Tree Sites","41 26.571","-090 36.075","","","171010","1","41 26.571","-090 36.075","600.0 ft","Public- Private","88.1'","Clinometer/laser rangefinder/sine","11.3'","136''","","Tree is near KOA campground in Rock Island City, Rock Island County.
Measured by T. Sharp 8/2010","Various Various","2000-01-01","","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","Kentucky","Edmonson","Mammoth Cave National Park","37 10.313","-086 08.419","","","297661","1","37 10.313","-086 08.419","645.0 ft","Public","119.2'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Elijah Whitcomb","2023-06-23","","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","Kentucky","Edmonson","Mammoth Cave National Park","37 11.617","-086 11.463","","","297795","1","37 11.617","-086 11.463","430.0 ft","Public","131.1'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Elijah Whitcomb","2023-06-23","","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","Kentucky","Edmonson","Mammoth Cave National Park","37 11.610","-086 11.461","","","297796","1","37 11.610","-086 11.461","425.0 ft","Public","132.6'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2023-06-23","","N"
"Eastern Cottonwood","Populus deltoides ssp. deltoides","Kentucky","Edmonson","Mammoth Cave National Park","37 12.081","-086 13.918","","","297759","1","37 12.081","-086 13.918","400.0 ft","Public","146.2'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Elijah Whitcomb","2023-06-23","","N"
