"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Cochise","Cave Creek Canyon","31 52.438","-109 11.008","","","320819","1","31 52.438","-109 11.008","5270.0 ft","Public","82.6'","Clinometer/laser rangefinder/sine","7.1'","85''","","Subspecies uncertain","Elijah Whitcomb","2025-01-15","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Coconino","Oak Creek Canyon","","","","","96817","1","","","5400.0 ft","Public National Forest","75.9'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Turner Sharp","2012-02-18","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Coconino","Oak Creek Canyon","34 53.581","-111 43.959","","","96830","1","34 53.581","-111 43.959","4800.0 ft","Public National Forest","101.3'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Turner Sharp","2012-02-18","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Maricopa","Jewel Of The Creek Preserve","","","","","239503","1","","","2300.0 ft","Public - Land Trust","55.9'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Turner Sharp","2012-02-26","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Maricopa","Jewel Of The Creek Preserve","","","","","239499","1","","","2300.0 ft","Public - Land Trust","57.9'","Clinometer/laser rangefinder/sine","10.8'","129''","","","Turner Sharp","2012-02-26","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Maricopa","Jewel Of The Creek Preserve","33 52.955","-111 57.434","","","239497","1","33 52.955","-111 57.434","2300.0 ft","Public - Land Trust","75.8'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Turner Sharp","2012-02-26","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Maricopa","Jewel Of The Creek Preserve","","","","","239498","1","","","2300.0 ft","Public - Land Trust","81.2'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Turner Sharp","2012-02-26","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Pima","Santa Catalina Mountains","32 20.224","-110 43.203","","","226306","1","32 20.224","-110 43.203","4700.0 ft","Public - National Forest","51.2'","Clinometer/laser rangefinder/sine","11.9'","142''","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Various","Arizona Single Tree Sites","35 42.579","-109 33.517","","","130981","1","35 42.579","-109 33.517","6360.0 ft","Various","53.4'","Clinometer/laser rangefinder/sine","12.1'","145''","91.5'","Located near the Huabbell Trading Post NHS, Granado. Apache County. Crown spread is maximum. average is 77'. Elevation is 6.360'. Measured by T. Sharp 9/2016.","Various Varioua","2000-01-01","","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Yavapai","Crescent Moon Picnic Area","34 49.598","-111 48.295","","","130902","1","34 49.598","-111 48.295","4000.0 ft","Public","57.2'","Clinometer/laser rangefinder/sine","24.8'","298''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Fremont Cottonwood","Populus fremontii ssp. fremontii","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130895","1","","","4000.0 ft","Public","63.5'","Clinometer/laser rangefinder/sine","19.1'","229''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
