"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Bigtooth Aspen","Populus grandidentata","Colorado","Denver","Colorado Single Tree Sites","37 22.661","-106 53.356","","","242529","1","37 22.661","-106 53.356","7600.0 ft","Public - Private","108.0'","Clinometer/laser rangefinder/sine","7.5'","90''","30.0'","Measured by M. Rouw 7/31/2014 east of Pagosa Springs","Various Various","2000-07-01","","N"
"Bigtooth Aspen","Populus grandidentata","Delaware","New Castle","Brandywine Creek State Park","","","","","142885","1","","","","State","97.8'","Clinometer/laser rangefinder/sine","3.2'","38''","","","George Fieo","2011-01-09","","N"
"Bigtooth Aspen","Populus grandidentata","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232094","1","","","","Public - federal","102.1'","Clinometer/laser rangefinder/sine","4.6'","55''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Bigtooth Aspen","Populus grandidentata","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165559","1","","","560.0 ft","Public - Boone County Court","111.1'","Clinometer/laser rangefinder/sine","5.3'","64''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Bigtooth Aspen","Populus grandidentata","Kentucky","Boone","Dinsmore Nature Preserve - South","38 59.780","-084 48.763","Nature Conservancy turned this over to the Boone County Court","","165560","1","38 59.780","-084 48.763","520.0 ft","Public - Boone County Court","121.9'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Berkshire","Chickley River Valley","","","Trees were measured on the public lands of Savoy Mountain State Park, Kenneth M. Dubuque State Park and some private land.","","250154","1","","","","Public-Private","108.4'","Clinometer/laser rangefinder/sine","4.0'","48''","","Tree is on private property.","John Knuerr","2011-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D3262%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032%23p13071","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281507","1","","","","Public - state","96.2'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281483","1","","","","Public - state","107.8'","Clinometer/laser rangefinder/sine","5.7'","68''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Franklin","Shelburne Falls Area","","","","","235561","1","","","","Public-Private","105.7'","Clinometer/laser rangefinder/sine","5.4'","65''","","","John Eichholz","2004-11-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fshelburne04.htm","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Franklin","Whately Tract","","","","","235481","1","","","","Private","","Clinometer/laser rangefinder/sine","6.2'","74''","","","Gary Beluzo","2007-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fliriodendron_in_franklin.htm","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236017","1","","","","Public - state","122.5'","Clinometer/laser rangefinder/sine","3.9'","47''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 26.520","-071 34.377","","","256018","1","42 26.520","-071 34.377","","Public-Private","100.5'","Clinometer/laser rangefinder/sine","6.3'","76''","","Measured by J. Lockwood 4/23/2016 on Rattle Snake Hill conservation lands off of  Sugar Road, Bolton, Worcester County","Various Various","2001-01-01","","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Worcester","Michael P. Yellick Conservation Area","","","92 acres","","250876","1","","","","Public - city","112.5'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Doug Bidlack, Jared Lockwood, Andrew Joslin","2017-04-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7976%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91","N"
"Bigtooth Aspen","Populus grandidentata","Massachusetts","Worcester","Oxbow National Wildlife Refuge","","","1667 acres","","250533","1","","","","Public - federal","88.4'","Clinometer/laser rangefinder/sine","6.4'","77''","49.5'","","Jared Lockwood","2016-06-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7700%26sid%3Df94deecbfc6dafbb682ef60b3faea762","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Anne Arundel","Broadneck Hill","39 02.811","-076 29.242","School address is 470 Shore Acres Road, Arnold. MD","","45355","1","39 02.811","-076 29.242","","Public - County school","99.5'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Colby Rucker","2001-09-30","","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Anne Arundel","Chase Creek Woods","","","","","280926","1","","","","Private","81.9'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Colby Rucker","2003-07-01","","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Baltimore","Loch Raven Reservior","","","9,200 acres minus 3,100 acres of water at crest..
Supplies the City of Baltimore and Baltimore County with drinking water.","","231352","1","","","","Public - city","103.7'","Clinometer/laser rangefinder/sine","","","","","George Fieo","2015-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8746%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Baltimore","Loch Raven Reservior","","","9,200 acres minus 3,100 acres of water at crest..
Supplies the City of Baltimore and Baltimore County with drinking water.","","231353","1","","","","Public - city","122.5'","Clinometer/laser rangefinder/sine","5.2'","62''","","","George Fieo","2015-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8746%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168099","1","","","400.0 ft","Public - State","111.6'","Clinometer/laser rangefinder/sine","6.2'","74''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168100","1","","","400.0 ft","Public - State","120.6'","Clinometer/laser rangefinder/sine","4.8'","58''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231772","1","","","","Public - state","101.9'","Clinometer/laser rangefinder/sine","4.0'","48''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Bigtooth Aspen","Populus grandidentata","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128429","1","","","","Public - State","80.6'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Bigtooth Aspen","Populus grandidentata","Michigan","Cheboygan","Colonial Point Memorial Forest","","","Now known as:
Chaboinganing Nature Reserve
484 Acres","","239997","1","","","","Public - state","103.2'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Don Bragg","2006-07-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fwoodruff.htm","N"
"Bigtooth Aspen","Populus grandidentata","Michigan","Cheboygan","University Of Michigan Biological Station","","","A section is known as the ""Wells Plot""","","239993","1","","","","Public - state","98.5'","Clinometer/laser rangefinder/sine","6.5'","78''","","Height is Not Less Then(NLT)","Don Bragg","2006-07-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fwoodruff.htm","N"
"Bigtooth Aspen","Populus grandidentata","Michigan","Cheboygan","University Of Michigan Biological Station","","","A section is known as the ""Wells Plot""","","239995","1","","","","Public - state","99.4'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Don Bragg","2006-07-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fwoodruff.htm","N"
"Bigtooth Aspen","Populus grandidentata","Michigan","Cheboygan","University Of Michigan Biological Station","","","A section is known as the ""Wells Plot""","","239994","1","","","","Public - state","104.2'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Don Bragg","2006-07-22","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fwoodruff.htm","N"
"Bigtooth Aspen","Populus grandidentata","Minnesota","Cass","Pine Point Research Natural Area","","","","","239869","1","","","","Public - federal","","","8.3'","99''","","","Jimmy Mcdonald","2010-09-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D1433%26sid%3D90f19a2bba70c1c49388750490292b53","N"
"Bigtooth Aspen","Populus grandidentata","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233309","1","","","","Public - federal","93.5'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Bigtooth Aspen","Populus grandidentata","Minnesota","Otter Tail","Maplewood State Park","","","9200 Acres","","239729","1","","","","Public - state","","","8.1'","97''","","","Jimmy Mcdonald","2010-09-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D1434%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8%23p5089","N"
"Bigtooth Aspen","Populus grandidentata","New York","Cattaraugus","Trackless West","","","A White Pine on Pine Creek was measured on 12/31/2019","","266358","1","","","","Public - state","107.5'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2019-03-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8116%26sid%3D75c3cd14aea4e263f5660ee32feb86dd","N"
