"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Quaking Aspen","Populus tremuloides","Alberta","Division No. 15","Banff National Park - Two Jack","","","","","74980","1","","","","Public","52.5'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Quaking Aspen","Populus tremuloides","Alberta","Division No. 19","Demmitt Roadside Park","","","","","74982","1","","","2624.7 ft","Public","61.0'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Quaking Aspen","Populus tremuloides","Alberta","Division No. 19","Demmitt Roadside Park","55 28.415","-119 57.269","","","74981","1","55 28.415","-119 57.269","2624.7 ft","Public","69.1'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Quaking Aspen","Populus tremuloides","Alberta","Division No. 19","Demmitt Roadside Park","","","","","74983","1","","","2624.7 ft","Public","72.5'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Turner Sharp, John Fichtner","2012-07-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","","","","","220352","1","","","8800.0 ft","Public - Federal","78.8'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Turner Sharp","2014-06-24","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","","","","","220353","1","","","8800.0 ft","Public - Federal","80.8'","Clinometer/laser rangefinder/sine","5.6'","68''","","Measured biggest stem of double stem tree","Turner Sharp","2014-06-24","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","","","","","220354","1","","","8800.0 ft","Public - Federal","81.7'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Turner Sharp","2014-06-24","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","35 19.210","-111 43.196","","","220351","1","35 19.210","-111 43.196","8800.0 ft","Public - Federal","82.9'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Turner Sharp","2014-06-24","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","","","","","220355","1","","","8800.0 ft","Public - Federal","89.1'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Turner Sharp","2014-06-24","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","","","","","226323","1","","","8900.0 ft","Public - Federal","92.6'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Turner Sharp","2015-06-08","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","35 19.329","-111 43.157","","","220356","1","35 19.329","-111 43.157","8800.0 ft","Public - Federal","95.7'","Clinometer/laser rangefinder/sine","5.0'","59''","","","Turner Sharp","2014-06-24","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Aspen Corner Trails","","","","","226322","1","","","8900.0 ft","Public - Federal","99.8'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Turner Sharp","2015-06-08","","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Barbershop Spring","","","","","137144","1","","","","Public - Federal","93.6'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Demotte Campground","","","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226294","1","","","8800.0 ft","Public National Forest","57.3'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Quaking Aspen","Populus tremuloides","Arizona","Coconino","Demotte Campground","","","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226293","1","","","8800.0 ft","Public National Forest","63.7'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
