"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sweet Cherry","Prunus avium","Massachusetts","Berkshire","Stafford Hill Wildlife Management Area","","","","","250159","1","","","","Public - state","","Clinometer/laser rangefinder/sine","4.2'","50''","","Originally ID was Fire Cherry","Brian Hawth","2011-12-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D3456%26sid%3D1aab79c2b470771418baab32817731c3","N"
"Sweet Cherry","Prunus avium","Maryland","Anne Arundel","Chase Creek Woods","","","","","280932","1","","","","Private","73.2'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Colby Rucker","2003-07-01","","N"
"Sweet Cherry","Prunus avium","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128097","1","","","","Public","48.7'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Colby Rucker","2002-04-08","","N"
"Sweet Cherry","Prunus avium","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128428","1","","","","Public - State","89.2'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Sweet Cherry","Prunus avium","Maryland","Various Counties","Maryland Single Tree Sites","","","","","163342","1","","","","Private. Public","85.4'","Clinometer/laser rangefinder/sine","7.3'","87''","","Tree located at United Methodist Church in Arnold, Anne arundel County.
Measured by Colby Rucker 5/9/2002","Various Various","2010-01-01","","N"
"Sweet Cherry","Prunus avium","North Carolina","Buncombe","Mountains-To-Sea Trail  (Busbee Reservoir)","","","The Mountains-to-Sea Trail intersects a road running between two reservoirs.  The site is nearer the upper reservoir, just north of the Blue Ridge Parkway.  The tall grove of white pines is part of the immediate site.","","40268","1","","","","Blue Ridge Parkway","94.9'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-02-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5040","N"
"Sweet Cherry","Prunus avium","New York","Monroe","Ellison Park","43 08.432","-077 30.599","","","323148","1","43 08.432","-077 30.599","","Public","115.2'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2025-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7882%26start%3D10","N"
"Sweet Cherry","Prunus avium","New York","Monroe","Irondeqouit Bay Park West","43 11.080","-077 31.962","","","241029","1","43 11.080","-077 31.962","","Public","108.3'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Elijah Whitcomb","2021-04-05","","N"
"Sweet Cherry","Prunus avium","New York","Monroe","Washington Grove City Park","","","","","211694","1","","","","Public","109.7'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb, Tom Howard","2015-12-12","www.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3263%26sid%3D3803bc1bcaa14bd290e6457a0afd92d0%26start%3D40%23p43745","N"
"Sweet Cherry","Prunus avium","New York","Monroe","Washington Grove City Park","","","","","211701","1","","","","Public","110.0'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Elijah Whitcomb, Tom Howard","2015-12-12","www.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3263%26sid%3D3803bc1bcaa14bd290e6457a0afd92d0%26start%3D40%23p43745","N"
"Sweet Cherry","Prunus avium","New York","Wyoming/Livingston","Letchworth State Park","42 36.732","-077 59.794","","","217859","1","42 36.732","-077 59.794","","Public","118.3'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Chester","Cedar Hollow Preserve","","","","","142980","1","","","","Conservancy","82.0'","Clinometer/laser rangefinder/sine","4.4'","53''","","","George Fieo","2009-03-14","","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Chester","Rushton Woods Preserve","","","Owned by Willistown Conservation Trust.","","280988","1","","","","Private","112.9'","Clinometer/laser rangefinder/sine","6.7'","80''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D151%26t%3D7355%23p35328","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Chester/Montgomery","Valley Forge National Park","","","","","143232","1","","","","Public, National Park","90.8'","Clinometer/laser rangefinder/sine","7.0'","84''","","Chester County","George Fieo","2009-01-20","","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Delaware","Swarthmore College - Crum Creek","","","","","134857","1","","","","Private","111.9'","Clinometer/laser rangefinder/sine","","","","","Scott Wade, Mike Dunn","2009-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fswarthmore_college.htm","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Montgomery","Mont Clare Cliffs And  Schuykill River Corridor","","","","","166560","1","","","","Private","102.0'","Clinometer/laser rangefinder/sine","4.2'","50''","","","George Fieo","2009-05-25","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090525-montclare%2F20090525-montclare.htm","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Philadelphia","Wissahickon Valley Park","","","","","173576","1","","","150.0 ft","Public - city","102.5'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Will Blozan, Ben Blozan","2003-10-04","","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Philadelphia","Wissahickon Valley Park","","","","","214176","1","","","150.0 ft","Public - city","103.1'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2005-04-20","","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Philadelphia","Wissahickon Valley Park","","","","","173575","1","","","150.0 ft","Public - city","110.0'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Will Blozan, Ben Blozan","2003-10-04","","N"
"Sweet Cherry","Prunus avium","Pennsylvania","Philadelphia","Wissahickon Valley Park","","","","","173574","1","","","150.0 ft","Public - city","113.5'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Will Blozan, Ben Blozan","2003-10-04","","N"
"Sweet Cherry","Prunus avium","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224553","1","","","600.0 ft","Private - open to public","116.2'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Will Blozan, Jess Riddle","2005-10-17","","N"
"Sweet Cherry","Prunus avium","Virginia","Orange","Montpelier Estate Landmark Forest","","","","","199212","1","","","","Private","121.9'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Elijah Whitcomb","2019-12-12","","N"
"Sweet Cherry","Prunus avium","West Virginia","54 Counties","West Virginia Single Tree Sites","","","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313149","1","","","","Private & Publc","82.5'","Clinometer/laser rangefinder/sine","","","","Measured by J. Bowen 2/17/2010 near Lost River, Hardy County","Various Various","1963-01-01","","N"
"Sweet Cherry","Prunus avium","West Virginia","54 Counties","West Virginia Single Tree Sites","38 58.065","-078 50.687","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313185","1","38 58.065","-078 50.687","","Private & Publc","82.5'","Clinometer/laser rangefinder/sine","","","","Tree is a multistem.
Measured by J. Bowen 2/17/2010. 
Tree located near Lost River, Hardy County.","Various Various","1963-01-01","","N"
"Sweet Cherry","Prunus avium","West Virginia","Wood","J. T. J Preserve - Upland Site","39 16.739","-081 30.328","","","272767","1","39 16.739","-081 30.328","","Public - city","53.6'","Clinometer/laser rangefinder/sine","4.1'","50''","","Top is interwined with neighboring trees. Height is Not Less Than (NLT).","Turner Sharp","2016-11-26","","N"
"Sweet Cherry","Prunus avium","West Virginia","Wood","Quincy Hill Park","39 16.047","-081 33.216","","","196162","2","39 16.047","-081 33.216","740.0 ft","Public - city","64.8'","Clinometer/laser rangefinder/sine","6.9'","83''","58.5'","Crown spread is an average of two-axis method.","Turner Sharp, Turner Sharp","2019-08-25","","N"
"Sweet Cherry","Prunus avium","West Virginia","Wood County - City Of Parkersburg","Edison Arboretum","39 13.772","-081 31.847","Since the last visit to this stand in 2010 the Emerald Ash Borer has infected almost every Ash Tree and they are losing crown.","","121332","2","39 13.772","-081 31.847","","Public","60.7'","Clinometer/laser rangefinder/sine","2.4'","29''","","Tree is on Blackie Townsend Trail on right going downhill.","Turner Sharp, Turner Sharp","2015-02-01","","N"
