"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pin Cherry","Prunus pensylvanica","North Carolina","Graham","Santeetlah Creek","","","","","227004","1","","","","Public - national","83.0'","Clinometer/laser rangefinder/sine","4.9'","59''","","On Santeetlah Creek. Height is NLL (Not Less Than).","Jess Riddle","2009-09-08","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsanteetlah_creek.htm","N"
"Pin Cherry","Prunus pensylvanica","North Carolina","Haywood","Chestnut Branch","","","Chestnut Creek into Big Creek into Pigeon River
Trees were also measured on Kilby Branch which goes into Big Creek into Pigeon River","","230416","1","","","","Public - federal","83.6'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Jess Riddle, Michael Davie","2004-11-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fupper_chestnut_branch.htm","N"
"Pin Cherry","Prunus pensylvanica","North Carolina","Jackson","Chestnut Creek/Bear Pen Gap","","","","","227749","1","","","","Public - national","58.4'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Jess Riddle, Michael Davie","2006-01-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fchestnut_creek.htm","N"
"Pin Cherry","Prunus pensylvanica","North Carolina","Macon","Coweeta Hydrologic Laboratory","","","","","229031","1","","","","Public - national","60.6'","Clinometer/laser rangefinder/sine","5.9'","71''","","Height is Not Less Than (NLT)","Jess Riddle","2004-08-14","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fsouthern_appalachian_wanderings.htm","N"
"Pin Cherry","Prunus pensylvanica","North Carolina","Macon","Coweeta Hydrologic Laboratory","","","","","229032","1","","","","Public - national","81.4'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Jess Riddle","2004-08-14","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fsouthern_appalachian_wanderings.htm","N"
"Pin Cherry","Prunus pensylvanica","North Carolina","Wake","North Carolina Single Tree Sites","35 20.772","-083 59.488","","","252333","1","35 20.772","-083 59.488","","Public and Private","","Clinometer/laser rangefinder/sine","5.8'","69''","","Measured by J. Riddle 6/13/2004 along Wolf Laurel Road, Grahm County.","Various Various","2000-01-01","","N"
"Pin Cherry","Prunus pensylvanica","New York","Cattaraugus","Zoar Valley","","","","","221837","1","","","","Public","62.1'","Clinometer/laser rangefinder/sine","2.8'","33''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Pin Cherry","Prunus pensylvanica","New York","Onondaga","Wizard Of Oz Oak Grove","","","","","262882","1","","","","Public-Private","70.0'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb","2016-02-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7538%26sid%3Dc5ed2ba57ebfaf34b1030c97de047870","N"
"Pin Cherry","Prunus pensylvanica","Ontario","Algoma District","Algoma Area - Orphan Trail","","","","","233069","1","","","","Public - state","55.5'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Doug Bidlack, Ellen Bidlack","2013-10-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6041%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d","N"
"Pin Cherry","Prunus pensylvanica","Ontario","Algoma District","Algoma Area - Towab Trail","","","","","233109","1","","","","Public - state","","Clinometer/laser rangefinder/sine","3.2'","38''","","","Doug Bidlack, Ellen Bidlack","2014-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6051%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d%23p27315","N"
"Pin Cherry","Prunus pensylvanica","Ontario","Algoma District","Algoma Area - Towab Trail","","","","","233103","1","","","","Public - state","58.5'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Doug Bidlack, Ellen Bidlack","2014-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6051%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d%23p27315","N"
"Pin Cherry","Prunus pensylvanica","Pennsylvania","Sullivan","Ricketts Glen State Park","","","Trees measured were probably made throughout the park and represent maximum heights of 50 species.","","222061","1","","","","Public State Park","53.4'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Rick Koval","2013-12-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D150%26t%3D6078","N"
"Pin Cherry","Prunus pensylvanica","Pennsylvania","Venango","Fort Michaux - Franklin","41 23.391","-079 49.249","","","116153","1","41 23.391","-079 49.249","1200.0 ft","Public - city","24.3'","Clinometer/laser rangefinder/sine","0.8'","9''","","","Dale Luthringer","2008-09-05","","N"
"Pin Cherry","Prunus pensylvanica","Tennessee","Sevier","Sugarland Mountain","","","Access is off of US 441 South which parallels the West Prong of Little Pigeon River.","","229210","1","","","","Public - national","86.0'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Jess Riddle","2006-10-20","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fsugarland%2Fsugarland_mountain.htm","N"
"Pin Cherry","Prunus pensylvanica","West Virginia","54 Counties","West Virginia Historical Trees","37 39.035","-080 37.620","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312078","1","37 39.035","-080 37.620","","Public and Private","","Clinometer/laser rangefinder/sine","4.6'","55''","30.0'","Measured b of y M. Plevich 2000.Tree located on Plevich property. From Alderson go to Wolfe Creek and turn southwest and follow Road to abandoned farm on eastside of road and passing four bridges","Various Various","1963-01-01","","N"
"Pin Cherry","Prunus pensylvanica","West Virginia","54 Counties","West Virginia Single Tree Sites","39 15.000","-079 21.692","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313252","1","39 15.000","-079 21.692","3000.0 ft","Private & Publc","65.8'","Clinometer/laser rangefinder/sine","3.9'","46''","31.5'","Measured by M. Bonner, J. Bowen 2022 near Bayard, Grant County.","Various Various","1963-01-01","","N"
