"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Cherry","Prunus serotina","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233844","1","","","","Public - federal","105.1'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Black Cherry","Prunus serotina","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241466","1","","","","Public - state","97.6'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Black Cherry","Prunus serotina","Delaware","New Castle","Brandywine Creek State Park","","","","","142888","1","","","","State","115.6'","Clinometer/laser rangefinder/sine","5.6'","67''","","","George Fieo","2011-01-09","","N"
"Black Cherry","Prunus serotina","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234716","1","","","","Public - federal","137.8'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Black Cherry","Prunus serotina","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19248","1","","","","Park","110.5'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Eli ?","2012-01-28","","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Cohutta Wilderness","","","","","234388","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Cohutta Wilderness","","","","","234389","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","5.3'","63''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Cohutta Wilderness","","","","","234932","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","2.7'","32''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Cohutta Wilderness","","","","","234933","1","","","","Public - federal","113.0'","Clinometer/laser rangefinder/sine","10.3'","123''","","Height is Not Less Then(NLT)","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Cohutta Wilderness","","","","","234934","1","","","","Public - federal","125.7'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Cohutta Wilderness","","","","","234935","1","","","","Public - federal","137.8'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Grassy Mountain","","","","","234787","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jess Riddle","2003-01-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fgrassy_mountain.htm","N"
"Black Cherry","Prunus serotina","Georgia","Murray","Grassy Mountain","","","","","234792","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","9.2'","110''","","","Jess Riddle","2003-01-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fgrassy_mountain.htm","N"
"Black Cherry","Prunus serotina","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234413","1","","","","Public - federal","126.1'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Black Cherry","Prunus serotina","Georgia","Towns","Tate Branch","","","","","249356","1","","","","Public - federal","7.1'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Doug Riddle","2014-07-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6482%26sid%3D1aeb3af7acb19736d80519620d28c1b0","N"
"Black Cherry","Prunus serotina","Georgia","Towns","Tate Branch","","","","","249354","1","","","","Public - federal","132.6'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Jess Riddle, Doug Riddle","2014-07-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6482%26sid%3D1aeb3af7acb19736d80519620d28c1b0","N"
