"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Cherry","Prunus serotina var. serotina","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174788","1","","","","Public - federal","83.7'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Black Cherry","Prunus serotina var. serotina","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174787","1","","","","Public - federal","113.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Black Cherry","Prunus serotina var. serotina","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175031","1","","","","Public - federal","91.3'","Clinometer/laser rangefinder/sine","12.8'","153''","","With vines","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Black Cherry","Prunus serotina var. serotina","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175030","1","","","","Public - federal","119.6'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Black Cherry","Prunus serotina var. serotina","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128222","1","","","50.0 ft","Public - National Park","98.3'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"Black Cherry","Prunus serotina var. serotina","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232096","1","","","","Public - federal","108.1'","Clinometer/laser rangefinder/sine","8.0'","96''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Black Cherry","Prunus serotina var. serotina","Illinois","Peoria","Jubilee State Park","40 49.614","-089 48.944","","","74813","1","40 49.614","-089 48.944","600.0 ft","Public - State Park","59.6'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2014-08-01","","N"
"Black Cherry","Prunus serotina var. serotina","Indiana","Monroe","Dunn's Woods","","","Originally a 20 acre tract reduced to 10 acres by campus buildings.","","169760","1","","","","Public-state","91.1'","Clinometer/laser rangefinder/sine","4.9'","59''","","","John Eichholz","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D917%23p3154","N"
"Black Cherry","Prunus serotina var. serotina","Indiana","Monroe","Dunn's Woods","","","Originally a 20 acre tract reduced to 10 acres by campus buildings.","","169759","1","","","","Public-state","94.3'","Clinometer/laser rangefinder/sine","5.6'","67''","","","John Eichholz","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D917%23p3154","N"
"Black Cherry","Prunus serotina var. serotina","Indiana","Monroe","Dunn's Woods","","","Originally a 20 acre tract reduced to 10 acres by campus buildings.","","169758","1","","","","Public-state","102.5'","Clinometer/laser rangefinder/sine","6.3'","76''","","","John Eichholz","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D917%23p3154","N"
