"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Cochise","Cave Creek Canyon","31 51.571","-109 11.391","","","320806","1","31 51.571","-109 11.391","5515.0 ft","Public","125.3'","Clinometer/laser rangefinder/sine","11.9'","143''","","","Elijah Whitcomb","2025-01-15","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Aspen Corner Trails","","","","","226328","1","","","8900.0 ft","Public - Federal","93.5'","Clinometer/laser rangefinder/sine","13.2'","158''","","","Turner Sharp","2015-06-08","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Aspen Corner Trails","","","","","226327","1","","","8900.0 ft","Public - Federal","99.5'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Turner Sharp","2015-06-08","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Aspen Corner Trails","","","","","226326","1","","","8900.0 ft","Public - Federal","113.1'","Clinometer/laser rangefinder/sine","16.9'","203''","","","Turner Sharp","2015-06-08","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Aspen Corner Trails","35 19.284","-111 43.093","","","220357","1","35 19.284","-111 43.093","8800.0 ft","Public - Federal","121.4'","Clinometer/laser rangefinder/sine","16.8'","202''","","Tree is on slope and grown arond a big flat rock. The top of this rock was used to measure 4 1/2' to determine circumference. Height is ""not less than"" due to shooting from below grade and approaching darkness.","Turner Sharp","2014-06-24","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Barbershop Spring","","","","","137143","1","","","","Public - Federal","125.0'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Flagstaff Snow Bowl Road","35 19.098","-111 43.264","","","320687","1","35 19.098","-111 43.264","8925.0 ft","Public","108.0'","Clinometer/laser rangefinder/sine","12.4'","148''","","","Elijah Whitcomb","2025-01-21","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Flagstaff Snow Bowl Road","35 18.764","-111 43.284","","","320688","1","35 18.764","-111 43.284","8735.0 ft","Public","128.0'","Clinometer/laser rangefinder/sine","","","","Dead as of 1/25; double trunk","Elijah Whitcomb","2025-01-21","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Grand Canyon -  North Rim","","","","","96549","1","","","8800.0 ft","Public","88.1'","Clinometer/laser rangefinder/sine","11.0'","132''","","Tree was dead, bark and top intact","Turner Sharp","2015-06-02","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Grand Canyon -  North Rim","","","","","96544","1","","","8800.0 ft","Public","94.7'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Turner Sharp","2015-06-02","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Grand Canyon -  North Rim","","","","","96550","1","","","8800.0 ft","Public","98.1'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Turner Sharp","2015-06-02","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Grand Canyon -  North Rim","","","","","96545","1","","","8800.0 ft","Public","99.1'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Turner Sharp","2015-06-02","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Oak Creek Canyon","35 01.827","-111 44.454","","","96798","1","35 01.827","-111 44.454","6300.0 ft","Public National Forest","89.6'","Clinometer/laser rangefinder/sine","11.6'","139''","","","Turner Sharp","2012-02-18","","N"
"Rocky Mountain Douglas-Fir","Pseudotsuga menziesii var. glauca","Arizona","Coconino","Oak Creek Canyon","","","","","96803","1","","","6300.0 ft","Public National Forest","96.1'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Turner Sharp","2012-02-18","","N"
