"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Humboldt","Humboldt Redwoods State Park","","","Trees located along Eel River.","","268689","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","27.0'","324''","","Near trail to Johnson Trail Camp","Mark Collins","2013-05-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8411","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Humboldt","Humboldt Redwoods State Park","","","Trees located along Eel River.","","268690","1","","","","Public-Private","30.4'","Clinometer/laser rangefinder/sine","","","","Along Trail to Johnson Trail Camp.","Mark Collins","2013-05-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8411","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Humboldt","Redwood National Park","","","Redwood National Park was created in 1968. It was formed to augment the holdings of three California State Parks. 
The state and national lands are managed jointly by the  California Department of Parks and Recreation and the National Park Service.  The three state parks are Jedediah Smith Redwoods State Park, Del Norte Coast Park and Prarie Creek Redwood State Park.","","269079","1","","","","Public - federal","147.0'","Clinometer/laser rangefinder/sine","27.0'","324''","","","Mario Vaden","2012-12-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4819","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Humboldt","Redwood National Park","","","Redwood National Park was created in 1968. It was formed to augment the holdings of three California State Parks. 
The state and national lands are managed jointly by the  California Department of Parks and Recreation and the National Park Service.  The three state parks are Jedediah Smith Redwoods State Park, Del Norte Coast Park and Prarie Creek Redwood State Park.","","269080","1","","","","Public - federal","175.0'","Clinometer/laser rangefinder/sine","25.0'","300''","","","Mario Vaden","2012-12-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4819","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Humboldt","Redwood National Park","","","Redwood National Park was created in 1968. It was formed to augment the holdings of three California State Parks. 
The state and national lands are managed jointly by the  California Department of Parks and Recreation and the National Park Service.  The three state parks are Jedediah Smith Redwoods State Park, Del Norte Coast Park and Prarie Creek Redwood State Park.","","269081","1","","","","Public - federal","178.0'","Clinometer/laser rangefinder/sine","26.0'","312''","","","Mario Vaden","2012-12-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4819","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Mariposa","Wawona Rd.","37 31.138","-119 37.514","","","318122","1","37 31.138","-119 37.514","4850.0 ft","Public","201.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-15","","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Mariposa","Yosemite National Park","","","","","268982","1","","","","Public - federal","273.0'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor","2012-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7849%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Monterey","Vicente Flat Trail","36 00.909","-121 29.876","","","320749","1","36 00.909","-121 29.876","1750.0 ft","Public","137.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-01-19","","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Monterey","Vicente Flat Trail","36 01.019","-121 29.835","","","320748","1","36 01.019","-121 29.835","1855.0 ft","Public","142.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-01-19","","N"
"Douglas-Fir","Pseudotsuga menziesii var. menziesii","California","Nevada","Tahoe National Forest","","","","","280376","1","","","3250.0 ft","Public - federal","255.9'","Clinometer/laser rangefinder/sine","","","","","Michael Taylor, Zane Moore, Duncan Kennedy","2019-01-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D8565","N"
