"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Swamp White Oak","Quercus bicolor","Connecticut","Hartford","East Granby Farms Recreational Center","","","","","242624","1","","","","Public - city","71.0'","Clinometer/laser rangefinder/sine","19.6'","235''","","","Sam Goodwin","2011-12-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D6755%26sid%3D24164709fb7900e73daf958a7baa364f%23p31205","N"
"Swamp White Oak","Quercus bicolor","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174803","1","","","","Public - federal","88.7'","Clinometer/laser rangefinder/sine","12.3'","147''","","Leaders fuse above 4.5'","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Swamp White Oak","Quercus bicolor","Illinois","Massac","Sielbeck Forest State Natural Area","","","385 acres. 
This State Natural Area may now be part of Mermet Lake state Fish and Wildlife area.","","225676","1","","","","Public state","103.5'","Clinometer/laser rangefinder/sine","11.9'","143''","","","Jesse Riddle","2013-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D5963","N"
"Swamp White Oak","Quercus bicolor","Illinois","Sangamon","Illinois Single Tree Sites","37 43.177","-089 01.275","","","171014","1","37 43.177","-089 01.275","","Public- Private","","Clinometer/laser rangefinder/sine","16.8'","202''","","Measured by D. Bidlack on 11/15/2006. Tree located on Crab Orchard National Wildlife Refuge near Marion, Ill.","Various Various","2000-01-01","","N"
"Swamp White Oak","Quercus bicolor","Indiana","Marion","Indiana Single Tree Sites","39 54.113","-086 33.199","","","170008","1","39 54.113","-086 33.199","","Public, Private","82.9'","Clinometer/laser rangefinder/sine","17.2'","206''","90.0'","Measured by Matt Markworth 10/10/2016 at th Lizton Rest Stop (west bound) on I-74 near Lizton,.Hendricks County","Various Various","2000-01-01","","N"
"Swamp White Oak","Quercus bicolor","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165574","1","","","560.0 ft","Public - Boone County Court","87.1'","Clinometer/laser rangefinder/sine","9.9'","119''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Swamp White Oak","Quercus bicolor","Kentucky","Trigg","Hematite Lake","36 53.712","-088 02.390","","","322682","1","36 53.712","-088 02.390","400.0 ft","Public","109.8'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Elijah Whitcomb","2025-09-20","","N"
"Swamp White Oak","Quercus bicolor","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 27.722","-071 38.234","","","256019","1","42 27.722","-071 38.234","","Public-Private","77.5'","Clinometer/laser rangefinder/sine","15.1'","181''","78.5'","Measured by J. Lockwood 6/15/2016 in Bolton Flats Wildlife Management Area near Lanacaster, Worcester County","Various Various","2001-01-01","","N"
"Swamp White Oak","Quercus bicolor","Massachusetts","Worcester","Oxbow National Wildlife Refuge","","","1667 acres","","250531","1","","","","Public - federal","68.5'","Clinometer/laser rangefinder/sine","12.9'","155''","77.9'","","Jared Lockwood","2016-06-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7700%26sid%3Df94deecbfc6dafbb682ef60b3faea762","N"
"Swamp White Oak","Quercus bicolor","New Jersey","Camden","Saddler's Woods","","","Measured by J. Harvey on 5/22/2014. Trees are located in Saddler's Woods, Haddon Township, Camden County.
25 acres","","170605","1","","","","Public - township","128.0'","Clinometer/laser rangefinder/sine","12.0'","144''","","","John Harvey","2014-05-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6365","N"
"Swamp White Oak","Quercus bicolor","New York","Bronx","Pelham Bay Park","","","","","260423","1","","","","Public - county","86.1'","Clinometer/laser rangefinder/sine","12.3'","148''","73.9'","","Erik Danielson, David Berg","2016-04-13","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7420%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9%26start%3D10%23p39663","N"
"Swamp White Oak","Quercus bicolor","New York","Bronx","Pelham Bay Park","","","","","260422","1","","","","Public - county","90.6'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Erik Danielson, David Berg","2016-04-13","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7420%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9%26start%3D10%23p39663","N"
"Swamp White Oak","Quercus bicolor","New York","Bronx","Pelham Bay Park","","","","","260421","1","","","","Public - county","101.4'","Clinometer/laser rangefinder/sine","13.4'","161''","71.3'","","Erik Danielson, David Berg","2016-04-13","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7420%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9%26start%3D10%23p39663","N"
"Swamp White Oak","Quercus bicolor","New York","Bronx","Pelham Bay Park","","","","","260420","1","","","","Public - county","104.9'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Erik Danielson, David Berg","2016-04-13","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7420%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9%26start%3D10%23p39663","N"
"Swamp White Oak","Quercus bicolor","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280538","1","","","","Public - county","102.3'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"Swamp White Oak","Quercus bicolor","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242682","1","","","","Public","93.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2021-05-17","","N"
"Swamp White Oak","Quercus bicolor","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281045","1","","","","Public - state","79.0'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Swamp White Oak","Quercus bicolor","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281044","1","","","","Public - state","101.5'","Clinometer/laser rangefinder/sine","10.2'","122''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Swamp White Oak","Quercus bicolor","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281013","1","","","","Public - state","104.0'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Swamp White Oak","Quercus bicolor","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281043","1","","","","Public - state","104.0'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Swamp White Oak","Quercus bicolor","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281042","1","","","","Public - state","112.6'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Swamp White Oak","Quercus bicolor","New York","Monroe","Highland Park","","","","","226073","1","","","","Public","88.8'","Clinometer/laser rangefinder/sine","15.4'","184''","","CBH at 3.5’","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
