"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Scarlet Oak","Quercus coccinea var. coccinea","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232127","1","","","","Public - federal","104.9'","Clinometer/laser rangefinder/sine","10.7'","128''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232128","1","","","","Public - federal","117.3'","Clinometer/laser rangefinder/sine","7.7'","92''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Delaware","New Castle","Flint Woods {Reserve","","","37 Acres with additional acreage under conservation easement.","","232224","1","","","","Public - state","119.6'","Clinometer/laser rangefinder/sine","10.6'","127''","","","George Fieo","2014-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8740%26sid%3D4b23d5b42476125c3d869ba89d4ef743","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Delaware","New Castle","Flint Woods {Reserve","","","37 Acres with additional acreage under conservation easement.","","232236","1","","","","Public - state","128.2'","Clinometer/laser rangefinder/sine","12.3'","148''","","","George Fieo","2014-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8740%26sid%3D4b23d5b42476125c3d869ba89d4ef743","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 12.918","-086 13.090","","","297415","1","37 12.918","-086 13.090","635.0 ft","Public","114.1'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 10.100","-086 09.809","","","297802","1","37 10.100","-086 09.809","590.0 ft","Public","119.4'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 11.674","-086 10.771","","","297861","1","37 11.674","-086 10.771","","Public","119.8'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 13.439","-086 12.458","","","297352","1","37 13.439","-086 12.458","695.0 ft","Public","120.4'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 12.902","-086 13.107","","","297416","1","37 12.902","-086 13.107","625.0 ft","Public","124.0'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 11.818","-086 13.211","","","297824","1","37 11.818","-086 13.211","560.0 ft","Public","124.0'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 11.247","-086 11.816","","","297780","1","37 11.247","-086 11.816","625.0 ft","Public","129.0'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Kentucky","Edmonson","Mammoth Cave National Park","37 13.539","-086 12.015","","","297353","1","37 13.539","-086 12.015","610.0 ft","Public","142.7'","Clinometer/laser rangefinder/sine","11.1'","133''","","","Elijah Whitcomb","2023-06-23","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Anne Arundel","Chase Creek Woods","","","","","280923","1","","","","Private","103.2'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Colby Rucker","2003-07-01","","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Baltimore","Loch Raven Reservior","","","9,200 acres minus 3,100 acres of water at crest..
Supplies the City of Baltimore and Baltimore County with drinking water.","","231426","1","","","","Public - city","126.0'","Clinometer/laser rangefinder/sine","12.1'","145''","","","George Fieo","2015-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8746%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Baltimore","Loch Raven Reservior","","","9,200 acres minus 3,100 acres of water at crest..
Supplies the City of Baltimore and Baltimore County with drinking water.","","231390","1","","","","Public - city","130.7'","Clinometer/laser rangefinder/sine","7.7'","92''","","","George Fieo","2015-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8746%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168138","1","","","400.0 ft","Public - State","120.2'","Clinometer/laser rangefinder/sine","7.5'","90''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168139","1","","","400.0 ft","Public - State","121.7'","Clinometer/laser rangefinder/sine","7.5'","90''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168140","1","","","400.0 ft","Public - State","122.7'","Clinometer/laser rangefinder/sine","8.7'","104''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168141","1","","","400.0 ft","Public - State","125.6'","Clinometer/laser rangefinder/sine","8.2'","98''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168142","1","","","400.0 ft","Public - State","130.0'","Clinometer/laser rangefinder/sine","6.0'","72''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"Scarlet Oak","Quercus coccinea var. coccinea","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231819","1","","","","Public - state","112.3'","Clinometer/laser rangefinder/sine","9.0'","108''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
