"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Barbershop Spring","","","","","137150","1","","","","Public - Federal","63.7'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Campbell Mesa","","","","","33248","1","","","6800.0 ft","Public - National Forest","22.5'","Clinometer/laser rangefinder/sine","3.1'","38''","","","Turner Sharp","2012-03-05","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Campbell Mesa","","","","","33249","1","","","6800.0 ft","Public - National Forest","35.2'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Turner Sharp","2012-03-05","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Campbell Mesa","","","","","33250","1","","","6800.0 ft","Public - National Forest","36.1'","Clinometer/laser rangefinder/sine","6.2'","75''","","","Turner Sharp","2012-03-05","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Guard Station Road","34 54.407","-111 26.334","Also known as Ranger Road","","131006","1","34 54.407","-111 26.334","7200.0 ft","Public - National","40.3'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Turner Sharp","2016-09-20","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Guard Station Road","34 54.362","-111 26.317","Also known as Ranger Road","","131007","1","34 54.362","-111 26.317","7200.0 ft","Public - National","44.6'","Clinometer/laser rangefinder/sine","4.8'","57''","","","Turner Sharp","2016-09-20","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Little Elden Springs","","","","","130925","1","","","7200.0 ft","Public National Forest","35.8'","Clinometer/laser rangefinder/sine","7.6'","92''","","","Turner Sharp","2014-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Little Elden Springs","","","","","130926","1","","","7200.0 ft","Public National Forest","56.6'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Turner Sharp","2014-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Long Valley Experimental Forest","34 33.374","-111 19.408","","","131013","1","34 33.374","-111 19.408","7000.0 ft","Public - National","51.5'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Turner Sharp","2016-09-22","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Oak Creek Canyon","","","","","96797","1","","","6300.0 ft","Public National Forest","59.4'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Turner Sharp","2012-02-18","","N"
"Gambel Oak","Quercus gambelii var. gambelii","Arizona","Coconino","Oak Creek Canyon","","","","","96799","1","","","6300.0 ft","Public National Forest","59.8'","Clinometer/laser rangefinder/sine","4.3'","51''","","","Turner Sharp","2012-02-18","","N"
