"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Bear Oak","Quercus ilicifolia","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 26.070","-071 12.071","","","256009","1","42 26.070","-071 12.071","","Public-Private","2.0'","Clinometer/laser rangefinder/sine","1.8'","21''","21.0'","Measured by D. Bidlack 8/3/2013 at 11111great Meadows near Lexington, Middlesex County.  183 acre site is owned by City. Height measured by pole.","Various Various","2001-01-01","","N"
"Bear Oak","Quercus ilicifolia","New York","Albany","Truax Trailhead","","","","","187985","1","","","","Public","10.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-23","","N"
"Bear Oak","Quercus ilicifolia","New York","Albany","Truax Trailhead","","","","","187986","1","","","","Public","18.3'","Clinometer/laser rangefinder/sine","1.4'","17''","","","Elijah Whitcomb","2019-06-23","","N"
"Bear Oak","Quercus ilicifolia","New York","Monroe","Highland Park","","","","","226074","1","","","","Public","47.0'","Clinometer/laser rangefinder/sine","2.1'","26''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Bear Oak","Quercus ilicifolia","Pennsylvania","Montgomery","Henry Foundation For Botanical Research","","","501 Stoney Lane, Gladwyne, Montgomery County.","","142265","1","","","","Private","16.7'","Clinometer/laser rangefinder/sine","1.5'","18''","21.0'","","Scott Wade","2008-11-07","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fhenry_foundation_gladwyne_pa.htm","N"
"Bear Oak","Quercus ilicifolia","Pennsylvania","Sullivan","Ricketts Glen State Park","","","Trees measured were probably made throughout the park and represent maximum heights of 50 species.","","222079","1","","","","Public State Park","10.1'","Clinometer/laser rangefinder/sine","0.5'","7''","","","Rick Koval","2013-12-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D150%26t%3D6078","N"
"Bear Oak","Quercus ilicifolia","West Virginia","54 Counties","West Virginia Historical Trees","39 22.938","-078 44.801","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312115","1","39 22.938","-078 44.801","","Public and Private","","Clinometer/laser rangefinder/sine","2.8'","34''","30.0'","Measured by M. Whetzel, C. Brown 1992 on Riverside Farms, Romney, Hampshire County.","Various Various","1963-01-01","","N"
"Bear Oak","Quercus ilicifolia","West Virginia","54 Counties","West Virginia Historical Trees","38 41.531","-079 10.890","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312143","1","38 41.531","-079 10.890","","Public and Private","","Clinometer/laser rangefinder/sine","3.4'","41''","22.0'","Measured by T. George 1999 near Fort Seybert, Pendleton County. Originally neasured by H. Wilson 1991at:
# x 36"" x 31'. Tree dead 2011.","Various Various","1963-01-01","","N"
"Bear Oak","Quercus ilicifolia","West Virginia","54 Counties","West Virginia Single Tree Sites","39 22.479","-078 43.883","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313089","1","39 22.479","-078 43.883","760.0 ft","Private & Publc","33.8'","Clinometer/laser rangefinder/sine","2.7'","32''","24.0'","Tree is in Hampshire County and was measured by J. Bowen in 2010. Crown spread is average of two measurements.","Various Various","1963-01-01","","N"
"Bear Oak","Quercus ilicifolia","West Virginia","Monongalia","Guthrie Loop Trail","39 38.783","-079 58.672","This section of the arboretum features mostly planted specimens of native and exoctic species.","","222942","1","39 38.783","-079 58.672","1040.0 ft","Public - state","20.6'","Clinometer/laser rangefinder/sine","1.8'","21''","13.0'","","Turner Sharp","2016-02-29","","N"
