"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Shingle Oak","Quercus imbricaria","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174810","1","","","","Public - federal","55.1'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Shingle Oak","Quercus imbricaria","Georgia","Floyd","Rome And Floyd County","","","","","243214","1","","","","Private","90.3'","Clinometer/laser rangefinder/sine","10.2'","122''","96.0'","Crown spread is maximum.
Berry College Campus","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Shingle Oak","Quercus imbricaria","Illinois","Peoria","Jubilee State Park","40 49.614","-089 48.932","","","74812","1","40 49.614","-089 48.932","600.0 ft","Public - State Park","66.7'","Clinometer/laser rangefinder/sine","5.6'","68''","","","Turner Sharp","2014-08-01","","N"
"Shingle Oak","Quercus imbricaria","Illinois","Sangamon","Illinois Single Tree Sites","39 19.383","-087 59.327","","","171009","1","39 19.383","-087 59.327","","Public- Private","","","8.8'","105''","","Tree located in KOA campground near Casey, Clark County, Ill.
Measured by T. Sharp 7/2008","Various Various","2000-01-01","","N"
"Shingle Oak","Quercus imbricaria","Kentucky","Edmonson","Mammoth Cave National Park","37 09.822","-086 05.563","","","297389","1","37 09.822","-086 05.563","705.0 ft","Public","81.2'","Clinometer/laser rangefinder/sine","6.8'","82''","","Possibly planted","Elijah Whitcomb","2023-06-23","","N"
"Shingle Oak","Quercus imbricaria","Kentucky","Edmonson","Mammoth Cave National Park","37 11.339","-086 05.750","","","297567","1","37 11.339","-086 05.750","580.0 ft","Public","96.6'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb","2023-06-23","","N"
"Shingle Oak","Quercus imbricaria","Kentucky","Edmonson","Mammoth Cave National Park","37 11.369","-086 05.743","","","297568","1","37 11.369","-086 05.743","570.0 ft","Public","101.2'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2023-06-23","","N"
"Shingle Oak","Quercus imbricaria","Kentucky","Todd","Jefferson Davis State Historic Site","","","Features a 351 foot obelisk commemerating Jefferson Davis","","76446","1","","","","Public - state park","80.3'","Clinometer/laser rangefinder/sine","10.3'","123''","","","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Shingle Oak","Quercus imbricaria","Missouri","Saint Louis","Bellefontaine Cemetery","","","","","171808","1","","","","Private","96.0'","Clinometer/laser rangefinder/sine","15.3'","184''","108.0'","Circumference taken at 4' and below a burl.
Tree is a Missouri State Champion for it species.","Beth Koebel","2016-08-30","","N"
"Shingle Oak","Quercus imbricaria","New York","Monroe","Genessee Valley Park","","","","","189773","1","","","","Public","102.8'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Elijah Whitcomb","2019-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8540","N"
