"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Overcup Oak","Quercus lyrata","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241603","1","","","","Public - state","128.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Overcup Oak","Quercus lyrata","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175061","1","","","","Public - federal","76.3'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Overcup Oak","Quercus lyrata","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234718","1","","","","Public - federal","113.1'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Overcup Oak","Quercus lyrata","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234719","1","","","","Public - federal","122.0'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Overcup Oak","Quercus lyrata","Illinois","Massac","Sielbeck Forest State Natural Area","","","385 acres. 
This State Natural Area may now be part of Mermet Lake state Fish and Wildlife area.","","225677","1","","","","Public state","114.7'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Jesse Riddle","2013-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D5963","N"
"Overcup Oak","Quercus lyrata","Kentucky","Trigg","Hematite Lake","36 53.697","-088 02.357","","","322701","1","36 53.697","-088 02.357","420.0 ft","Public","110.0'","Clinometer/laser rangefinder/sine","7.9'","94''","","","Elijah Whitcomb","2025-09-20","","N"
"Overcup Oak","Quercus lyrata","Louisiana","Webster Parish","Lake Bistineau State Park","32 26.395","-093 22.815","","","320724","1","32 26.395","-093 22.815","240.0 ft","Public","60.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-01-08","","N"
"Overcup Oak","Quercus lyrata","Maryland","Prince George's","Patuxent Wildlife Research Center","","","","","45427","1","","","","Public - Federal, Fish & Wildlife","113.6'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Darian Copiz","2011-08-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D2899","N"
"Overcup Oak","Quercus lyrata","Missouri","Mississippi","Big Oak Tree State Park","","","","","171789","1","","","","Public","92.4'","Clinometer/laser rangefinder/sine","13.1'","157''","","Pond Trail","Don Bragg","2005-07-29","","N"
"Overcup Oak","Quercus lyrata","Missouri","Mississippi","Big Oak Tree State Park","36 38.316","-089 17.140","","","283629","1","36 38.316","-089 17.140","295.0 ft","Public","99.3'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Elijah Whitcomb","2022-11-26","","N"
