"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Bur Oak","Quercus macrocarpa","Michigan","Ottawa","Aman Park","42 58.567","-085 49.887","","","104966","1","42 58.567","-085 49.887","","Public","73.2'","Clinometer/laser rangefinder/sine","8.9'","106''","","","Greg Schmidt","2015-11-11","","N"
"Bur Oak","Quercus macrocarpa","Minnesota","Hennepin","Baker Park Reserve","45 00.782","-093 37.079","","","172278","1","45 00.782","-093 37.079","","Public","","","13.6'","163''","","","Riley Smith","2016-05-11","","N"
"Bur Oak","Quercus macrocarpa","Minnesota","Hennepin","Biolife","45 07.711","-093 29.797","This tree was measured less than two years ago, but as of the Summer of 2015 was removed for an access road to a new development.In its time, it was one of the oldest and grandest trees in the Twin Cities (though not overly handsome by most people's standards.)","","172268","1","45 07.711","-093 29.797","","Private","","","15.1'","181''","","At one time this was one of the oldest and largest Oaks in the twin cities. Unfortunately, a development in 2015 pave right over it. Cool tree while it lasted.","Riley Smith","2016-05-11","","N"
"Bur Oak","Quercus macrocarpa","Minnesota","Hennepin","Plymouth","","","","","239886","1","","","","Public - city","","","12.2'","146''","","","Tre Clim","2014-07-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D6445%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8%23p29317","N"
"Bur Oak","Quercus macrocarpa","Minnesota","Hennepin","Plymouth","","","","","239887","1","","","","Public - city","","","10.7'","128''","","","Tre Clim","2014-07-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D6445%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8%23p29317","N"
"Bur Oak","Quercus macrocarpa","Minnesota","Ramsey","Minnesota Single Tree Sites","","","","","239942","1","","","","Public, Private","","Clinometer/laser rangefinder/sine","19.9'","239''","","Measured by ""climbatree"" on 1/17/2014. Site was potentially being cleared for development.","Various Various","2000-01-01","","N"
"Bur Oak","Quercus macrocarpa","North Carolina","Guilford","Guilford Courthouse","","","","","40714","1","","","","Public","96.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-11-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4752","N"
"Bur Oak","Quercus macrocarpa","Nebraska","Cherry","Smith Falls State Park","","","265 Acres","","220448","1","","","","Public - state","74.7'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2013-09-14","","N"
"Bur Oak","Quercus macrocarpa","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220684","1","","","","Private","87.2'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Jess Riddle","2013-11-03","","N"
"Bur Oak","Quercus macrocarpa","New York","Albany","New York Single Tree Sites","42 04.587","-079 18.476","","","263310","1","42 04.587","-079 18.476","","Public-Private","101.5'","Clinometer/laser rangefinder/sine","","","","Multi-stem tree.
Measured by E. Danielson 10/28/2017 near Jamestown, Chautauqua County.","Various Various","2000-02-01","","N"
