"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Boone","Big Bone Lick State Park","","","525 Acres
Is on National Register of Historic Places and a Natural Landmark","","174572","1","","","","Public - state","80.5'","Clinometer/laser rangefinder/sine","12.2'","147''","","","Matt Markworth","2014-09-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7337%23p35156","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Booker T. Washington Primary Academy","","","It is a public school.","","174130","1","","","","Public - county","","Clinometer/laser rangefinder/sine","17.7'","212''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Booker T. Washington Primary Academy","","","It is a public school.","","174131","1","","","","Public - county","","Clinometer/laser rangefinder/sine","11.6'","139''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Booker T. Washington Primary Academy","","","It is a public school.","","174132","1","","","","Public - county","","Clinometer/laser rangefinder/sine","9.9'","119''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Booker T. Washington Primary Academy","","","It is a public school.","","174133","1","","","","Public - county","","Clinometer/laser rangefinder/sine","9.4'","113''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Booker T. Washington Primary Academy","","","It is a public school.","","174134","1","","","","Public - county","","Clinometer/laser rangefinder/sine","9.3'","111''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Castlewood Park","","","32 Acres
The park contains Loudoun House (1850's) now used as a community center.","","174142","1","","","","Public - city","79.0'","Clinometer/laser rangefinder/sine","15.4'","185''","93.0'","Crown spread is an average of two-axis method.","Matt Markworth","2014-09-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6579","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Castlewood Park","","","32 Acres
The park contains Loudoun House (1850's) now used as a community center.","","174141","1","","","","Public - city","83.5'","Clinometer/laser rangefinder/sine","18.1'","217''","95.5'","Crown spread is an average of two-axis method. Maximum crown spread is 100'","Matt Markworth","2014-09-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6579","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Coolavin Park","","","","","174127","1","","","","Public - city","","Clinometer/laser rangefinder/sine","13.7'","165''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599%23p30151","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Duncan Park","","","","","174126","1","","","","Public - city","","","17.1'","206''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599%23p30151","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Lexington Cemetery","","","Established 1849. 170 Acres","","174562","1","","","","Private","","Clinometer/laser rangefinder/sine","21.3'","255''","","","Mark Rouw, Matt Markworth, Landon Smith","2014-10-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6836%23p31695","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Lexington Kentucky Area","","","","","174585","1","","","925.0 ft","Private","80.5'","Clinometer/laser rangefinder/sine","19.3'","232''","","Girth includes vines","Matt Markworth","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7380","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Lexington Kentucky Area","","","","","174586","1","","","895.0 ft","Private","80.5'","Clinometer/laser rangefinder/sine","18.5'","222''","","","Matt Markworth","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7380","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Lexington Kentucky Area","","","","","174587","1","","","885.0 ft","Private","81.0'","Clinometer/laser rangefinder/sine","16.3'","196''","","","Matt Markworth","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7380","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Lexington Kentucky Area","","","","","174588","1","","","955.0 ft","Private","81.5'","Clinometer/laser rangefinder/sine","12.8'","154''","","Lost one of two leaders","Matt Markworth","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7380","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Mcconnell Springs Park","","","26 acres","","174129","1","","","","Public-city","","","15.3'","183''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Veterans Park","","","","","174128","1","","","","Public - city","","Clinometer/laser rangefinder/sine","11.5'","138''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599%23p30151","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Fayette","Woodland Park","","","","","174120","1","","","","Public-city","","Clinometer/laser rangefinder/sine","15.0'","180''","","","Matt Markworth","2014-09-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6599%23p30151","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Franklin","Kentucky Single Tree Sites","38 02.218","-084 30.290","","","174560","1","38 02.218","-084 30.290","","Public/ Private","","Tree climb with tape drop","16.6'","199''","","Measured by M. Rouw, M. Markworth, L. Smith 10/15/2014. 
Tree located on a busy street in Lexington.","Various Various","2000-01-01","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Kentucky","Franklin","Kentucky Single Tree Sites","","","","","174561","1","","","","Public/ Private","","Tree climb with tape drop","18.4'","221''","","Measured by M. Rouw, M. Markworth, L. Smith 10/15/2014. 
Tree in a new housing development in Lexington.","Various Various","2000-01-01","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","","","","","171783","1","","","","Public","107.0'","Clinometer/laser rangefinder/sine","15.8'","190''","","Pond Trail","Don Bragg","2005-07-29","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","","","","","171791","1","","","","Public","116.7'","Clinometer/laser rangefinder/sine","17.6'","211''","","Boardwalk area","Don Bragg","2005-07-29","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","36 38.650","-089 17.258","","","283631","1","36 38.650","-089 17.258","310.0 ft","Public","122.2'","Clinometer/laser rangefinder/sine","15.0'","180''","","","Elijah Whitcomb","2022-11-26","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","","","","","171802","1","","","","Public","125.8'","Clinometer/laser rangefinder/sine","14.7'","176''","","","Robert Leverett","2006-03-21","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","36 38.690","-089 17.318","","","283632","1","36 38.690","-089 17.318","320.0 ft","Public","127.1'","Clinometer/laser rangefinder/sine","14.0'","168''","","","Elijah Whitcomb","2022-11-26","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","36 38.638","-089 17.449","","","283633","1","36 38.638","-089 17.449","385.0 ft","Public","131.3'","Clinometer/laser rangefinder/sine","16.4'","197''","","","Elijah Whitcomb","2022-11-26","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","Missouri","Mississippi","Big Oak Tree State Park","","","","","171794","1","","","","Public","132.7'","Clinometer/laser rangefinder/sine","17.6'","211''","","","Robert Leverett","2006-03-21","","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","New York","Cayuga","Port Byron, NY, Woodlot","","","","","199218","1","","","","Private","102.4'","Clinometer/laser rangefinder/sine","6.2'","75''","","","Elijah Whitcomb","2012-02-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3406","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","New York","Monroe","Genessee Valley Park","","","","","189776","1","","","","Public","94.6'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2019-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8540","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","New York","Monroe","Genessee Valley Park","","","","","189775","1","","","","Public","101.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8540","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","New York","Monroe","Highland Park","","","","","226077","1","","","","Public","90.1'","Clinometer/laser rangefinder/sine","12.2'","146''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Bur Oak","Quercus macrocarpa var. macrocarpa","New York","Monroe","Highland Park","","","","","226076","1","","","","Public","92.1'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
