"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Blackjack Oak","Quercus marilandica var. marilandica","Georgia","Floyd","Marshall Forest","34 14.926","-085 11.821","","","322908","1","34 14.926","-085 11.821","900.0 ft","Private","55.1'","Clinometer/laser rangefinder/sine","4.7'","57''","","","Elijah Whitcomb","2025-11-27","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Kentucky","Edmonson","Mammoth Cave National Park","37 09.138","-086 06.514","","","297432","1","37 09.138","-086 06.514","760.0 ft","Public","40.7'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Elijah Whitcomb","2023-06-23","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Kentucky","Edmonson","Mammoth Cave National Park","37 09.142","-086 06.518","","","297434","1","37 09.142","-086 06.518","765.0 ft","Public","59.0'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Elijah Whitcomb","2023-06-23","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Kentucky","Edmonson","Mammoth Cave National Park","37 09.141","-086 06.516","","","297433","1","37 09.141","-086 06.516","765.0 ft","Public","61.5'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Elijah Whitcomb","2023-06-23","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Massachusetts","Suffolk","Arnold Arboretum","","","","","189024","1","","","","Public","49.0'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Elijah Whitcomb","2019-06-30","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Benton","Nathan Bedford Forrest State Park","36 05.404","-087 58.578","","","322142","1","36 05.404","-087 58.578","670.0 ft","Public","44.8'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Elijah Whitcomb","2025-04-19","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Cumberland","Cumberland Mountain State Park","35 55.014","-085 01.089","","","320561","1","35 55.014","-085 01.089","1930.0 ft","Public","26.8'","Clinometer/laser rangefinder/sine","","","","Double trunk","Elijah Whitcomb","2024-11-21","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Dickson","Montgomery Bell State Park","36 05.562","-087 15.314","","","323262","1","36 05.562","-087 15.314","875.0 ft","Public","64.4'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Elijah Whitcomb","2026-01-02","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Dickson","Montgomery Bell State Park","36 05.505","-087 15.347","","","323263","1","36 05.505","-087 15.347","860.0 ft","Public","70.0'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Elijah Whitcomb","2026-01-02","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Dickson","Montgomery Bell State Park","36 05.467","-087 15.379","","","323264","1","36 05.467","-087 15.379","855.0 ft","Public","77.4'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2026-01-02","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Franklin","College Of The South","35 12.240","-085 57.365","","","323422","1","35 12.240","-085 57.365","1955.0 ft","Public","22.2'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Elijah Whitcomb","2026-02-28","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Grundy/Marion","Fiery Gizzard","35 10.767","-085 40.728","","","320201","1","35 10.767","-085 40.728","1850.0 ft","Public","38.6'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Elijah Whitcomb","2024-11-30","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Hardeman","Big Hill Pond State Park","35 02.993","-088 44.383","","","313589","1","35 02.993","-088 44.383","605.0 ft","Public","35.2'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Elijah Whitcomb","2023-12-02","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Hardeman","Big Hill Pond State Park","35 03.102","-088 44.272","","","313590","1","35 03.102","-088 44.272","665.0 ft","Public","58.8'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Elijah Whitcomb","2023-12-02","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Hardin","Shiloh National Military Park/Cemetery","35 08.429","-088 20.113","","","298134","1","35 08.429","-088 20.113","465.0 ft","Public","48.4'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Elijah Whitcomb","2023-07-08","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Hardin","Shiloh National Military Park/Cemetery","35 09.013","-088 19.475","","","298133","1","35 09.013","-088 19.475","445.0 ft","Public","50.4'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Elijah Whitcomb","2023-07-08","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Hardin","Shiloh National Military Park/Cemetery","35 07.323","-088 21.072","","","298135","1","35 07.323","-088 21.072","495.0 ft","Public","64.1'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Elijah Whitcomb","2023-07-08","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","Tennessee","Van Buren","Fall Creek Falls State Resort Park","35 37.980","-085 21.509","","","257677","1","35 37.980","-085 21.509","1850.0 ft","Public","52.0'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Elijah Whitcomb","2021-10-23","","N"
"Blackjack Oak","Quercus marilandica var. marilandica","West Virginia","54 Counties","West Virginia Single Tree Sites","39 01.849","-078 39.462","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313087","1","39 01.849","-078 39.462","1800.0 ft","Private & Publc","45.5'","Clinometer/laser rangefinder/sine","4.1'","49''","29.0'","Tree is in Hardy County and was measured by J. Bowen in 1/20/2010. Crown spread is average of two measurements.","Various Various","1963-01-01","","N"
