"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Swamp Chestnut Oak","Quercus michauxii","Alabama","Lawrence","Indian Tomb Hollow","","","181,230 acres in the Bankhead National Forest","","233720","1","","","","Public - federal","119.5'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243116","1","","","","Public - federal","121.7'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243115","1","","","","Public - federal","124.1'","Clinometer/laser rangefinder/sine","12.9'","155''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241608","1","","","","Public - state","123.9'","Clinometer/laser rangefinder/sine","14.4'","173''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241607","1","","","","Public - state","125.6'","Clinometer/laser rangefinder/sine","14.0'","168''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241606","1","","","","Public - state","127.7'","Clinometer/laser rangefinder/sine","12.4'","149''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241605","1","","","","Public - state","128.4'","Clinometer/laser rangefinder/sine","11.6'","139''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241604","1","","","","Public - state","132.1'","Clinometer/laser rangefinder/sine","10.9'","131''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241694","1","","","","Private","118.8'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241472","1","","","","Public - state","120.5'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Swamp Chestnut Oak","Quercus michauxii","Arkansas","Prairie","Des Arc","","","2500 acre private tract","","233991","1","","","","Private","112.0'","Clinometer/laser rangefinder/sine","18.3'","220''","106.0'","Circumference taken at 6'","Don Bragg","2007-07-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fdes_arc%2Fsome_new_ar_champions.htm","N"
"Swamp Chestnut Oak","Quercus michauxii","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174069","1","","","","Private","","Clinometer/laser rangefinder/sine","12.2'","146''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Swamp Chestnut Oak","Quercus michauxii","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174070","1","","","","Private","","Clinometer/laser rangefinder/sine","14.1'","169''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Swamp Chestnut Oak","Quercus michauxii","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174068","1","","","","Private","117.6'","Clinometer/laser rangefinder/sine","13.2'","158''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Swamp Chestnut Oak","Quercus michauxii","Kentucky","Trigg","Hematite Lake","36 53.561","-088 02.929","","","322676","1","36 53.561","-088 02.929","405.0 ft","Public","120.0'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Elijah Whitcomb","2025-09-20","","N"
"Swamp Chestnut Oak","Quercus michauxii","Kentucky","Trigg","Hematite Lake","36 53.738","-088 02.481","","","322680","1","36 53.738","-088 02.481","410.0 ft","Public","120.6'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Elijah Whitcomb","2025-09-20","","N"
"Swamp Chestnut Oak","Quercus michauxii","Kentucky","Trigg","Hematite Lake","36 53.683","-088 02.422","","","322681","1","36 53.683","-088 02.422","405.0 ft","Public","128.3'","Clinometer/laser rangefinder/sine","13.4'","161''","","","Elijah Whitcomb","2025-09-20","","N"
"Swamp Chestnut Oak","Quercus michauxii","Maryland","Prince George's","Patuxent Wildlife Research Center","","","","","45428","1","","","","Public - Federal, Fish & Wildlife","107.6'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Darian Copiz","2011-08-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D2899","N"
"Swamp Chestnut Oak","Quercus michauxii","Maryland","Prince George's","Patuxent Wildlife Research Center","","","","","45429","1","","","","Public - Federal, Fish & Wildlife","118.8'","Clinometer/laser rangefinder/sine","13.7'","164''","","","Darian Copiz","2011-08-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D2899","N"
"Swamp Chestnut Oak","Quercus michauxii","Maryland","Prince George's","White's Woods","","","Trees measured are to east and southeast of the mansion","","158509","1","","","","Public-county","117.0'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Darian Copiz","2017-01-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7916","N"
"Swamp Chestnut Oak","Quercus michauxii","Maryland","Various Counties","Maryland Single Tree Sites","38 59.383","-076 42.348","","","163341","1","38 59.383","-076 42.348","","Private. Public","95.2'","Clinometer/laser rangefinder/sine","16.3'","196''","","Tree is located upstream of the Priest Bridge over the Patuxent River. Anne Arundel County.
Measured by Colby Rucker 9/30/2001","Various Various","2010-01-01","","N"
"Swamp Chestnut Oak","Quercus michauxii","Missouri","Mississippi","Big Oak Tree State Park","","","","","171766","1","","","","Public","109.2'","Clinometer/laser rangefinder/sine","8.6'","103''","","Picnic area","Don Bragg","2005-07-29","","N"
"Swamp Chestnut Oak","Quercus michauxii","Missouri","Mississippi","Big Oak Tree State Park","","","","","171775","1","","","","Public","111.9'","Clinometer/laser rangefinder/sine","14.1'","170''","","Pond Trail","Don Bragg","2005-07-29","","N"
"Swamp Chestnut Oak","Quercus michauxii","Missouri","Mississippi","Big Oak Tree State Park","","","","","171767","1","","","","Public","113.6'","Clinometer/laser rangefinder/sine","11.9'","143''","","Picnic area","Don Bragg","2005-07-29","","N"
"Swamp Chestnut Oak","Quercus michauxii","Missouri","Mississippi","Big Oak Tree State Park","36 38.583","-089 16.971","","","283624","1","36 38.583","-089 16.971","300.0 ft","Public","114.7'","Clinometer/laser rangefinder/sine","17.0'","204''","","MO State Champion","Elijah Whitcomb","2022-11-26","","N"
