"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Chinkapin Oak","Quercus muehlenbergii","Alabama","Jackson","Walls Of Jericho","34 59.364","-086 06.126","","","315718","1","34 59.364","-086 06.126","875.0 ft","Public","110.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-04-20","","N"
"Chinkapin Oak","Quercus muehlenbergii","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233865","1","","","","Public - federal","102.3'","Clinometer/laser rangefinder/sine","4.3'","51''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Chinkapin Oak","Quercus muehlenbergii","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241475","1","","","","Public - state","98.4'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Chinkapin Oak","Quercus muehlenbergii","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175063","1","","","","Public - federal","71.8'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Chinkapin Oak","Quercus muehlenbergii","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","234479","1","","","","Public - state","","Clinometer/laser rangefinder/sine","7.1'","85''","","","Jess Riddle","2005-07-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Chinkapin Oak","Quercus muehlenbergii","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","243318","1","","","","Public - state","87.6'","Clinometer/laser rangefinder/sine","5.9'","71''","","Height is Not Less Then(NLT)","Jess Riddle","2004-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Chinkapin Oak","Quercus muehlenbergii","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","234480","1","","","","Public - state","94.3'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Jess Riddle","2005-07-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Chinkapin Oak","Quercus muehlenbergii","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169860","1","","","","Public - federal","95.7'","Clinometer/laser rangefinder/sine","","","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Chinkapin Oak","Quercus muehlenbergii","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169949","1","","","","Public - federal","107.0'","Clinometer/laser rangefinder/sine","11.9'","143''","","","Mark Rouw","2015-02-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Chinkapin Oak","Quercus muehlenbergii","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169871","1","","","","Public - federal","116.8'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Boone","Dinsmore Nature Preserve - Homestead","","","Nature Conservancy turned this over to the Boone County Court.","","76487","1","","","560.0 ft","Public -Boone  County Court","113.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Dale Luthringer","2009-07-22","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F1dfdcdcfe302b15a%3Fhl%3Den","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 12.431","-086 14.799","","","297318","1","37 12.431","-086 14.799","470.0 ft","Public","116.7'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Elijah Whitcomb","2023-06-23","","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 12.800","-086 09.025","","","297430","1","37 12.800","-086 09.025","535.0 ft","Public","116.9'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Elijah Whitcomb","2023-06-23","","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 11.845","-086 13.682","","","297288","1","37 11.845","-086 13.682","485.0 ft","Public","119.1'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Elijah Whitcomb","2023-06-23","","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 11.582","-086 08.921","","","297738","1","37 11.582","-086 08.921","585.0 ft","Public","125.3'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2023-06-23","","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 10.523","-086 08.633","","","297666","1","37 10.523","-086 08.633","560.0 ft","Public","126.6'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 08.860","-086 05.386","","","297441","1","37 08.860","-086 05.386","740.0 ft","Public","127.4'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Elijah Whitcomb","2023-06-23","","N"
"Chinkapin Oak","Quercus muehlenbergii","Kentucky","Edmonson","Mammoth Cave National Park","37 13.182","-086 07.632","","","297503","1","37 13.182","-086 07.632","675.0 ft","Public","130.3'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2023-06-23","","N"
