"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Cherrybark Oak","Quercus pagoda","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233708","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","17.6'","211''","","","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243123","1","","","","Public - federal","123.1'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243122","1","","","","Public - federal","125.3'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241610","1","","","","Public - state","131.8'","Clinometer/laser rangefinder/sine","13.5'","162''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241697","1","","","","Private","131.3'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241696","1","","","","Private","133.5'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241695","1","","","","Private","139.2'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233957","1","","","","Public - state","101.2'","Clinometer/laser rangefinder/sine","8.6'","103''","","Forestry Park","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233953","1","","","","Public - state","109.8'","Clinometer/laser rangefinder/sine","7.8'","94''","","Forestry Park","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Cherrybark Oak","Quercus pagoda","Arkansas","Hempstead","Bois D'arc Creek Wildlife Management Area","","","5843 Acres","","241637","1","","","","Public - state","","Clinometer/laser rangefinder/sine","11.4'","137''","","","Jess Riddle","2014-07-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6440%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
