"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pin Oak","Quercus palustris","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175057","1","","","","Public - federal","82.8'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Pin Oak","Quercus palustris","Georgia","Fulton","Piedmont Park","","","185 Acre Park","","235303","1","","","","Public - city","92.3'","Clinometer/laser rangefinder/sine","14.1'","169''","104.0'","Maximum crown spread","Jess Riddle","2005-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fatlanta_trees.htm","N"
"Pin Oak","Quercus palustris","Illinois","Massac","Sielbeck Forest State Natural Area","","","385 acres. 
This State Natural Area may now be part of Mermet Lake state Fish and Wildlife area.","","225679","1","","","","Public state","111.9'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Jesse Riddle","2013-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D5963","N"
"Pin Oak","Quercus palustris","Illinois","Wabash","Beall Woods State Park","","","All trees measured where on or within sight of the Tulip Tree Trail.","","273887","1","","","","Public - state","130.3'","Clinometer/laser rangefinder/sine","20.0'","239''","","","Elijah Woods","2020-09-23","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D8733","N"
"Pin Oak","Quercus palustris","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174072","1","","","","Private","","Clinometer/laser rangefinder/sine","10.2'","122''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Pin Oak","Quercus palustris","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174073","1","","","","Private","","Clinometer/laser rangefinder/sine","12.0'","144''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Pin Oak","Quercus palustris","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174074","1","","","","Private","","Clinometer/laser rangefinder/sine","10.8'","130''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Pin Oak","Quercus palustris","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174071","1","","","","Private","119.0'","Clinometer/laser rangefinder/sine","12.8'","154''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Pin Oak","Quercus palustris","Kentucky","Franklin","Old State Capital Square","","","","","112328","1","","","","Public - state","81.1'","Clinometer/laser rangefinder/sine","9.3'","112''","","Tree was planted 5/27/1977 according to plaque.","Turner Sharp","2015-12-02","","N"
"Pin Oak","Quercus palustris","Kentucky","Trigg","Hematite Lake","36 53.884","-088 02.157","","","322695","1","36 53.884","-088 02.157","380.0 ft","Public","97.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-09-20","","N"
"Pin Oak","Quercus palustris","Kentucky","Trigg","Hematite Lake","36 53.933","-088 01.846","","","322696","1","36 53.933","-088 01.846","320.0 ft","Public","125.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2025-09-20","","N"
"Pin Oak","Quercus palustris","Kentucky","Trigg","Hematite Lake","36 53.696","-088 02.415","","","322700","1","36 53.696","-088 02.415","405.0 ft","Public","130.6'","Clinometer/laser rangefinder/sine","15.7'","189''","","Damaged crown","Elijah Whitcomb","2025-09-20","","N"
"Pin Oak","Quercus palustris","Kentucky","Trigg","Hematite Lake","36 53.732","-088 02.386","","","322699","1","36 53.732","-088 02.386","415.0 ft","Public","137.7'","Clinometer/laser rangefinder/sine","8.9'","106''","","","Elijah Whitcomb","2025-09-20","","N"
"Pin Oak","Quercus palustris","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128085","1","","","","Public","110.1'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Colby Rucker","2002-04-08","","N"
"Pin Oak","Quercus palustris","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232011","1","","","","Public - state","101.5'","Clinometer/laser rangefinder/sine","4.6'","55''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Pin Oak","Quercus palustris","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168128","1","","","400.0 ft","Public - State","125.1'","Clinometer/laser rangefinder/sine","9.0'","108''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
