"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Willow Oak","Quercus phellos","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241612","1","","","","Public - state","128.1'","Clinometer/laser rangefinder/sine","11.3'","136''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Willow Oak","Quercus phellos","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241611","1","","","","Public - state","130.8'","Clinometer/laser rangefinder/sine","10.6'","127''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Willow Oak","Quercus phellos","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233948","1","","","","Public - state","87.5'","Clinometer/laser rangefinder/sine","14.9'","179''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Willow Oak","Quercus phellos","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233959","1","","","","Public - state","107.6'","Clinometer/laser rangefinder/sine","16.0'","192''","","North side of campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Willow Oak","Quercus phellos","Arkansas","Pulaski","Arkansas Single Tree Sites","35 05.391","-091 52.145","","","233927","1","35 05.391","-091 52.145","","Public-Private","80.7'","Clinometer/laser rangefinder/sine","13.2'","158''","","Measured by D. Bragg 2/6/2005 near Beebe, White County","Various Various","2001-01-01","","N"
"Willow Oak","Quercus phellos","Arkansas","Pulaski","Arkansas Single Tree Sites","33 38.203","-091 47.407","","","233929","1","33 38.203","-091 47.407","","Public-Private","91.8'","Clinometer/laser rangefinder/sine","17.7'","212''","","Measured by D. Bragg 2/6/2005 on Main Street, Monticello, Drew County.","Various Various","2001-01-01","","N"
"Willow Oak","Quercus phellos","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174796","1","","","","Public - federal","102.7'","Clinometer/laser rangefinder/sine","10.3'","123''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Willow Oak","Quercus phellos","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174795","1","","","","Public - federal","104.7'","Clinometer/laser rangefinder/sine","","","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Willow Oak","Quercus phellos","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175039","1","","","","Public - federal","94.2'","Clinometer/laser rangefinder/sine","15.1'","181''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Willow Oak","Quercus phellos","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175038","1","","","","Public - federal","104.3'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
