"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"English Oak","Quercus robur","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283473","1","","","","Public - federal","134.0'","Clinometer/laser rangefinder/sine","24.0'","288''","","Maciek Oak","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"English Oak","Quercus robur","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283472","1","","","","Public - federal","143.0'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"English Oak","Quercus robur","South Bohemian Region","Ceský Krumlov","Cesky Kumlov Castle Garden","","","UNESCO WORLD HERITAGE SITE.","","284687","1","","","","Public - federal","104.8'","Clinometer/laser rangefinder/sine","11.8'","141''","","","Turner Sharp","2016-03-18","","N"
"English Oak","Quercus robur","New York","Essex","Pharaoh Lake Wilderness","","","","","214335","1","","","","Public","85.5'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"English Oak","Quercus robur","Ohio","Butler","Miami University","","","Four Bur Oaks, including the largest one were measured on 2/3/2013 by M. Markworth.

see:http://www.ents-bbs.org/viewtopic.php?f=111&t=5009#p21622","","168454","1","","","","Public-state","","Clinometer/laser rangefinder/sine","10.8'","129''","","Circumference taken at 2'","Matt Markworth, Steve Galehouse","2013-05-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D5371%23p23473","N"
"English Oak","Quercus robur","Ohio","Washington","Marietta College Campus","39 25.010","-081 27.033","Trees were measured between 1/29/2020 and 2/9/2020","","272976","1","39 25.010","-081 27.033","","Private & Publc","52.1'","Clinometer/laser rangefinder/sine","3.1'","38''","","","Turner Sharp","2020-02-09","","N"
"English Oak","Quercus robur","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224541","1","","","600.0 ft","Private - open to public","56.4'","Clinometer/laser rangefinder/sine","16.0'","192''","","","Will Blozan, Jess Riddle","2005-10-17","","N"
"English Oak","Quercus robur","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224542","1","","","600.0 ft","Private - open to public","66.6'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Will Blozan, Jess Riddle","2005-10-17","","N"
"English Oak","Quercus robur","West Virginia","54 Counties","West Virginia Single Tree Sites","38 50.377","-082 08.442","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313240","1","38 50.377","-082 08.442","","Private & Publc","53.6'","Clinometer/laser rangefinder/sine","10.2'","122''","62.9'","Measured by T. Oxley 2020.
Previously measured by T. Sharp 2011 at 46.5' x 98.6"" x 45.5'. Tree located in Tu-endie-wei State Park, Point Pleasant, Mason County.","Various Various","1963-01-01","","N"
"English Oak","Quercus robur","West Virginia","54 Counties","West Virginia Single Tree Sites","39 39.071","-079 59.294","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313203","1","39 39.071","-079 59.294","","Private & Publc","69.0'","Clinometer/laser rangefinder/sine","9.3'","112''","84.0'","Measured by B. Hannah, J. Weems on 10/22/2014.
Crown spread is an average of the two-axis method.
Tree located on Rand Avenue in front of Core Arboretum garage, Morgantown, Monongalia County.","Various Various","1963-01-01","","N"
