"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Northern Red Oak","Quercus rubra var. rubra","Alabama","Jackson","Walls Of Jericho","34 59.033","-086 05.560","","","315748","1","34 59.033","-086 05.560","825.0 ft","Public","125.5'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2024-04-20","","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Glover - Archbold Park","38 55.512","-077 04.977","This park is administered by the the NPS Rock Creek
Park staff","","76111","1","38 55.512","-077 04.977","200.0 ft","Public - National Park","126.6'","Clinometer/laser rangefinder/sine","14.7'","176''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76112","1","","","200.0 ft","Public - National Park","135.0'","Clinometer/laser rangefinder/sine","11.3'","135''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76113","1","","","200.0 ft","Public - National Park","137.3'","Clinometer/laser rangefinder/sine","12.0'","145''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76062","1","","","","Public - National Park","112.5'","Clinometer/laser rangefinder/sine","","","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76060","1","","","200.0 ft","Public - National Park","131.6'","Clinometer/laser rangefinder/sine","12.8'","154''","","Circumference taken at 6', lower trunk had impressive fluting","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","","","","","76091","1","","","200.0 ft","Public - National Park","132.7'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Northern Red Oak","Quercus rubra var. rubra","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","","","","","76092","1","","","200.0 ft","Public - National Park","135.4'","Clinometer/laser rangefinder/sine","8.8'","105''","","","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Northern Red Oak","Quercus rubra var. rubra","Delaware","New Castle","Winterthur","","","","","140146","1","","","","Private","140.4'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Will Blozan, George Fieo, Scott Wade","2010-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D6420%23p29114","N"
"Northern Red Oak","Quercus rubra var. rubra","Delaware","New Castle","Winterthur","","","","","140147","1","","","","Private","140.7'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Will Blozan, George Fieo, Scott Wade","2010-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D6420%23p29114","N"
"Northern Red Oak","Quercus rubra var. rubra","Georgia","Floyd","Marshall Forest","34 14.950","-085 11.967","","","322909","1","34 14.950","-085 11.967","805.0 ft","Private","127.5'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Elijah Whitcomb","2025-11-27","","N"
"Northern Red Oak","Quercus rubra var. rubra","Georgia","Floyd","Marshall Forest","34 15.022","-085 11.831","","","322910","1","34 15.022","-085 11.831","735.0 ft","Private","129.5'","Clinometer/laser rangefinder/sine","8.1'","98''","","","Elijah Whitcomb","2025-11-27","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","","","","","297294","1","","","700.0 ft","Public","120.5'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 11.763","-086 09.119","","","297735","1","37 11.763","-086 09.119","755.0 ft","Public","127.8'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 11.778","-086 09.120","","","297736","1","37 11.778","-086 09.120","760.0 ft","Public","129.7'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.524","-086 08.658","","","297671","1","37 10.524","-086 08.658","550.0 ft","Public","130.1'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.854","-086 07.565","","","297701","1","37 10.854","-086 07.565","625.0 ft","Public","130.2'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 13.837","-086 03.166","","","297523","1","37 13.837","-086 03.166","605.0 ft","Public","130.3'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 11.560","-086 08.906","","","297731","1","37 11.560","-086 08.906","590.0 ft","Public","131.2'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.817","-086 07.585","","","297696","1","37 10.817","-086 07.585","655.0 ft","Public","131.4'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","","","","","297800","1","","","","Public","131.5'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 08.689","-086 05.090","","","297440","1","37 08.689","-086 05.090","705.0 ft","Public","131.6'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.588","-086 08.020","","","297619","1","37 10.588","-086 08.020","585.0 ft","Public","132.1'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 13.501","-086 10.516","","","297380","1","37 13.501","-086 10.516","640.0 ft","Public","132.2'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","","","","","297585","1","","","","Public","132.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 12.522","-086 13.048","","","297763","1","37 12.522","-086 13.048","450.0 ft","Public","132.8'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.627","-086 08.041","","","297620","1","37 10.627","-086 08.041","610.0 ft","Public","133.5'","Clinometer/laser rangefinder/sine","10.9'","131''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.836","-086 07.580","","","297698","1","37 10.836","-086 07.580","615.0 ft","Public","133.7'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 11.685","-086 09.027","","","297734","1","37 11.685","-086 09.027","660.0 ft","Public","133.9'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 10.869","-086 07.568","","","297700","1","37 10.869","-086 07.568","615.0 ft","Public","134.0'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Elijah Whitcomb","2023-06-23","","N"
"Northern Red Oak","Quercus rubra var. rubra","Kentucky","Edmonson","Mammoth Cave National Park","37 11.277","-086 09.106","","","297737","1","37 11.277","-086 09.106","665.0 ft","Public","134.3'","Clinometer/laser rangefinder/sine","8.9'","107''","","","Elijah Whitcomb","2023-06-23","","N"
