"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Shumard's Oak","Quercus shumardii","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233870","1","","","","Public - federal","125.5'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shumard's Oak","Quercus shumardii","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233871","1","","","","Public - federal","125.6'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shumard's Oak","Quercus shumardii","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233872","1","","","","Public - federal","128.3'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shumard's Oak","Quercus shumardii","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233873","1","","","","Public - federal","137.3'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shumard's Oak","Quercus shumardii","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233874","1","","","","Public - federal","137.3'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shumard's Oak","Quercus shumardii","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243125","1","","","","Public - federal","118.7'","Clinometer/laser rangefinder/sine","11.9'","143''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Shumard's Oak","Quercus shumardii","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243124","1","","","","Public - federal","132.2'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Shumard's Oak","Quercus shumardii","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241700","1","","","","Private","128.7'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Shumard's Oak","Quercus shumardii","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241479","1","","","","Public - state","121.7'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Shumard's Oak","Quercus shumardii","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241478","1","","","","Public - state","125.4'","Clinometer/laser rangefinder/sine","11.5'","138''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Shumard's Oak","Quercus shumardii","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234720","1","","","","Public - federal","124.5'","Clinometer/laser rangefinder/sine","11.1'","133''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Shumard's Oak","Quercus shumardii","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234721","1","","","","Public - federal","136.2'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Shumard's Oak","Quercus shumardii","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19236","1","","","","Park","141.0'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Eli ?","2012-01-28","","N"
"Shumard's Oak","Quercus shumardii","Georgia","Putnam","Rock Creek","","","","","234453","1","","","","Public - federal","131.1'","Clinometer/laser rangefinder/sine","16.7'","200''","92.0'","Crown spread is maximum","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Boone","Big Bone Lick State Park","","","525 Acres
Is on National Register of Historic Places and a Natural Landmark","","174571","1","","","","Public - state","81.0'","Clinometer/laser rangefinder/sine","15.5'","186''","76.5'","","Matt Markworth","2014-09-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7337%23p35156","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Edmonson","Mammoth Cave National Park","37 12.369","-086 14.826","","","297316","1","37 12.369","-086 14.826","450.0 ft","Public","120.0'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Elijah Whitcomb","2023-06-23","","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Edmonson","Mammoth Cave National Park","37 12.083","-086 13.760","","","297287","1","37 12.083","-086 13.760","520.0 ft","Public","120.2'","Clinometer/laser rangefinder/sine","11.4'","137''","","","Elijah Whitcomb","2023-06-23","","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Edmonson","Mammoth Cave National Park","37 10.721","-086 06.555","","","297580","1","37 10.721","-086 06.555","465.0 ft","Public","127.2'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Elijah Whitcomb","2023-06-23","","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Edmonson","Mammoth Cave National Park","37 12.378","-086 11.883","","","297761","1","37 12.378","-086 11.883","405.0 ft","Public","128.0'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Elijah Whitcomb","2023-06-23","","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Edmonson","Mammoth Cave National Park","37 13.685","-086 06.228","","","297484","1","37 13.685","-086 06.228","535.0 ft","Public","130.1'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Elijah Whitcomb","2023-06-23","","N"
"Shumard's Oak","Quercus shumardii","Kentucky","Edmonson","Mammoth Cave National Park","37 11.174","-086 08.775","","","297672","1","37 11.174","-086 08.775","470.0 ft","Public","130.4'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Elijah Whitcomb","2023-06-23","","N"
