"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Oak","Quercus spp.","Connecticut","Fairfield","Lucius Pond Ordway/Devil's Den Preserve","","","1,746 Acres","","242605","1","","","","Public - Nature Conservancy","101.0'","Clinometer/laser rangefinder/sine","","","","","Sam Goodwin, Ryan Dallas","2012-01-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D3587%26sid%3D24164709fb7900e73daf958a7baa364f","N"
"Oak","Quercus spp.","Connecticut","Hartford","Farmington River Park (Bloomfield)","","","78 acres","","242567","1","","","","Public - city","85.0'","Clinometer/laser rangefinder/sine","11.3'","135''","","","Sam Goodwin","2011-03-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D2216%26sid%3D6e036ea14bd1201febeff72eaf63d0a3%23p8410","N"
"Oak","Quercus spp.","Connecticut","Hartford","Metacomet Trail - East Granby","","","Trees were measured 5/10/2011 - 6/4/2011","","243164","1","","","","Public - Land Trust","75.0'","Clinometer/laser rangefinder/sine","12.5'","150''","","","Sam Goodwin","2011-10-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D2514%26sid%3D6e036ea14bd1201febeff72eaf63d0a3%23p9503","N"
"Oak","Quercus spp.","Connecticut","Hartford","Metacomet Trail - East Granby","","","Trees were measured 5/10/2011 - 6/4/2011","","243166","1","","","","Public - Land Trust","75.0'","Clinometer/laser rangefinder/sine","14.2'","170''","","","Sam Goodwin","2011-10-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D2514%26sid%3D6e036ea14bd1201febeff72eaf63d0a3%23p9503","N"
"Oak","Quercus spp.","Connecticut","Hartford","Metacomet Trail - East Granby","","","Trees were measured 5/10/2011 - 6/4/2011","","243165","1","","","","Public - Land Trust","80.0'","Clinometer/laser rangefinder/sine","13.0'","156''","","","Sam Goodwin","2011-10-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D2514%26sid%3D6e036ea14bd1201febeff72eaf63d0a3%23p9503","N"
"Oak","Quercus spp.","Connecticut","Hartford","Metacomet Trail - East Granby","","","Trees were measured 5/10/2011 - 6/4/2011","","243163","1","","","","Public - Land Trust","85.0'","Clinometer/laser rangefinder/sine","14.6'","175''","","","Sam Goodwin","2011-10-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D2514%26sid%3D6e036ea14bd1201febeff72eaf63d0a3%23p9503","N"
"Oak","Quercus spp.","Connecticut","Hartford","Pennwood State Park","","","Some additional trees were listed in a posting on Google groups.","","243310","1","","","","Public - state park","81.0'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Sam Goodwin","2010-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D119%26sid%3De71fd8ecae88fb4909b2191320272727%23p267","N"
"Oak","Quercus spp.","Connecticut","Hartford","Pennwood State Park","","","Some additional trees were listed in a posting on Google groups.","","243317","1","","","","Public - state park","107.0'","Clinometer/laser rangefinder/sine","","","","","Sam Goodwin","2010-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D119%26sid%3De71fd8ecae88fb4909b2191320272727%23p267","N"
"Oak","Quercus spp.","Connecticut","Hartford","Weed Hill","","","","","243160","1","","","","private","70.0'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Sam Goodwin","2010-03-06","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F7bf71a5c782f588a%3Fhl%3Den","N"
"Oak","Quercus spp.","Connecticut","Hartford","Weed Hill","","","","","243162","1","","","","private","75.0'","Clinometer/laser rangefinder/sine","10.7'","128''","","","Sam Goodwin","2010-03-06","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F7bf71a5c782f588a%3Fhl%3Den","N"
"Oak","Quercus spp.","Connecticut","Various","Connecticut Single Tree Sites","","","","","256799","1","","","","public -  private","","Clinometer/laser rangefinder/sine","14.0'","168''","","Measured by S. Goodwin 4/20/2010 in Westport, Fairfield County.","Various Various","2000-06-01","","N"
"Oak","Quercus spp.","Georgia","Floyd","Rome And Floyd County","","","","","243216","1","","","","Private","71.2'","Clinometer/laser rangefinder/sine","15.8'","190''","","Probable Q. texana or Nuttal Oak.
Near the Oostanaula River","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Oak","Quercus spp.","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243266","1","","","","Private","100.7'","Clinometer/laser rangefinder/sine","5.1'","61''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Oak","Quercus spp.","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243267","1","","","","Private","112.6'","Clinometer/laser rangefinder/sine","6.9'","83''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Oak","Quercus spp.","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243268","1","","","","Private","116.6'","Clinometer/laser rangefinder/sine","6.3'","76''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Oak","Quercus spp.","Georgia","Harris","Callaway Gardens","","","6,500 acre resort and conference center near Pine Mountain, Georgia","","243269","1","","","","Private","121.2'","Clinometer/laser rangefinder/sine","5.2'","62''","","","John Eichholz","2005-02-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcallaway_gardens.htm","N"
"Oak","Quercus spp.","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169930","1","","","","Public - state","118.0'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Randy Brown","2008-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Oak","Quercus spp.","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169854","1","","","","Public - federal","111.2'","Clinometer/laser rangefinder/sine","9.9'","119''","","1st Cove","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Oak","Quercus spp.","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169873","1","","","","Public - federal","124.7'","Clinometer/laser rangefinder/sine","","","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Oak","Quercus spp.","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169945","1","","","","Public - federal","125.8'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Mark Rouw","2015-02-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Oak","Quercus spp.","Missouri","St. Louis","Dr. Edmund A. Babler Memorial State Park","","","","","171901","1","","","","Public - state","","Clinometer/laser rangefinder/sine","9.7'","116''","","","Beth Koebel","2008-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmissouri%2Fbabler%2Fbabler_state_park_chesterfield_m.htm","N"
"Oak","Quercus spp.","Mississippi","Sharkey","Delta National Forest","","","90,898 acres with seven Ranger Districts.   
This entire national forest is under supervision of the State of Mississippi's Wildlife Department under the name of the Sunflower Wildlife Management Area.","","251103","1","","","","Public - federal","121.5'","Clinometer/laser rangefinder/sine","10.5'","126''","","Located in or near the Sweetgum Natural Research Area of 40 acres near campsite 6.","Larry Tucei","2014-02-19","","N"
"Oak","Quercus spp.","Mississippi","Sharkey","Delta National Forest","","","90,898 acres with seven Ranger Districts.   
This entire national forest is under supervision of the State of Mississippi's Wildlife Department under the name of the Sunflower Wildlife Management Area.","","251107","1","","","","Public - federal","126.5'","Clinometer/laser rangefinder/sine","12.2'","146''","","In the Overcup Natural Research Area. 40 acres
Questionable ID as Pin Oak","Larry Tucei","2014-02-19","","N"
"Oak","Quercus spp.","Mississippi","Sharkey","Delta National Forest","","","90,898 acres with seven Ranger Districts.   
This entire national forest is under supervision of the State of Mississippi's Wildlife Department under the name of the Sunflower Wildlife Management Area.","","251106","1","","","","Public - federal","136.5'","Clinometer/laser rangefinder/sine","15.1'","181''","108.8'","In the Overcup Natural Research Area. 40 acres
Questionable ID as Pin Oak
Crown spread is an average, maximum is 112.5'","Larry Tucei","2014-02-19","","N"
"Oak","Quercus spp.","North Carolina","Buncombe","Mission Hospital Hawthorns","","","","","243396","1","","","","Private","","Clinometer/laser rangefinder/sine","11.8'","142''","","","James Parton","2008-02-06","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fhospital%2Fhospital_hawthorns.htm","N"
"Oak","Quercus spp.","North Carolina","Henderson","Calvary Episcopal Church","","","","","235520","1","","","","Private","","Clinometer/laser rangefinder/sine","8.3'","100''","","","James Parton","2008-03-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcalvary_htm","N"
"Oak","Quercus spp.","North Carolina","Henderson","Ge Lighting Systems","","","","","243549","1","","","","Private","","Clinometer/laser rangefinder/sine","9.2'","110''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
"Oak","Quercus spp.","North Carolina","Henderson","Kings Mountain","","","","","227910","1","","","","Private","79.0'","Clinometer/laser rangefinder/sine","8.8'","105''","","","James Parton","2009-01-10","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090110-kingsmountain%2F","N"
"Oak","Quercus spp.","North Carolina","Orange","Eno River, Hillsborough","","","","","252364","1","","","","Public - Private","","Clinometer/laser rangefinder/sine","11.6'","139''","","","Patrick Brandt","2013-01-16","","N"
"Oak","Quercus spp.","North Carolina","Orange","Eno River, Hillsborough","","","","","252365","1","","","","Public - Private","","Clinometer/laser rangefinder/sine","10.5'","126''","","","Patrick Brandt","2013-01-16","","N"
"Oak","Quercus spp.","North Carolina","Polk","Green River Game Lands","","","10,000+ acres.
Trees were measured per trip reports 9/2/1010.9/27/2010, 1/21/2011.","","252036","1","","","","Public - state","","Clinometer/laser rangefinder/sine","8.0'","96''","","Pulliam Creek Trail","James Parton","2008-01-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1302%26sid%3Da2220255d71bc8241b5bc342c81238c3%23p4603","N"
"Oak","Quercus spp.","North Carolina","Polk","Green River Game Lands","","","10,000+ acres.
Trees were measured per trip reports 9/2/1010.9/27/2010, 1/21/2011.","","252037","1","","","","Public - state","","Clinometer/laser rangefinder/sine","7.6'","91''","","","James Parton","2008-01-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1302%26sid%3Da2220255d71bc8241b5bc342c81238c3%23p4603","N"
"Oak","Quercus spp.","North Carolina","Transylvania","Pisgah Inn","","","Inn is ay milepost 408.
Trees were measured along the Parkway at altitude of 5,000 feet","","252137","1","","","","Public - national","","Clinometer/laser rangefinder/sine","10.7'","128''","","","James Parton","2008-06-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fpisgahchestnut%2Fpisgah_chestnut_hunt.htm","N"
"Oak","Quercus spp.","North Carolina","Transylvania","Pisgah Inn","","","Inn is ay milepost 408.
Trees were measured along the Parkway at altitude of 5,000 feet","","252138","1","","","","Public - national","","Clinometer/laser rangefinder/sine","9.2'","110''","","","James Parton","2008-06-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fpisgahchestnut%2Fpisgah_chestnut_hunt.htm","N"
