"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Post Oak","Quercus stellata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234010","1","","","","Private","91.4'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Post Oak","Quercus stellata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234009","1","","","","Private","99.7'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Post Oak","Quercus stellata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241662","1","","","","Private","105.5'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Post Oak","Quercus stellata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241661","1","","","","Private","107.2'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Post Oak","Quercus stellata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241660","1","","","","Private","108.1'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Post Oak","Quercus stellata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241702","1","","","","Private","106.5'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Post Oak","Quercus stellata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241701","1","","","","Private","108.9'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Post Oak","Quercus stellata","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233943","1","","","","Public - state","70.9'","Clinometer/laser rangefinder/sine","11.3'","136''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Post Oak","Quercus stellata","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233946","1","","","","Public - state","77.4'","Clinometer/laser rangefinder/sine","10.5'","126''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Post Oak","Quercus stellata","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233944","1","","","","Public - state","85.3'","Clinometer/laser rangefinder/sine","10.9'","131''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
