"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Texas Red Oak","Quercus texana","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241851","1","","","","Public - federal","112.3'","Clinometer/laser rangefinder/sine","13.7'","164''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Texas Red Oak","Quercus texana","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241852","1","","","","Public - federal","118.7'","Clinometer/laser rangefinder/sine","12.8'","154''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Texas Red Oak","Quercus texana","Missouri","Mississippi","Big Oak Tree State Park","36 38.381","-089 16.994","","","283627","1","36 38.381","-089 16.994","295.0 ft","Public","115.5'","Clinometer/laser rangefinder/sine","10.8'","130''","","May be Q. palustris","Elijah Whitcomb","2022-11-26","","N"
"Texas Red Oak","Quercus texana","Missouri","Mississippi","Big Oak Tree State Park","36 38.350","-089 17.000","","","283628","1","36 38.350","-089 17.000","295.0 ft","Public","132.1'","Clinometer/laser rangefinder/sine","11.0'","132''","","May be Q. palustris","Elijah Whitcomb","2022-11-26","","N"
"Texas Red Oak","Quercus texana","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251164","1","","","","Public - federal","123.0'","Clinometer/laser rangefinder/sine","9.8'","118''","75.0'","Along ""Trail of Big Trees""","Larry Tucei","2009-01-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Texas Red Oak","Quercus texana","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251403","1","","","","Public - federal","123.5'","Clinometer/laser rangefinder/sine","7.6'","91''","","Along Beaver Dam Trail","Larry Tucei","2014-01-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Texas Red Oak","Quercus texana","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251181","1","","","","Public - federal","132.0'","Clinometer/laser rangefinder/sine","","","93.0'","East of Bluff Lake
Crown spread is an average, maximum is 96'","Larry Tucei","2011-01-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Texas Red Oak","Quercus texana","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251410","1","","","","Public - federal","136.0'","Clinometer/laser rangefinder/sine","8.6'","103''","","Different locations along the Noxubee River.","Larry Tucei","2014-01-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Texas Red Oak","Quercus texana","Tennessee","Haywood","Hatchie National Wildlife Refuge","35 29.411","-089 09.898","","","322706","1","35 29.411","-089 09.898","320.0 ft","Public","132.0'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Elijah Whitcomb","2025-09-27","","N"
"Texas Red Oak","Quercus texana","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 18.498","-090 04.256","","","322004","1","35 18.498","-090 04.256","295.0 ft","Public","113.3'","Clinometer/laser rangefinder/sine","15.5'","186''","","","Elijah Whitcomb","2025-02-13","","N"
