"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Live Oak","Quercus virginiana","Georgia","Fulton","Single Tree Sites In Georgia","32 00.452","-081 04.100","","","249647","1","32 00.452","-081 04.100","","Public-Private","71.0'","Clinometer/laser rangefinder/sine","24.7'","296''","149.8'","Measured by M. Davie 2/23/2011.
Girth taken at 2.5'
Crown Spread is an average of the two spoke method.
Maximum spread is 157'
Named "" The Majestic Oak"" Located off of La Roche Avenue, Savannah, Chatham County.","Various Various","2001-02-01","","N"
"Live Oak","Quercus virginiana","Louisiana","Orleans Parish","City Park - New Orleans","29 59.138","-090 05.651","","","162991","2","29 59.138","-090 05.651","","Public - city","41.5'","Clinometer/laser rangefinder/sine","18.3'","219''","","Dueling Oak","Larry Tucei, Turner Sharp","2018-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D83%26t%3D8286","N"
"Live Oak","Quercus virginiana","Louisiana","Orleans Parish","City Park - New Orleans","","","","","163294","1","","","","Public - city","47.7'","Clinometer/laser rangefinder/sine","15.6'","187''","","","Turner Sharp","2018-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D83%26t%3D8286","N"
"Live Oak","Quercus virginiana","Louisiana","Orleans Parish","City Park - New Orleans","29 59.039","-090 05.709","","","163205","1","29 59.039","-090 05.709","","Public - city","48.9'","Clinometer/laser rangefinder/sine","27.6'","331''","154.5'","McDonogh Oak","Larry Tucei","2008-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D83%26t%3D8286","N"
"Live Oak","Quercus virginiana","Louisiana","Orleans Parish","City Park - New Orleans","","","","","163295","1","","","","Public - city","57.2'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Turner Sharp","2018-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D83%26t%3D8286","N"
"Live Oak","Quercus virginiana","Louisiana","Orleans Parish","City Park - New Orleans","","","","","163206","1","","","","Public - city","57.9'","Clinometer/laser rangefinder/sine","23.8'","286''","119.5'","Suicide Oak","Larry Tucei","2008-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D83%26t%3D8286","N"
"Live Oak","Quercus virginiana","Louisiana","Orleans Parish","City Park - New Orleans","","","","","163293","1","","","","Public - city","59.4'","Clinometer/laser rangefinder/sine","13.7'","164''","","Circumference at 3'
Tag # 56","Turner Sharp","2018-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D83%26t%3D8286","N"
"Live Oak","Quercus virginiana","North Carolina","Brunswick","Oak Island","","","","","164156","1","","","","Public - Regional Park","","","7.9'","95''","","","Turner Sharp","2005-09-15","","N"
"Live Oak","Quercus virginiana","North Carolina","New Hanover","Airlie Gardens","","","","","40684","1","","","15.0 ft","Private","70.0'","Clinometer/laser rangefinder/sine","21.5'","258''","124.5'","Airlie Oak.  This tree is said to be 400 years old.  I think it's more like 175, perhaps 200.  Was listed as being 128' tall in the NC State Big Tree list.","Brian Beduhn","2013-03-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5230","N"
"Live Oak","Quercus virginiana","South Carolina","Charleston","The Angel Oak","","","","","39760","1","","","","Public","62.9'","Clinometer/laser rangefinder/sine","28.1'","337''","163.8'","Charleston Parks lists this tree as covering 17,000 sq. ft.  I figured about 19,000 sq. ft.  It is often stated as being 1,000 years old with some estimates as high as 1,400 years.  In actuality, it is likely between 275 and 300 years old.

One limb is 106 ft. long.","Brian Beduhn","2012-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4582%26start%3D10","N"
"Live Oak","Quercus virginiana","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39753","1","","","","Private","","Clinometer/laser rangefinder/sine","27.4'","329''","105.0'","","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
"Live Oak","Quercus virginiana","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39754","1","","","","Private","","Clinometer/laser rangefinder/sine","21.6'","259''","","As a double, it measures 31.7'","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
"Live Oak","Quercus virginiana","South Carolina","Dorchester","Middleton Place Home And Gardens","","","","","39755","1","","","","Private","","Clinometer/laser rangefinder/sine","25.5'","306''","","","Brian Beduhn","2012-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D122%26t%3D4650","N"
