"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Staghorn Sumac","Rhus typhina","Maryland","Anne Arundel","Chase Creek Woods","","","","","280953","1","","","","Private","20.4'","Clinometer/laser rangefinder/sine","0.8'","10''","","","Colby Rucker","2003-07-01","","N"
"Staghorn Sumac","Rhus typhina","New York","Onondaga","Beaver Lake Nature Center","","","","","213034","1","","","","Public","33.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2015-11-01","","N"
"Staghorn Sumac","Rhus typhina","New York","Onondaga","Beaver Lake Nature Center","","","","","213035","1","","","","Public","34.6'","Clinometer/laser rangefinder/sine","1.9'","22''","","","Elijah Whitcomb, Tom Howard","2015-11-01","","N"
"Staghorn Sumac","Rhus typhina","New York","Onondaga","Long Branch Park","","","","","263329","1","","","","Public","30.0'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Then (NLT)","Tom Howard, Elijah Whitcomb","2014-09-07","","N"
"Staghorn Sumac","Rhus typhina","New York","Onondaga","Onondaga Park","","","","","121996","1","","","","Public","24.0'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Elijah Whitcomb","2016-04-03","","N"
"Staghorn Sumac","Rhus typhina","New York","Wayne/Cayuga","Howland's Island","43 06.356","-076 42.234","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220871","1","43 06.356","-076 42.234","455.0 ft","Public (NYS)","41.6'","Clinometer/laser rangefinder/sine","","","","Private land","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Staghorn Sumac","Rhus typhina","Pennsylvania","Allegheny","North Park Latadami Nature Center","","","250 acres Nature Center and is part of 3,750 acre North Park","","120543","1","","","1040.0 ft","Public","23.1'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Carl Harting","2005-12-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Flatodami%2Flatodami_nature_center.htm","N"
"Staghorn Sumac","Rhus typhina","Pennsylvania","Elk","Portland Mills","41 22.907","-078 49.993","Some trees were measured om 4/21/2009.
Much of the land is owned by the Pennyslvania fish and Boat Commission.","","138121","1","41 22.907","-078 49.993","","Public - state","36.9'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Dale Luthringer","2009-04-30","","N"
"Staghorn Sumac","Rhus typhina","Pennsylvania","Forest","CFSP-River Road","","","Also see:
http://www.nativetreesociety.org/fieldtrips/penna_cook_forest/cook_forest_yellow_buckeye.htm","","163332","1","","","","Public-state","28.5'","Clinometer/laser rangefinder/sine","1.9'","23''","","Measured by Carl Harting 9/12/2005","Dale Luthringer","2004-09-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna_cook_forest%2Friver_road_aug2004.htm","N"
"Staghorn Sumac","Rhus typhina","Pennsylvania","Montgomery","Mont Clare Cliffs And  Schuykill River Corridor","","","","","139762","1","","","","Private","34.7'","Clinometer/laser rangefinder/sine","0.8'","10''","","","George Fieo","2008-11-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090525-montclare%2F20090525-montclare.htm","N"
"Staghorn Sumac","Rhus typhina","Pennsylvania","Montgomery","Mont Clare Cliffs And  Schuykill River Corridor","","","","","166558","1","","","","Private","34.7'","Clinometer/laser rangefinder/sine","0.8'","10''","","","George Fieo","2009-05-25","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090525-montclare%2F20090525-montclare.htm","N"
