"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Locust","Robinia pseudoacacia","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174805","1","","","","Public - federal","85.2'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Black Locust","Robinia pseudoacacia","District of Columbia","District Of Columbia","Klingle Valley Parkway","","","This is an administrative unit of Rock Creek Park","","76061","1","","","200.0 ft","Public - National Park","94.0'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"Black Locust","Robinia pseudoacacia","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175060","1","","","","Public - federal","78.4'","Clinometer/laser rangefinder/sine","10.3'","123''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Black Locust","Robinia pseudoacacia","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234415","1","","","","Public - federal","127.5'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Black Locust","Robinia pseudoacacia","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234416","1","","","","Public - federal","139.8'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Black Locust","Robinia pseudoacacia","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234417","1","","","","Public - federal","141.0'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Black Locust","Robinia pseudoacacia","Georgia","White","Spoilcane Creek","","","","","249312","1","","","","Public - federal","132.9'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Jess Riddle","2012-01-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3514%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Black Locust","Robinia pseudoacacia","Idaho","Ada","Idaho Single Tree Sites","45 45.749","-116 18.017","","","164215","1","45 45.749","-116 18.017","1600.0 ft","Public","67.6'","Clinometer/laser rangefinder/sine","8.7'","104''","","Measured 7/19/2018 by T. Sharp.
Located next to parking lot of post office in White Bird, .Idaho County","Various Various","2010-08-23","","N"
"Black Locust","Robinia pseudoacacia","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98156","1","","","1040.0 ft","Public - Bureau of land Management","42.6'","Clinometer/laser rangefinder/sine","2.8'","33''","","Idaho County, Skeleton Creek Camp, river left.","Turner Sharp","2014-08-22","","N"
"Black Locust","Robinia pseudoacacia","Idaho","Idaho","Salmon River Corridor -Hammer Creek To Confluence With Snake River","","","","","98150","1","","","1420.0 ft","Public - Bureau of land Management","46.6'","Clinometer/laser rangefinder/sine","2.2'","26''","","Idaho County, Camp at Mile 34 on river right","Turner Sharp","2014-08-22","","N"
