"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Willow","Salix nigra","Arkansas","Arkansas","White River National Wildlife Refuge","","","Trees were measured along trail leading to the state champion Bald Cypress.","","241853","1","","","","Public - federal","105.0'","Clinometer/laser rangefinder/sine","11.8'","142''","","","Jess Riddle","2014-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6811%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241843","1","","","","Public - state","105.3'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241842","1","","","","Public - state","115.7'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241841","1","","","","Public - state","118.0'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241839","1","","","","Public - state","118.8'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241840","1","","","","Public - state","118.8'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241838","1","","","","Public - state","119.5'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241837","1","","","","Public - state","121.3'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Arkansas","Desha","Choctaw Island Wildlife Management Area","","","7,676 acres","","241836","1","","","","Public - state","125.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2015-12-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D7423%26sid%3Dd34cff8a27be69502f1d66837e7ee988","N"
"Black Willow","Salix nigra","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234741","1","","","","Public - federal","76.0'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Black Willow","Salix nigra","Maryland","Anne Arundel","Chase Creek Woods","","","","","280931","1","","","","Private","76.8'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Colby Rucker","2003-07-01","","N"
"Black Willow","Salix nigra","Missouri","Mississippi","Big Oak Tree State Park","","","","","171806","1","","","","Public","95.8'","Clinometer/laser rangefinder/sine","","","","","Robert Leverett","2006-03-21","","N"
"Black Willow","Salix nigra","Missouri","Mississippi","Big Oak Tree State Park","36 39.627","-089 18.621","","","283682","1","36 39.627","-089 18.621","310.0 ft","Public","100.2'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2022-11-26","","N"
"Black Willow","Salix nigra","North Carolina","Forsyth","Tanglewood Park","","","Owned by Forsyth County.","","226785","1","","","","Public - county","87.9'","Clinometer/laser rangefinder/sine","3.8'","45''","","","Jess Riddle","2007-01-06","hhttp%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Ftanglewood_park2","N"
"Black Willow","Salix nigra","New York","Cattaraugus","Zoar Valley","","","","","221867","1","","","","Public","82.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Black Willow","Salix nigra","New York","Cattaraugus","Zoar Valley","","","","","221866","1","","","","Public","84.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
